護	1690
貫穿	1690
貼上	1690
質量	1690
走火	1690
軍校	1690
近況	1690
通頂	1690
逝	1690
過問	1690
遠遠	1690
里	1690
金黃	1690
銀紙	1690
開出	1690
關斗	1690
關門	1690
附和	1690
雅	1690
雙臂	1690
靈機	1690
鞘	1690
韓國	1690
音響	1690
頸巾	1690
鬼咁	1690
麻麻地	1690
黑絲	1690
鼻水	1690
檢察院	1689
茂	1689
包月	1687
極具	1687
買不起	1687
影音	1683
科室	1683
協	1682
致富	1682
瓊	1681
看樣子	1681
看成	1679
不可避免	1678
涵蓋	1678
直觀	1678
改制	1677
身體健康	1677
本着	1676
焊接	1675
不服	1674
專職	1674
第一名	1674
發售	1673
走去	1673
百分點	1672
長假	1672
表彰	1671
陞	1671
种	1669
便捷	1668
搞到	1668
編製	1668
配送	1667
做客	1666
噻	1665
三峽	1661
中標	1661
磊	1661
勢必	1660
昨	1660
新房	1659
買單	1659
裏頭	1658
商用	1657
選取	1657
開辦	1657
市中心	1654
熬夜	1654
下樓	1651
國債	1651
儘早	1650
路段	1650
叫人	1648
替補	1647
上臺	1645
充電器	1645
彆扭	1642
汕頭	1639
上個月	1638
完蛋	1638
寄託	1638
均線	1637
頒佈	1637
中小學	1633
方便麪	1630
商貿	1629
杜絕	1627
豐厚	1627
華盛頓	1626
大三	1624
看不起	1618
貪官	1617
編輯器	1616
開採	1614
博弈	1613
獻給	1613
浮躁	1612
長虹	1611
回升	1610
國防	1610
器件	1609
室友	1609
常務	1609
無不	1609
差價	1608
餓死	1608
不含	1607
不由	1606
龔	1606
水稻	1604
生於	1602
一無所知	1601
一連串	1601
三位	1601
上班	1601
不一	1601
不成	1601
事到如今	1601
京	1601
仔仔	1601
佳	1601
側身	1601
傀儡	1601
全面	1601
兩份	1601
兩者	1601
冰山	1601
冷血	1601
冷酷	1601
刪	1601
功	1601
勇者	1601
卡通	1601
呈	1601
呢類	1601
唔見得	1601
喻	1601
嘈吵	1601
器材	1601
嚟喇	1601
回程	1601
坐車	1601
天父	1601
女家	1601
始	1601
姑姐	1601
字型	1601
完人	1601
專門	1601
就讀	1601
嵌	1601
庫	1601
廿幾歲	1601
心水	1601
忠義	1601
恕	1601
慳返	1601
成真	1601
所知	1601
所見	1601
手巾	1601
打起	1601
拐杖	1601
搞法	1601
撞車	1601
擂台	1601
智能	1601
暗中	1601
暗地	1601
果斷	1601
概況	1601
歉	1601
歎	1601
水泡	1601
沉船	1601
沉醉	1601
法文	1601
淆底	1601
淫娃	1601
減低	1601
渴求	1601
滿分	1601
漫長	1601
無恥	1601
照常	1601
熱辣辣	1601
燒賣	1601
爾	1601
獄	1601
疑似	1601
發問	1601
白光	1601
白費	1601
盪	1601
真摯	1601
確	1601
稱得上	1601
紅衫	1601
純情	1601
終	1601
絕非	1601
群體	1601
老蘭	1601
膏	1601
膽粗粗	1601
自稱	1601
色情	1601
葵	1601
融入	1601
蟲仔	1601
蠻	1601
行禮	1601
見步行步	1601
記載	1601
設	1601
請教	1601
諗落	1601
識貨	1601
變臉	1601
谷底	1601
費時	1601
賀	1601
質感	1601
赤	1601
起上嚟	1601
起勁	1601
趕得切	1601
跡	1601
送禮	1601
逐一	1601
銘	1601
開戰	1601
閹	1601
限	1601
雜	1601
靈界	1601
靜靜雞	1601
面皮	1601
食埋	1601
高舉	1601
鬼頭	1601
黑面	1601
電容	1600
臥	1599
略有	1597
莫斯科	1596
電廠	1596
下崗	1595
南非	1595
適度	1595
來信	1594
反過來	1594
孩	1592
土耳其	1591
往返	1591
滯後	1591
視圖	1590
雜談	1589
華南	1587
在校	1585
鬼子	1582
縣委	1580
即是	1578
浪潮	1578
武警	1577
主題曲	1576
本科生	1575
民營	1575
職稱	1575
不見得	1574
流域	1574
竣工	1573
聯網	1573
中學生	1571
非得	1571
儒	1567
師範	1565
巨星	1563
前沿	1562
建國	1560
後綴	1558
纔	1558
簡體	1554
瑜伽	1553
置業	1552
賬	1552
難點	1552
出遊	1551
弘	1551
投稿	1551
毅	1550
信訪	1549
多方面	1549
多重	1549
彩鈴	1549
皇冠	1549
施行	1548
僅供參考	1547
麪條	1547
醫學院	1546
之初	1543
