rank	literal	freq
5001	關我事	4360
5002	阿茵	4360
5003	隊員	4360
5004	隔住	4360
5005	隱藏	4360
5006	難道	4360
5007	黑社會	4360
5008	黑袍	4360
5009	福建	4357
5010	等我	4357
5011	發貨	4346
5012	女的	4342
5013	構建	4342
5014	毛澤東	4342
5015	週六	4336
5016	和他	4328
5017	有一種	4311
5018	叫我	4308
5019	這兩天	4303
5020	本週	4299
5021	端口	4294
5022	欄目	4292
5023	都說	4291
5024	就說	4282
5025	是呀	4277
5026	一如	4271
5027	一落	4271
5028	一部	4271
5029	丁	4271
5030	三角形	4271
5031	下低	4271
5032	不再	4271
5033	亞	4271
5034	仲想	4271
5035	佈	4271
5036	住講	4271
5037	你仲	4271
5038	例子	4271
5039	依加	4271
5040	八卦	4271
5041	八爪魚	4271
5042	凝重	4271
5043	制度	4271
5044	前便	4271
5045	十二點	4271
5046	參觀	4271
5047	可能性	4271
5048	喥	4271
5049	嗰次	4271
5050	大口	4271
5051	好多時	4271
5052	好講	4271
5053	完個	4271
5054	床邊	4271
5055	德	4271
5056	悲傷	4271
5057	悲劇	4271
5058	想食	4271
5059	懷念	4271
5060	托	4271
5061	批	4271
5062	拍過	4271
5063	收銀	4271
5064	服侍	4271
5065	朗朗	4271
5066	杯杯	4271
5067	柄	4271
5068	植物	4271
5069	標	4271
5070	機構	4271
5071	殘酷	4271
5072	每人	4271
5073	沾	4271
5074	無關	4271
5075	皇帝	4271
5076	看到	4271
5077	睡衣	4271
5078	瞞	4271
5079	第三	4271
5080	節	4271
5081	米奇	4271
5082	組成	4271
5083	羞恥	4271
5084	膝頭	4271
5085	花灑	4271
5086	虎	4271
5087	行緊	4271
5088	褲褲	4271
5089	親切	4271
5090	訓得	4271
5091	話事	4271
5092	警告	4271
5093	軒	4271
5094	遇上	4271
5095	過夜	4271
5096	醫	4271
5097	鋪頭	4271
5098	阿姐	4271
5099	陣陣	4271
5100	陪住	4271
5101	陷入	4271
5102	需	4271
5103	靚靚	4271
5104	風格	4271
5105	體能	4271
5106	你不是	4267
5107	驗證碼	4266
5108	是吧	4258
5109	有關規定	4252
5110	可以用	4250
5111	對他	4243
5112	要做	4240
5113	住在	4237
5114	請你	4236
5115	我有	4235
5116	走勢	4225
5117	幹啥	4223
5118	舞臺	4218
5119	供應商	4214
5120	聯通	4213
5121	車型	4212
5122	調研	4211
5123	本科	4200
5124	經濟發展	4195
5125	對其	4189
5126	一一	4182
5127	世紀	4182
5128	仔同	4182
5129	以來	4182
5130	企響	4182
5131	個種	4182
5132	倍	4182
5133	假如	4182
5134	兒童	4182
5135	凳仔	4182
5136	利益	4182
5137	功能	4182
5138	名單	4182
5139	嘈交	4182
5140	嘟嘟	4182
5141	嘢㗎	4182
5142	因住	4182
5143	埋位	4182
5144	塘	4182
5145	大過	4182
5146	大隻佬	4182
5147	女聲	4182
5148	好識	4182
5149	學者	4182
5150	封信	4182
5151	彩虹	4182
5152	心心	4182
5153	我份	4182
5154	我信	4182
5155	我個腦	4182
5156	手心	4182
5157	揹	4182
5158	撥	4182
5159	擺動	4182
5160	收聲	4182
5161	敲門	4182
5162	昇	4182
5163	星際	4182
5164	春	4182
5165	普通話	4182
5166	有講有笑	4182
5167	有過	4182
5168	未講	4182
5169	歪	4182
5170	每一個	4182
5171	比例	4182
5172	法師	4182
5173	深刻	4182
5174	漫澄	4182
5175	潛意識	4182
5176	無常	4182
5177	父親	4182
5178	特工	4182
5179	獸醫	4182
5180	玉	4182
5181	班會	4182
5182	琳	4182
5183	當我地	4182
5184	知會	4182
5185	紅蘿蔔	4182
