head	reason
別的	function_word
八婆	no_gradable_opposite
洗頭水	no_gradable_opposite
背影	no_gradable_opposite
仔女	no_gradable_opposite
文檔	no_gradable_opposite
以嚟	function_word
師奶	no_gradable_opposite
合照	no_gradable_opposite
阿伯	no_gradable_opposite
角色	no_gradable_opposite
越嚟越	function_word
什麼時候	function_word
墳場	no_gradable_opposite
礦場	no_gradable_opposite
本能	no_gradable_opposite
雞仔	no_gradable_opposite
一口	no_gradable_opposite
毫子	no_gradable_opposite
尿片	no_gradable_opposite
胸圍	no_gradable_opposite
金毛	no_gradable_opposite
電單車	no_gradable_opposite
契媽	no_gradable_opposite
廣東話	no_gradable_opposite
鼻哥	no_gradable_opposite
乜鬼	function_word
餅乾	no_gradable_opposite
鐵閘	no_gradable_opposite
工作人員	no_gradable_opposite
空調	no_gradable_opposite
間房	no_gradable_opposite
之餘	function_word
沿住	function_word
打橫	no_gradable_opposite
重有	function_word
一次過	function_word
當堂	function_word
直情	function_word
太過	function_word
總有	function_word
並無	function_word
千祈	function_word
