head	tail	relation_type	batch_id
絕跡	再現	ant	post-syn-ant-ring5k10k-b04-20260718
還款	借貸	ant	post-syn-ant-ring5k10k-b04-20260718
動感	呆滯	ant	post-syn-ant-ring5k10k-b04-20260718
進貨	出貨	ant	post-syn-ant-ring5k10k-b04-20260718
繁體	簡體	ant	post-syn-ant-ring5k10k-b04-20260718
湊合	講究	ant	post-syn-ant-ring5k10k-b04-20260718
湊合	認真	ant	post-syn-ant-ring5k10k-b04-20260718
交互	單向	ant	post-syn-ant-ring5k10k-b04-20260718
買進	賣出	ant	post-syn-ant-ring5k10k-b04-20260718
中等	極端	ant	post-syn-ant-ring5k10k-b04-20260718
打消	堅持	ant	post-syn-ant-ring5k10k-b04-20260718
推動	阻礙	ant	post-syn-ant-ring5k10k-b04-20260718
有病	健康	ant	post-syn-ant-ring5k10k-b04-20260718
消散	聚集	ant	post-syn-ant-ring5k10k-b04-20260718
疲倦	精神	ant	post-syn-ant-ring5k10k-b04-20260718
絕不	必定	ant	post-syn-ant-ring5k10k-b04-20260718
絕不	一定	ant	post-syn-ant-ring5k10k-b04-20260718
還好	糟糕	ant	post-syn-ant-ring5k10k-b04-20260718
不耐煩	有耐心	ant	post-syn-ant-ring5k10k-b04-20260718
不耐煩	耐心	ant	post-syn-ant-ring5k10k-b04-20260718
倒影	實體	ant	post-syn-ant-ring5k10k-b04-20260718
值錢	廉價	ant	post-syn-ant-ring5k10k-b04-20260718
其次	首先	ant	post-syn-ant-ring5k10k-b04-20260718
增長	減少	ant	post-syn-ant-ring5k10k-b04-20260718
增長	下降	ant	post-syn-ant-ring5k10k-b04-20260718
對準	偏離	ant	post-syn-ant-ring5k10k-b04-20260718
強勁	疲弱	ant	post-syn-ant-ring5k10k-b04-20260718
忐忑	安心	ant	post-syn-ant-ring5k10k-b04-20260718
挽回	放棄	ant	post-syn-ant-ring5k10k-b04-20260718
掃視	細看	ant	post-syn-ant-ring5k10k-b04-20260718
撒嬌	正經	ant	post-syn-ant-ring5k10k-b04-20260718
整整	零碎	ant	post-syn-ant-ring5k10k-b04-20260718
有幸	不幸	ant	post-syn-ant-ring5k10k-b04-20260718
殘留	清除	ant	post-syn-ant-ring5k10k-b04-20260718
着數	吃虧	ant	post-syn-ant-ring5k10k-b04-20260718
裂開	合攏	ant	post-syn-ant-ring5k10k-b04-20260718
親吻	拒絕	ant	post-syn-ant-ring5k10k-b04-20260718
走火	熄滅	ant	post-syn-ant-ring5k10k-b04-20260718
逗留	離開	ant	post-syn-ant-ring5k10k-b04-20260718
過問	不管	ant	post-syn-ant-ring5k10k-b04-20260718
隨後	事先	ant	post-syn-ant-ring5k10k-b04-20260718
骨折	痊癒	ant	post-syn-ant-ring5k10k-b04-20260718
致富	破產	ant	post-syn-ant-ring5k10k-b04-20260718
看成	忽視	ant	post-syn-ant-ring5k10k-b04-20260718
摺疊	展開	ant	post-syn-ant-ring5k10k-b04-20260718
直觀	抽象	ant	post-syn-ant-ring5k10k-b04-20260718
便捷	麻煩	ant	post-syn-ant-ring5k10k-b04-20260718
再不	總是	ant	post-syn-ant-ring5k10k-b04-20260718
開辦	關閉	ant	post-syn-ant-ring5k10k-b04-20260718
聆聽	充耳不聞	ant	post-syn-ant-ring5k10k-b04-20260718
替補	主力	ant	post-syn-ant-ring5k10k-b04-20260718
完蛋	成功	ant	post-syn-ant-ring5k10k-b04-20260718
頒佈	撤銷	ant	post-syn-ant-ring5k10k-b04-20260718
杜絕	放任	ant	post-syn-ant-ring5k10k-b04-20260718
回升	下跌	ant	post-syn-ant-ring5k10k-b04-20260718
幹掉	拯救	ant	post-syn-ant-ring5k10k-b04-20260718
年年	偶爾	ant	post-syn-ant-ring5k10k-b04-20260718
不成	成功	ant	post-syn-ant-ring5k10k-b04-20260718
信仰	懷疑	ant	post-syn-ant-ring5k10k-b04-20260718
偷走	歸還	ant	post-syn-ant-ring5k10k-b04-20260718
傷風	康復	ant	post-syn-ant-ring5k10k-b04-20260718
就讀	退學	ant	post-syn-ant-ring5k10k-b04-20260718
渴求	厭棄	ant	post-syn-ant-ring5k10k-b04-20260718
激情	冷淡	ant	post-syn-ant-ring5k10k-b04-20260718
玩笑	認真	ant	post-syn-ant-ring5k10k-b04-20260718
疼痛	舒適	ant	post-syn-ant-ring5k10k-b04-20260718
白費	值得	ant	post-syn-ant-ring5k10k-b04-20260718
糾纏	放手	ant	post-syn-ant-ring5k10k-b04-20260718
純情	世故	ant	post-syn-ant-ring5k10k-b04-20260718
翻轉	固定	ant	post-syn-ant-ring5k10k-b04-20260718
落下	升起	ant	post-syn-ant-ring5k10k-b04-20260718
融入	脱離	ant	post-syn-ant-ring5k10k-b04-20260718
行禮	無禮	ant	post-syn-ant-ring5k10k-b04-20260718
調頭	直行	ant	post-syn-ant-ring5k10k-b04-20260718
變臉	和好	ant	post-syn-ant-ring5k10k-b04-20260718
跨過	止步	ant	post-syn-ant-ring5k10k-b04-20260718
躲避	面對	ant	post-syn-ant-ring5k10k-b04-20260718
送禮	收禮	ant	post-syn-ant-ring5k10k-b04-20260718
過火	適度	ant	post-syn-ant-ring5k10k-b04-20260718
面臨	逃避	ant	post-syn-ant-ring5k10k-b04-20260718
高舉	放下	ant	post-syn-ant-ring5k10k-b04-20260718
下崗	上崗	ant	post-syn-ant-ring5k10k-b04-20260718
發揚	壓抑	ant	post-syn-ant-ring5k10k-b04-20260718
滯後	超前	ant	post-syn-ant-ring5k10k-b04-20260718
退款	付款	ant	post-syn-ant-ring5k10k-b04-20260718
在校	離校	ant	post-syn-ant-ring5k10k-b04-20260718
不見得	肯定	ant	post-syn-ant-ring5k10k-b04-20260718
非得	不必	ant	post-syn-ant-ring5k10k-b04-20260718
延期	準時	ant	post-syn-ant-ring5k10k-b04-20260718
封殺	開放	ant	post-syn-ant-ring5k10k-b04-20260718
置業	租住	ant	post-syn-ant-ring5k10k-b04-20260718
出遊	留守	ant	post-syn-ant-ring5k10k-b04-20260718
絕跡	重現	ant	post-syn-ant-ring5k10k-b04-20260718
還款	欠債	ant	post-syn-ant-ring5k10k-b04-20260718
動感	靜止	ant	post-syn-ant-ring5k10k-b04-20260718
湊合	完美	ant	post-syn-ant-ring5k10k-b04-20260718
買進	拋售	ant	post-syn-ant-ring5k10k-b04-20260718
不大	巨大	ant	post-syn-ant-ring5k10k-b04-20260718
推動	阻擋	ant	post-syn-ant-ring5k10k-b04-20260718
消散	凝聚	ant	post-syn-ant-ring5k10k-b04-20260718
絕不	可能	ant	post-syn-ant-ring5k10k-b04-20260718
倒影	實物	ant	post-syn-ant-ring5k10k-b04-20260718
