head	tail
缺衣少食	豐衣足食
便宜行事	請示彙報
便宜行事	照章辦事
便宜行事	循規蹈矩
哭天抹淚	開懷大笑
漁人之利	兩敗俱傷
漁人之利	徒勞無功
漁人之利	兩空
七零八碎	完好無損
懸樑刺股	遊手好閒
懸樑刺股	荒廢學業
懸樑刺股	懶散
以儆效尤	姑息養奸
殺富濟貧	劫貧濟富
殺富濟貧	為富不仁
殺富濟貧	欺貧
深耕細作	粗放經營
深耕細作	廣種薄收
深耕細作	粗作
鬧着玩兒	一本正經
鬧着玩兒	認真對待
鬧着玩兒	當真
一哄而起	一鬨而散
一枕黃粱	美夢成真
一枕黃粱	現實
一枕黃粱	清醒
打落水狗	救死扶傷
打落水狗	手下留情
打落水狗	寬恕
掐頭去尾	原封不動
掐頭去尾	完整保留
掐頭去尾	全文
時有所聞	聞所未聞
時有所聞	從未聽聞
時有所聞	鮮聞
陽關大道	羊腸小道
集腋成裘	杯水車薪
集腋成裘	無濟於事
集腋成裘	零散
加油添醋	實事求是
加油添醋	原原本本
加油添醋	不加渲染
密密層層	稀稀拉拉
敬謝不敏	當仁不讓
歸根究底	浮於表面
歸根究底	不求甚解
歸根究底	粗看
貓哭老鼠	真心哀悼
貓哭老鼠	真情
貓哭老鼠	同情
驚喜交集	無動於衷
驚喜交集	平淡
驚喜交集	麻木
妙語如珠	語無倫次
出將入相	碌碌無為
出將入相	一無所成
出將入相	平庸
瓜田李下	光明正大
瓜田李下	無可指摘
瓜田李下	坦蕩
磨拳擦掌	無精打采
胡裏胡塗	一清二楚
怪聲怪氣	正聲正氣
怪聲怪氣	中規中矩
怪聲怪氣	正常
承先啓後	斷代失傳
承先啓後	後繼無人
承先啓後	中斷
疾風勁草	隨風倒
疾風勁草	牆頭草
疾風勁草	軟弱
真名實姓	化名假姓
真名實姓	匿名
真名實姓	假名
地覆天翻	風平浪靜
心膽俱裂	處變不驚
永誌不忘	拋諸腦後
一身是膽	膽小如鼠
歪七扭八	端端正正
歪七扭八	整齊
歪七扭八	筆直
亙古未有	司空見慣
吟風弄月	經世致用
吟風弄月	實幹
吟風弄月	務實
娓娓而談	結結巴巴
水火無情	水火相容
水火無情	和諧
水火無情	溫柔
造謠中傷	以正視聽
不平則鳴	忍氣吞聲
念茲在茲	拋諸腦後
念茲在茲	置之度外
念茲在茲	忘卻
見財起意	見財不貪
見財起意	清心寡慾
見財起意	廉潔
適逢其會	失之交臂
適逢其會	錯過
適逢其會	無緣
生意盎然	死氣沉沉
稍勝一籌	略遜一籌
含飴弄孫	老無所依
含飴弄孫	孤苦伶仃
含飴弄孫	淒涼
奇花異卉	野草閒花
奇花異卉	普通草木
奇花異卉	尋常
清湯寡水	濃油赤醬
清湯寡水	油膩
清湯寡水	豐盛
識文斷字	目不識丁
追根問底	不求甚解
追根問底	淺嘗輒止
追根問底	囫圇吞棗
借古諷今	直言時事
借古諷今	直截了當
借古諷今	明說
目無法紀	遵紀守法
動魄驚心	平淡無奇
動魄驚心	不足為奇
動魄驚心	尋常
涸澤而漁	留有餘地
涸澤而漁	細水長流
涸澤而漁	可持續
老羞成怒	心平氣和
同化作用	異化作用
同化作用	分解
玉液瓊漿	粗茶淡飯
玉液瓊漿	濁水
玉液瓊漿	劣酒
皓首窮經	不學無術
皓首窮經	荒廢學業
皓首窮經	不讀
磨嘴皮子	身體力行
磨嘴皮子	實幹
磨嘴皮子	少說多做
長幼有序	長幼無序
長幼有序	沒大沒小
長幼有序	亂序
荒淫無恥	清心寡慾
荒淫無恥	品行端正
荒淫無恥	貞潔
領導有方	領導無方
領導有方	瞎指揮
領導有方	無能
內外夾攻	腹背受敵
內外夾攻	兩面夾擊
內外夾攻	內外和
有志竟成	一事無成
有志竟成	半途而廢
有志竟成	無成
看朱成碧	明察秋毫
看朱成碧	一清二楚
看朱成碧	清醒
七扭八歪	端端正正
七扭八歪	整齊
七扭八歪	筆直
本鄉本土	異國他鄉
本鄉本土	他鄉
本鄉本土	外地
清閒自在	忙忙碌碌
抑鬱寡歡	興高采烈
故技重演	改弦易轍
故技重演	洗心革面
故技重演	不再
歸根結蒂	浮於表面
歸根結蒂	不求甚解
歸根結蒂	粗看
俯仰之間	經年累月
俯仰之間	漫長
俯仰之間	長久
公之於世	秘而不宣
姑妄聽之	洗耳恭聽
姑妄聽之	認真對待
姑妄聽之	當真
大吹大擂	謙虛謹慎
天香國色	其貌不揚
能掐會算	胸中無數
能掐會算	茫然
能掐會算	不會
鼎足之勢	一枝獨秀
鼎足之勢	獨霸
鼎足之勢	一家獨大
丟卒保車	玉石俱焚
丟卒保車	全軍覆沒
丟卒保車	不捨
切齒痛恨	讚不絕口
養家活口	遊手好閒
養家活口	坐吃山空
養家活口	不養家
鴕鳥政策	直面問題
鴕鳥政策	正視現實
鴕鳥政策	勇敢
一表人材	其貌不揚
一表人材	醜陋
一表人材	平庸
如花似錦	殘花敗柳
氣衝霄漢	垂頭喪氣
氣衝霄漢	萎靡不振
氣衝霄漢	低沉
穩定平衡	不穩定平衡
穩定平衡	動盪
穩定平衡	失衡
縱虎歸山	斬草除根
虎口餘生	在劫難逃
見風轉舵	堅持原則
來回來去	一去不返
來回來去	單程
來回來去	不再
思潮起伏	心如止水
思潮起伏	平靜
思潮起伏	無波
神工鬼斧	粗製濫造
神工鬼斧	拙劣
神工鬼斧	笨拙
自食其言	言而有信
抱薪救火	釜底抽薪
橫眉怒目	慈眉善目
優哉遊哉	疲於奔命
破竹之勢	強弩之末
象牙之塔	人間煙火
象牙之塔	深入生活
象牙之塔	現實
嗜殺成性	慈悲為懷
嗜殺成性	好生之德
嗜殺成性	仁厚
杳無人煙	人煙稠密
刀光血影	歌舞昇平
刀光血影	太平盛世
刀光血影	和平
狼奔豕突	從容不迫
狼奔豕突	井然有序
狼奔豕突	有序
虎踞龍蟠	不堪一擊
虎踞龍蟠	搖搖欲墜
虎踞龍蟠	虛弱
頑石點頭	無動於衷
頑石點頭	頑固不化
頑石點頭	不悟
即興之作	深思熟慮
即興之作	長期醞釀
即興之作	精雕
樹大根深	根基淺薄
樹大根深	無根無基
樹大根深	脆弱
言者無罪	言者有罪
言者無罪	因言獲罪
言者無罪	鉗口
空無所有	應有盡有
乘其不備	堂堂正正
乘其不備	約期而戰
乘其不備	有備
倒海翻江	風平浪靜
打鐵趁熱	坐失良機
姑妄言之	言之鑿鑿
姑妄言之	認真說
姑妄言之	當真
龍盤虎踞	不堪一擊
龍盤虎踞	搖搖欲墜
龍盤虎踞	虛弱
多謀善斷	優柔寡斷
孤兒寡婦	合家團圓
孤兒寡婦	妻兒老小
孤兒寡婦	完整家庭
活龍活現	死氣沉沉
神差鬼使	自作主張
神差鬼使	蓄意
神差鬼使	故意
威信掃地	威信卓著
花朝月夕	愁雲慘霧
花朝月夕	暗無天日
花朝月夕	淒涼
敬若神明	視如敝屣
敬若神明	輕視
敬若神明	鄙夷
炒買炒賣	長期持有
炒買炒賣	穩健經營
炒買炒賣	不炒
意在言外	直言不諱
意在言外	字面意思
意在言外	明說
成千成萬	寥寥無幾
知人之明	有眼無珠
知人之明	看走眼
知人之明	不明
人地生疏	輕車熟路
名繮利鎖	淡泊名利
名繮利鎖	無拘無束
名繮利鎖	超脫
從諫如流	剛愎自用
正中要害	隔靴搔癢
正中要害	不着邊際
正中要害	偏離
清風兩袖	中飽私囊
鞍馬勞頓	養尊處優
鞍馬勞頓	安逸
鞍馬勞頓	舒適
下車伊始	久居此地
下車伊始	輕車熟路
下車伊始	老資格
打小算盤	顧全大局
打小算盤	大氣
打小算盤	不計較
激昂慷慨	有氣無力
激昂慷慨	萎靡不振
激昂慷慨	消沉
頭角崢嶸	默默無聞
刮目相待	不屑一顧
錦心繡口	拙嘴笨舌
錦心繡口	語無倫次
錦心繡口	木訥
零打碎敲	一氣呵成
零打碎敲	大刀闊斧
零打碎敲	整體
前呼後應	前後脫節
前呼後應	互不相干
前呼後應	孤立
寡頭政治	民主政治
寡頭政治	人民當家
寡頭政治	民主
寸草不留	完好無損
惘然若失	怡然自得
混淆黑白	黑白分明
賣身投靠	堅貞不屈
頓開茅塞	如墜五里霧中
頓開茅塞	迷惑
頓開茅塞	不解
仁人君子	奸佞小人
力竭聲嘶	從容不迫
力竭聲嘶	氣定神閒
力竭聲嘶	輕鬆
踟躕不前	勇往直前
判若雲泥	不相上下
判若雲泥	半斤八兩
判若雲泥	相當
斷井頹垣	金碧輝煌
斷井頹垣	完好如初
斷井頹垣	嶄新
病病歪歪	生龍活虎
虎躍龍騰	死氣沉沉
嘁嘁喳喳	沉默寡言
嘁嘁喳喳	鴉雀無聲
嘁嘁喳喳	安靜
薪盡火傳	後繼無人
薪盡火傳	斷代失傳
薪盡火傳	熄滅
殺雞嚇猴	慈心軟手
殺雞嚇猴	寬宏大量
殺雞嚇猴	不嚇
貪天之功	功成不居
大謬不然	千真萬確
深溝高壘	不堪一擊
深溝高壘	無險可守
深溝高壘	敞開
渙然冰釋	疑雲重重
棄舊圖新	抱殘守缺
風和日暖	狂風暴雨
稱孤道寡	謙卑自牧
稱孤道寡	稱臣
稱孤道寡	平民
一筆抹殺	充分肯定
年深月久	一時半刻
年深月久	短暫
年深月久	片刻
看風使舵	堅持原則
命赴黃泉	健在人世
命赴黃泉	長命百歲
命赴黃泉	活着
在所不計	斤斤計較
鱷魚眼淚	真心哀悼
鱷魚眼淚	真情
鱷魚眼淚	同情
求田問舍	胸懷大志
求田問舍	志在千里
求田問舍	遠志
貪小失大	抓大放小
吹糠見米	遠水不解近渴
吹糠見米	緩不濟急
吹糠見米	無果
要言不煩	廢話連篇
貧病交迫	家財萬貫
備而不用	即備即用
備而不用	立即使用
備而不用	用上
蔫頭耷腦	精神抖擻
蔫頭耷腦	興致勃勃
蔫頭耷腦	昂揚
五色繽紛	單調乏味
嘰嘰嘎嘎	鴉雀無聲
嘰嘰嘎嘎	沉默
嘰嘰嘎嘎	安靜
暴虎馮河	有勇有謀
暴虎馮河	慎重
暴虎馮河	智取
飛蛾投火	明哲保身
飛蛾投火	趨利避害
飛蛾投火	保命
目無全牛	不得其門
目無全牛	一知半解
目無全牛	生疏
蜀犬吠日	見怪不怪
蜀犬吠日	司空見慣
蜀犬吠日	不驚
異化作用	同化作用
異化作用	合成
逍遙自得	疲於奔命
逍遙自得	焦慮不安
逍遙自得	勞碌
一觸即發	風平浪靜
一馬當先	畏縮不前
不擇手段	光明正大
半推半就	乾脆拒絕
半推半就	欣然接受
半推半就	果斷
卿卿我我	形同陌路
卿卿我我	反目成仇
卿卿我我	冷淡
土生土長	外來客
土生土長	移民
土生土長	外地人
平地風波	風平浪靜
平地風波	無事生非
平地風波	平靜
年事已高	年方弱冠
年事已高	青春年少
年事已高	年幼
招災惹禍	消災避禍
招災惹禍	平安無事
招災惹禍	吉祥
曾幾何時	此時此刻
曾幾何時	如今
曾幾何時	現在
有史以來	史前時代
有史以來	從未有過
有史以來	未來
罪魁禍首	無辜受害者
腥風血雨	太平盛世
萬事俱備	毫無準備
虎視眈眈	視若無睹
虎視眈眈	漠不關心
虎視眈眈	不屑
缺心少肺	心眼多
缺心少肺	精明
缺心少肺	機靈
直抒己見	拐彎抹角
優勝劣敗	優勝劣不汰
優勝劣敗	平均主義
優勝劣敗	保護弱者
精雕細鏤	粗製濫造
超羣絕倫	平庸無奇
虛應故事	認真對待
虛應故事	一絲不苟
虛應故事	當真
同工異曲	大相徑庭
同工異曲	截然不同
同工異曲	南轅北轍
明窗淨几	髒亂不堪
明窗淨几	邋遢
明窗淨几	污濁
粥少僧多	粥多僧少
獨夫民賊	人民公僕
獨夫民賊	仁君
獨夫民賊	賢主
堯天舜日	暗無天日
堯天舜日	暴政
堯天舜日	亂世
璞玉渾金	金玉其外
璞玉渾金	華而不實
璞玉渾金	虛飾
瓦釜雷鳴	黃鐘大呂
瓦釜雷鳴	正聲
瓦釜雷鳴	雅樂
因人成事	自力更生
因人成事	獨力完成
因人成事	自主
左道旁門	康莊大道
左道旁門	正道
左道旁門	正統
權慾薰心	淡泊名利
權慾薰心	清心寡慾
權慾薰心	無欲
持之有故	無稽之談
渺無音信	音信頻傳
蠅頭微利	暴利
蠅頭微利	鉅額利潤
蠅頭微利	厚利
銅筋鐵骨	弱不禁風
銅筋鐵骨	嬌弱
銅筋鐵骨	脆弱
瞞上欺下	開誠佈公
不避艱險	貪生怕死
不避艱險	臨陣脫逃
不避艱險	畏縮
情文並茂	枯燥乏味
情文並茂	平鋪直敘
情文並茂	呆板
深藏若虛	鋒芒畢露
深藏若虛	誇誇其談
深藏若虛	張揚
堅持不渝	半途而廢
手急眼快	笨手笨腳
鑑貌辨色	有眼無珠
鑑貌辨色	遲鈍
鑑貌辨色	不察
騎馬找馬	得心應手
騎馬找馬	物盡其用
騎馬找馬	已有
旋轉乾坤	無力回天
旋轉乾坤	回天乏術
旋轉乾坤	無奈
補偏救弊	變本加厲
補偏救弊	雪上加霜
補偏救弊	惡化
金城湯池	不堪一擊
金城湯池	無險可守
金城湯池	敞開
一心一德	離心離德
見縫就鑽	安分守己
見縫就鑽	守本分
見縫就鑽	不鑽
磕磕撞撞	穩穩當當
磕磕撞撞	從容
磕磕撞撞	順暢
戴月披星	養尊處優
升堂入室	不得其門
探賾索隱	不求甚解
探賾索隱	淺嘗輒止
探賾索隱	粗看
渾金璞玉	金玉其外
渾金璞玉	華而不實
渾金璞玉	虛飾
文風不動	地動山搖
文風不動	動盪
文風不動	搖晃
煮豆燃萁	手足情深
煮豆燃萁	兄友弟恭
煮豆燃萁	和睦
火海刀山	安樂窩
火海刀山	坦途
火海刀山	舒適
蘭摧玉折	長命百歲
蘭摧玉折	安然無恙
蘭摧玉折	健在
六親無靠	親朋滿座
六親無靠	高朋滿座
六親無靠	有依靠
怪誕不經	平實可信
怪誕不經	真實
怪誕不經	尋常
聽風是雨	明察秋毫
聽風是雨	實事求是
聽風是雨	求證
人亡物在	人亡物亡
人亡物在	物是人非
人亡物在	皆空
百無一失	漏洞百出
百無一失	錯誤連連
百無一失	有失
冥思苦索	不假思索
冥思苦索	靈機一動
冥思苦索	脫口而出
言人人殊	眾口一詞
言人人殊	意見一致
言人人殊	共識
