head	essay_frequency	syn_tails	syn_neighbors
繼承	1957	21	傳承,前僕後繼,前赴後繼,延續,後續
自身	1957	10	小我,己,我,本人,本身
落水	1957	14	一誤再誤,不思進取,不能自拔,吃喝玩樂,墮落
行業	1957	4	本行,業,行,行當
裝飾	1957	10	裝修,裝潢,裝璜,裝裱,裝飾品
要害	1957	48	一言九鼎,中心,主要,事關重大,典型
起行	1957	8	上路,出發,動身,啓程,登程
迷茫	1957	29	不明,依稀,影影綽綽,微茫,恍
送到	1957	1	送給
進發	1957	8	一往直前,上,上前,前進,向前
過往	1957	17	一來二去,交往,來來往往,來去,來回
過癮	1957	16	好過,安逸,安適,寫意,恬適
震撼	1957	9	動,感動,打動,撥動,撼
體諒	1957	3	原宥,諒,諒解
點心	1957	5	墊補,茶食,點,點補,點飢
黯然	1957	25	低沉,天昏地暗,幽暗,感傷,慘淡
星期天	1952	8	小禮拜,星期,星期日,禮拜,禮拜天
傻子	1950	7	二愣子,二百五,低能兒,傻帽,傻瓜
敢於	1948	48	一身是膽,不避艱險,出生入死,剽悍,劈風斬浪
用藥	1947	2	下藥,投藥
大城市	1946	1	大都會
出資	1945	5	出錢,慷慨解囊,掏腰包,掏錢,解囊
國際市場	1945	1	世界市場
寬度	1941	10	升幅,增幅,增長率,大幅度,寬
男孩子	1940	1	少男
大頭	1939	15	元寶,光洋,冤大頭,大洋,洋
中小	1937	6	不大不小,中,中型,中等,半大
隱患	1933	1	心腹之患
胎兒	1931	2	胎,胚胎
三維	1929	1	三度空間
做工	1927	1	幹活兒
壁紙	1926	41	仿紙,元書紙,圖紙,土紙,字紙
來得	1925	10	亮,出示,呈示,展示,形
序列	1925	8	列,排,班,行,行列
機動車	1920	54	三輪車,二手車,出租車,加長,包車
侷限	1917	2	受制,囿
鏡像	1912	1	鏡像站點
期刊	1908	4	刊,刊物,報,雜誌
船舶	1908	8	舟,舟楫,舡,舫,船
書法	1907	25	作法,做法,優選法,刀法,句法
核算	1907	1	核計
製成	1907	1	釀成
關愛	1907	8	眷顧,關切,關心,關懷,關懷備至
動畫片	1906	3	動畫,卡通,卡通片
首批	1901	22	伯,元,冠,初,初次
電氣	1899	15	光氣,地氣,天然氣,廢氣,水煤氣
傳感器	1897	82	充電器,冷卻器,分配器,加速器,助聽器
混凝土	1895	1	砼
看重	1892	27	仰觀,倚重,偏重,側重,刮目相待
製造商	1890	16	供應商,出口商,出版商,外商,官商
託管	1889	5	共管,套管,接管,監管,經管
服務業	1884	49	出版業,副業,化工,印刷業,土建
掛牌	1882	1	上市
來源於	1881	11	來,來源,來自,出自,導源
原油	1879	1	石油
派出	1879	13	使,叫,差,差使,差遣
開闢	1870	4	打開,開拓,開發,闢
並非	1868	11	不用,不要,休想,別,毫不
互動	1868	8	並行,互,互相,交互,彼此
人選	1868	5	人,人士,人氏,人物,士
佔據	1868	18	佔,佔有,佔用,壟斷,專
保齡球	1868	17	冰球,壘球,手球,排球,曲棍球
修補	1868	20	修,修修補補,修復,修整,修理
公元	1868	1	紀元
再三	1868	32	一再,三番五次,亟,再,勤
分成	1868	1	分為
到頭來	1868	15	到底,卒,好不容易,好容易,歸根到底
劇本	1868	3	本子,腳本,院本
力度	1868	41	亮度,傾斜度,光照度,剛度,加速度
動物園	1868	6	伊甸園,桑園,植物園,田莊,科學園
同黨	1868	2	一丘之貉,狐群狗黨
周身	1868	5	一身,全身,渾身,滿身,通身
商隊	1868	22	交響樂隊,儀仗隊,啦啦隊,國家隊,宣傳隊
城堡	1868	3	城建,堡,塢
場地	1868	23	僻地,兩地,半殖民地,原產地,場合
塞車	1868	16	人山人海,人滿為患,前呼後擁,摩肩接踵,擁擠
外界	1868	9	之外,以外,外,外側,外圍
多年	1868	11	常年累月,年久月深,年深月久,從小到大,成年累月
天花	1868	8	天花板,尾花,提花,紅花,落花
姐妹	1868	1	姊妹
尋求	1868	3	營,謀,謀求
巡邏	1868	7	哨,巡,巡查,巡行,巡視
帳篷	1868	6	帳幕,帷幄,帷幕,幕,篷
弱智	1868	11	一無所長,低能,凡庸,尸位素餐,差勁
心想	1868	27	動腦筋,合計,尋味,尋思,心諗
思念	1868	18	叨唸,思,思慕,思量,惦念
感冒	1868	5	傷風,傷風感冒,受寒,受涼,着涼
憔悴	1868	2	枯槁,面黃肌瘦
手工	1868	1	細工
手頭	1868	5	光景,境況,境遇,手下,手邊
打斜	1868	6	側,傾,傾斜,斜,歪
打發	1868	18	使,叫,差,差使,差遣
投放	1868	5	下,投,排放,施放,置之腦後
抽水	1868	4	濃縮,縮水,縮短,縮編
招數	1868	12	一手,伎倆,心數,心眼,手段
挑釁	1868	1	尋釁
救護車	1868	53	三輪車,二手車,出租車,加長,包車
教練	1868	4	教官,教頭,訓,訓練
施展	1868	3	施,玩,耍
明日	1868	11	他日,來日,前,將來,明
星期二	1868	2	禮拜二,週二
未曾	1868	17	一無,不曾,並未,尚未,從不
未能	1868	6	不能,不許,使不得,力所不及,無從
某些	1868	7	一些,一點,好幾,小半,少數
極點	1868	11	尖峯,巔峯,極,極端,極限
流程	1868	1	流水線
流逝	1868	4	光陰荏苒,無以為繼,荏苒,蹉跎
滲入	1868	18	乘虛而入,入,入院,切入,投入
演員	1868	6	伶,優,優伶,戲子,藝人
煙花	1868	2	焰火,煙火
熊熊	1868	38	兇,兇猛,凌厲,利害,劇
現今	1868	16	今,今天,今日,今昔,今朝
環視	1868	4	圍觀,掃描,掃視,環顧
發狂	1868	10	狂,痴,瘋,瘋狂,瘋癲
皇后	1868	2	娘娘,王后
真身	1868	16	人身,人體,肉身,肉體,肌體
神通	1868	1	三頭六臂
程序	1868	9	主次,先來後到,先後,序,次
空中	1868	5	上空,半空,半空中,空間,長空
符咒	1868	2	咒,咒語
結構	1868	3	佈局,構造,組織
緊接	1868	21	交接,對接,屬,接,接合
聲浪	1868	11	動靜,濤,籟,聲,聲音
職位	1868	5	位置,哨位,崗位,職,職務
腰部	1868	4	腰,腰桿子,腰眼,腰肢
袋鼠	1868	3	倉鼠,野鼠,鼯鼠
補救	1868	3	亡羊補牢,彌補,挽救
裝作	1868	9	作,作偽,佯,佯裝,假裝
規定	1868	2	確定,規程
解剖	1868	13	催眠,剖腹,化療,截肢,手術
診所	1868	5	病院,診療所,醫務室,醫務所,醫院
證實	1868	13	作證,印證,徵,應驗,求證
車廂	1868	1	艙室
逃生	1868	1	逃命
通心粉	1868	10	冷麪,壽麪,拌麪,擔擔麪,方便麪
鑽石	1868	3	金剛石,金剛鑽,鑽
開玩笑	1868	24	不值一提,不屑一顧,不足掛齒,不足道,不過如此
開眼	1868	3	張目,睜,睜眼
閘口	1868	19	井口,交叉口,出入口,出口,出海口
關頭	1868	9	之際,契機,節骨眼,轉折點,轉捩點
陷阱	1868	6	圈套,牢籠,鈎,阱,陷坑
雪花	1868	6	冰雪,白雪,雪,雪片,飛雪
青山	1868	2	翠微,蒼山
非禮	1868	6	不周,失禮,怠,怠慢,簡慢
飲水	1868	33	井水,暢飲,枯水,死水,污水
飲食	1868	8	伙食,口腹,夥,膳,膳食
騎兵	1868	19	保安隊,偵察兵,別動隊,工程兵,憲兵
鬆綁	1868	15	勒,包紮,扎,打,捆
地質	1867	1	地理
號召	1867	6	召,召喚,呼喚,喚起,感召
