head	reason
但係	function_word
點解	function_word
邊個	function_word
即係	function_word
唔到	no_gradable_opposite
邊度	function_word
係咪	function_word
同埋	function_word
點樣	function_word
仲有	function_word
做咩	function_word
唔該	function_word
點知	function_word
諗住	polysemous_no_stable_sense
仲要	function_word
唔通	function_word
望住	no_gradable_opposite
淨係	function_word
梗係	function_word
噉樣	function_word
啱啱	function_word
喪屍	no_gradable_opposite
雙手	no_gradable_opposite
點算	function_word
轉身	no_gradable_opposite
定係	function_word
冇乜	function_word
所謂	function_word
睇住	no_gradable_opposite
唔好意思	function_word
先至	function_word
姨姨	no_gradable_opposite
心諗	no_gradable_opposite
嗰個	function_word
對於	function_word
令到	function_word
一係	function_word
無啦啦	function_word
睇嚟	function_word
鎖匙	no_gradable_opposite
試過	no_gradable_opposite
耳仔	no_gradable_opposite
點鐘	no_gradable_opposite
屋企人	no_gradable_opposite
