rank	head	essay_frequency	syn_tails	syn_neighbors
1	多方面	1549	6	多方,多邊,多頭
2	多重	1549	33	一系列,一連串,不一而足
3	皇冠	1549	1	王冠
4	僅供參考	1547	1	僅作參考
5	歸屬	1547	9	名下,屬,歸
6	麪條	1547	1	面
7	停機	1546	17	停刊,停學,停工
8	審理	1545	3	判案,審判,斷案
9	英鎊	1544	34	人民幣,便士,先令
10	交納	1540	8	上繳,交,呈交
11	經貿	1540	10	內貿,商,商業
12	姥姥	1539	13	助產士,外婆,外祖母
13	克隆	1538	2	仿製,仿造
14	票據	1538	9	券,單,單子
15	駕照	1538	1	駕駛執照
16	米飯	1537	3	白玉,白飯,飯
17	天河	1535	4	星河,河漢,銀河
18	盤子	1534	4	物價指數,盤,行市
19	特大	1533	18	偌大,大,大幅度
20	通訊員	1532	2	交通,交通員
21	治癒	1530	10	大好,好,康復
22	有的是	1529	32	不少,博,叢
23	綜述	1529	9	彙總,概括,歸納
24	前列	1528	4	上家,前排,前段
25	表決	1528	13	仲裁,公決,定奪
26	口岸	1527	5	海口,海港,港
27	辦案	1527	21	圍捕,批捕,抓
28	概述	1526	5	口述,簡述,自述
29	第十	1526	4	第七,第九,第五
30	退回	1525	18	倒退,卻步,吐出
31	成年人	1523	7	丁,中年人,人
32	油田	1523	3	氣田,油氣田,煤田
33	勞務	1520	7	勞,勞動,會務
34	攝像	1520	10	拍,拍攝,拍照
35	銜接	1520	21	交接,對接,屬
36	農機	1519	1	農械
37	養生	1519	10	保健,保養,將息
38	稀飯	1518	3	米湯,粥,糜
39	花卉	1517	5	唐花,山水畫,春宮
40	總局	1515	4	母公司,總公司,總店
41	體育館	1515	5	圖書館,天文館,展覽館
42	實況	1513	7	事實,實,實情
43	一帶	1512	11	內外,前後,就地
44	一月	1512	4	元月,新月,正月
45	交錯	1512	3	犬牙交錯,縱橫,闌幹
46	人事	1512	17	人情,儀,性慾
47	份量	1512	7	份額,分量,毛重
48	伸懶腰	1512	1	伸腰
49	作嘔	1512	17	倒胃口,厭,厭惡
50	全都	1512	16	一總,俱,備
51	前者	1512	1	前端
52	勾引	1512	10	利誘,吊胃口,啖
53	十月	1512	3	小春,小陽春,陽春
54	協議	1512	20	共謀,協商,合計
55	受驚	1512	6	吃驚,嚇親,大吃一驚
56	吞噬	1512	8	侵佔,侵吞,兼併
57	告白	1512	3	啓事,字帖,揭帖
58	場景	1512	14	世面,光景,場面
59	壽命	1512	3	人壽,壽,壽數
60	大街	1512	4	街,街道,逵
61	奉獻	1512	5	呈獻,奉,孝敬
62	威嚴	1512	30	人高馬大,儼,儼然
63	完事	1512	23	一氣呵成,不負眾望,做到
64	家用	1512	2	日用,生活費
65	對得住	1512	8	不愧,問心無愧,對得起
66	居住	1512	9	位居,住,卜居
67	差點	1512	4	差啲,險,險乎
68	年頭	1512	5	年初,新年,新春
69	引擎	1512	1	動力機
70	形勢	1512	19	事態,事機,勢
71	後母	1512	4	後媽,後孃,晚娘
72	志願	1512	6	兩相情願,志,樂得
73	快餐	1512	5	大餐,套餐,正餐
74	怨氣	1512	5	嫌怨,怨,怨尤
75	情書	1512	6	介紹信,便函,公開信
76	惺忪	1512	29	不明,依稀,影影綽綽
77	意粉	1512	1	意大利粉
78	慰藉	1512	7	勸慰,安慰,安撫
79	應酬	1512	8	交道,交際,周旋
80	成份	1512	2	分,成分
81	手感	1512	34	使命感,信任感,優越感
82	手持	1512	16	仗,執,手
83	打理	1512	2	司儀,禮賓司
84	拋開	1512	22	丟,丟掉,丟棄
85	指出	1512	5	指明,透出,道出
86	指尖	1512	5	手指,手指尾,手指頭
87	搜尋	1512	19	尋,尋找,尋覓
88	散步	1512	8	撒,播,播撒
89	數目	1512	9	多寡,多少,數
90	方位	1512	4	向,方,方向
91	時分	1512	13	上,下,天時
92	暗自	1512	29	一聲不響,不動聲色,不可告人
93	曲線	1512	42	丙種射線,中心線,中線
94	有着	1512	23	不無,享,享有
95	民族	1512	3	中華民族,族,部族
96	水上	1512	6	台上,地上,樓上
97	清洗	1512	13	保潔,洗,洗滌
98	火星	1512	21	主星,五星,亢
99	熱身	1512	1	熱身運動
100	特首	1512	6	主腦,元首,法老
101	班機	1512	4	客機,專機,座機
102	理應	1512	11	合宜,應,應有
103	疤痕	1512	2	傷疤,傷痕
104	痛心	1512	20	不堪回首,人琴俱亡,叫苦連天
105	百合	1512	1	百合花
106	皇家	1512	8	國,宗室,王室
107	程式	1512	25	公式,分子式,各式
108	種類	1512	17	列,品目,品種
109	級數	1512	51	一次函數,不定根,乘數
110	終極	1512	21	尖峯,尾聲,巔峯
111	網站	1512	4	太空站,收費站,檢疫站
112	縱然	1512	16	不怕,便,儘管
113	翻去	1512	1	翻到
114	耳筒	1512	1	耳機
115	胡亂	1512	7	亂,亂七八糟,妄
116	脂肪	1512	6	油,脂,脂膏
117	草原	1512	3	科爾沁,草地,草野
118	螞蟻	1512	2	蚍蜉,蟻
119	血肉	1512	10	厚誼,手足之情,深情
120	衣衫	1512	12	服,服裝,服飾
121	要緊	1512	51	一言九鼎,不得了,主要
122	見狀	1512	28	察看,張,探望
