head	essay_frequency	syn_tails	syn_neighbors
仲好	11301	1	還好
別的	10542	1	其他
八婆	9877	1	長舌婦
第日	9877	1	他日
返轉頭	9877	1	回頭
吹水	9788	1	閒聊
怕醜	9788	1	害羞
換衫	9788	1	更衣
洗頭水	9788	1	洗髮露
點做	9788	1	怎麼辦
大部份	9699	1	大部分
心裡	9699	1	心裏
遲啲	9610	1	稍後
肥仔	9432	1	胖子
就嚟	9343	1	快要
背影	9254	1	身影
好嘢	9165	1	好事
幾點	9165	1	何時
發夢	9165	1	做夢
搞笑	9076	1	好笑
擰頭	8987	1	搖頭
仔女	8898	1	兒女
傻妹	8898	1	傻女
唔捨得	8898	1	捨不得
朝頭早	8898	1	清晨
老嘢	8898	1	老人
衰仔	8898	1	壞蛋
冇所謂	8720	1	無所謂
大隻	8720	1	高大
並無	8631	1	沒有
千祈	8631	1	千萬
尋晚	8631	1	昨晚
直情	8631	1	簡直
不在	8569	1	不在場
交流	8542	1	溝通
太過	8542	1	過於
總有	8542	1	總會
是但	8453	1	隨便
間房	8453	1	房間
忘了	8373	1	忘記
之餘	8364	1	此外
沿住	8364	1	順着
文檔	8277	1	文件
以嚟	8186	1	以來
叫醒	8186	1	喚醒
師奶	8186	1	主婦
後尾	8097	1	後來
行山	8097	1	登山
合照	7919	1	合影
打橫	7830	1	橫過
玩完	7830	1	結束
阿伯	7830	1	伯父
盡快	7741	1	趕快
角色	7741	1	人物
越嚟越	7741	1	越來越
什麼時候	7699	1	何時
墳場	7563	1	墓地
行街	7474	1	逛街
講起	7474	1	提起
礦場	7385	1	礦坑
第時	7385	1	將來
晏晝	7296	1	下午
本能	7296	1	天性
雞仔	7296	1	雞
一口	7207	1	一口氣
毫子	7207	1	零錢
細細個	7118	1	小時候
尿片	7029	1	尿布
利是	6940	1	紅包
胸圍	6940	1	胸罩
金毛	6940	1	狗
電單車	6940	1	摩托車
契媽	6851	1	義母
廣東話	6851	1	粵語
重有	6851	1	還有
鼻哥	6851	1	鼻子
一次過	6763	1	一口氣
乜鬼	6763	1	什麼
搞錯	6763	1	弄錯
有份	6763	1	參與
死仔	6674	1	該死
餅乾	6674	1	曲奇
成世	6585	1	一輩子
第二次	6585	1	再次
當堂	6496	1	當場
鐵閘	6496	1	鐵門
工作人員	6440	1	職員
空調	6435	1	冷氣
呢邊	6407	1	這邊
嚇親	6407	1	受驚
想問	6407	1	請問
第二朝	6407	1	翌日
好易	6318	1	容易
尋日	6318	1	昨天
卻是	6256	1	倒是
大件事	6229	1	大事
山窿	6229	1	山洞
黐線	6229	1	發瘋
個鐘	6140	1	小時
嗰日	6140	1	當日
小巴	6140	1	巴士
急急腳	6140	1	急忙
授權	6052	1	準許
世伯	6051	1	伯父
收皮	6051	1	收場
重覆	6051	1	重複
硬係	5962	1	偏偏
食煙	5962	1	吸煙
挺好	5911	1	不錯
一來	5873	1	一嚟
老土	5873	1	過時
膠袋	5873	1	塑料袋
頂唔順	5873	1	受不了
主板	5861	1	主機板
多少錢	5852	1	幾錢
顯卡	5819	1	顯示卡
側邊	5784	1	旁邊
神經	5695	1	神經質
褲袋	5695	1	口袋
乜事	5606	1	何事
唔只	5606	1	不僅
打交	5606	1	打架
芝士	5606	1	乳酪
記者	5606	1	訪員
錯愕	5606	1	驚愕
首頁	5556	1	主頁
成晚	5517	1	通宵
一會	5428	1	一會兒
正話	5428	1	剛才
留言	5428	1	留話
睇醫生	5428	1	就醫
阿公	5428	1	爺爺
大鑊	5339	1	麻煩
廢事	5339	1	多餘
聽朝	5339	1	明早
開聲	5339	1	出聲
無辜	5250	1	清白
識得	5250	1	懂得
車轆	5250	1	車輪
版主	5219	1	斑竹
手裏	5185	1	手上
鼠標	5168	1	滑鼠
入邊	5161	1	裏面
冇計	5161	1	無奈
嘔心	5161	1	噁心
大笨象	5161	1	大象
打波	5161	1	打球
波鞋	5161	1	球鞋
突破	5161	1	衝破
返來	5161	1	回來
