head	tail
停機	開機
治癒	惡化
有的是	缺乏
退回	收下
交錯	整齊
全都	部份
前者	後者
勾引	拒絕
受驚	鎮定
吞噬	吐出
奉獻	索取
威嚴	輕浮
完事	未完
對得住	對不起
差點	穩陣
後母	親母
快餐	正餐
怨氣	喜氣
慰藉	折磨
應酬	獨處
拋開	緊握
指出	隱瞞
搜尋	放棄
散步	奔跑
暗自	公開
清洗	弄髒
熱身	收工
理應	不該
痛心	欣慰
終極	開始
胡亂	仔細
要緊	無關
連同	除外
鍾情	厭惡
零食	正餐
點火	熄火
復出	引退
對接	脫節
吐血	止血
返還	扣留
拓寬	收窄
越發	減少
從沒	常常
租用	購買
鑑別	混淆
稍稍	大大
抓獲	釋放
弘揚	貶抑
自治	他治
着眼	忽視
着實	虛假
來訪	離去
規避	面對
泄漏	保密
開銷	節省
婚後	婚前
乘車	步行
治病	致病
費勁	輕鬆
索賠	賠償
跟上	落後
事兒	無事
跟上	脫節
杜絕	放任
回升	下跌
不耐煩	耐心
增長	減少
強勁	疲弱
有幸	不幸
打消	堅持
推倒	扶起
推動	阻礙
絕不	一定
跌倒	站起
不覺	有覺
保住	失去
冰凍	融化
叮囑	沉默
可笑	莊重
同等	不同
吶喊	靜默
填補	掏空
年少	年老
強逼	自願
恐嚇	安慰
悄悄	大聲
懷孕	流產
接吻	拒絕
擅自	請示
收服	反抗
湧出	吸入
滑落	攀升
潛入	浮出
無意中	故意
耀眼	暗淡
舉例	概括
該死	可憐
過關	落榜
開花	凋謝
開關	關機
關懷	冷漠
防備	大意
餘下	用盡
提速	減速
恨不得	甘願
塗抹	擦淨
流淌	凝結
午後	上午
大選	落選
漂流	停泊
下月	上月
強有力	軟弱
當即	延後
抽空	沒空
下山	上山
退回	接收
受驚	冷靜
完事	開始
差點	穩妥
拋開	抓緊
清洗	污染
痛心	高興
胡亂	認真
要緊	次要
鍾情	討厭
點火	滅火
復出	退役
從沒	總是
租用	買斷
抓獲	放走
規避	迎戰
泄漏	密封
開銷	節儉
費勁	省力
索賠	拒賠
跟上	落伍
冰凍	解凍
叮囑	放任
可笑	嚴肅
吶喊	噤聲
填補	挖空
年少	年邁
恐嚇	安撫
悄悄	高聲
懷孕	不孕
收服	對抗
湧出	倒灌
滑落	爬升
潛入	浮上
無意中	有意
耀眼	黯淡
該死	可愛
過關	失敗
開花	枯萎
關懷	漠視
防備	疏忽
餘下	耗盡
塗抹	清除
流淌	凝固
午後	清晨
漂流	靠岸
當即	拖延
抽空	忙碌
下山	登山
多方面	單一
特大	微小
有的是	稀少
全部	部份
交錯	平行
作嘔	可口
奉獻	自私
威嚴	隨和
居住	流浪
形勢	混亂
怨氣	開心
應酬	清閒
打理	放任
指出	遮掩
暗自	當眾
熱身	正式
疤痕	完膚
痛心	歡喜
胡亂	有序
脂肪	瘦削
要緊	小事
連帶	無關
鍾情	厭棄
點火	熄滅
復出	隱退
對接	斷開
返還	沒收
拓寬	縮窄
越發	愈減
從沒	經常
租用	自購
稍稍	極之
抓獲	逃脫
弘揚	打壓
自治	附庸
着眼	無視
着實	假裝
規避	直視
泄漏	封鎖
開銷	進賬
婚後	未婚
索賠	理賠
考古	臆測
不覺	清醒
保住	丟掉
叮囑	緘默
同等	相異
吶喊	沉默
填補	留空
年少	年長
恐嚇	撫慰
悄悄	公開
懷孕	未孕
接吻	推開
湧出	吸回
滑落	攀爬
耀眼	平淡
舉例	總結
該死	可親
過關	不合格
開花	落花
開關	關閉
關懷	冷淡
餘下	全無
提速	降速
恨不得	不願
塗抹	擦掉
流淌	靜止
午後	凌晨
大選	落敗
下月	本月
強有力	無力
當即	遲緩
