head	tail
細妹	家姐
掛住	忘記
幾好	好差
幾好	好衰
坐低	企起
講真	講大話
講真	呃人
細細聲	大聲
細細聲	嘈
陣間	而家
陣間	即刻
唔多	好多
唔錯	好差
唔錯	好衰
留低	走
留低	離開
裏便	外面
裏便	外便
大嗌	細細聲
大嗌	噤聲
仲未	已經
仲未	早就
搞掂	搞唔掂
搞掂	失敗
冇問題	有問題
冇問題	有事
埋嚟	走開
埋嚟	離開
行埋	行開
行埋	行遠
衰人	好人
衰人	善人
傻仔	聰明
傻仔	精明
唔舒服	舒服
好靚	核突
好靚	醜
好靚	難看
講笑	講真
講笑	認真
夠膽	驚
夠膽	膽小
後便	前面
後便	前便
食嘢	絕食
食嘢	斷食
每日	偶爾
每日	間中
大把	冇乜
大把	稀少
收埋	公開
收埋	攞出
好味	難食
好味	難吃
做嘢	休息
做嘢	偷懶
落車	上車
細路仔	大人
冇用	有用
老細	下屬
老細	打工仔
阻住	讓路
阻住	放行
入嚟	出去
入嚟	走開
好返	惡化
好返	轉差
特登	無意
傾計	收聲
傾計	噤聲
好朋友	敵人
好朋友	仇人
在線	離線
無謂	必要
夠鐘	未夠鐘
天台	地庫
還有	冇
這裡	嗰度
求其	認真
笑笑口	愁眉
下個	上個
估到	估唔到
面紅	面青
第二個	第一個
等陣	即刻
幾好	好差
坐低	企喺度
