head	tail
白費力氣	事半功倍
皮開肉綻	毫髮無傷
皮開肉綻	完好無損
皮開肉綻	安然無恙
盛情難卻	盛情可卻
盛情難卻	婉拒
盛情難卻	堅辭
逐字逐句	囫圇吞棗
逐字逐句	不求甚解
逐字逐句	粗讀
同工同酬	同工不同酬
同工同酬	待遇不公
同工同酬	歧視
惟我獨尊	虛懷若谷
惟我獨尊	謙遜
惟我獨尊	平等待人
經年累月	一時半刻
經年累月	轉瞬即逝
經年累月	短暫
路人皆知	鮮為人知
作惡多端	功德無量
作惡多端	積德行善
作惡多端	為善
正氣凜然	邪氣逼人
正氣凜然	猥瑣
正氣凜然	氣焰囂張
氣度不凡	小肚雞腸
氣度不凡	器量狹小
氣度不凡	小氣
無庸置疑	疑竇叢生
甩手掌櫃	親力親為
甩手掌櫃	事必躬親
甩手掌櫃	盡職
大模大樣	謹小慎微
大模大樣	畏畏縮縮
大模大樣	拘謹
欺世盜名	名副其實
膽顫心驚	處變不驚
膽顫心驚	鎮定自若
膽顫心驚	泰然
遠渡重洋	近在咫尺
遠渡重洋	足不出戶
遠渡重洋	本地
一炮打響	出師不利
嗲聲嗲氣	粗聲粗氣
嗲聲嗲氣	義正詞嚴
嗲聲嗲氣	爽朗
直抒胸臆	拐彎抹角
耍嘴皮子	身體力行
耍嘴皮子	實幹
耍嘴皮子	少說多做
觸景傷情	無動於衷
觸景傷情	心如止水
觸景傷情	漠然
言之有物	言之無物
言之有物	空洞
言之有物	廢話連篇
龍潭虎穴	安樂窩
龍潭虎穴	安全之地
龍潭虎穴	坦途
借花獻佛	自掏腰包
借花獻佛	親力親為
借花獻佛	自費
山洪暴發	風平浪靜
山洪暴發	滴水未漲
山洪暴發	乾旱
日上三竿	半夜三更
日上三竿	凌晨
日上三竿	破曉
花紅柳綠	枯枝敗葉
花紅柳綠	荒蕪
花紅柳綠	單調
話裏有話	直言不諱
冤家對頭	莫逆之交
反咬一口	認罪伏法
反咬一口	承擔責任
反咬一口	認錯
山高水長	朝生暮死
山高水長	曇花一現
山高水長	短暫
攻城掠地	割地求和
攻城掠地	退守
攻城掠地	防守
汗如雨下	滴汗未出
汗如雨下	清涼
汗如雨下	涼爽
片甲不留	全軍凱旋
片甲不留	毫髮無傷
片甲不留	完勝
老少咸宜	老少不宜
老少咸宜	僅限成人
老少咸宜	特定
迎頭痛擊	退避三舍
迎頭痛擊	望風而逃
迎頭痛擊	投降
鴻鵠之志	胸無大志
鴻鵠之志	鼠目寸光
鴻鵠之志	短視
傾城傾國	其貌不揚
傾城傾國	醜陋
傾城傾國	平庸
國破家亡	國泰民安
國破家亡	安居樂業
國破家亡	興盛
層巒疊嶂	一馬平川
層巒疊嶂	平原
層巒疊嶂	平坦
故伎重演	改弦易轍
故伎重演	洗心革面
故伎重演	不再重犯
無可爭辯	有待商榷
無可爭辯	見仁見智
無可爭辯	可爭
狗屁不通	頭頭是道
狗屁不通	言之成理
狗屁不通	通順
一衣帶水	天各一方
一衣帶水	遠隔重洋
一衣帶水	萬水千山
夢幻泡影	實實在在
夢幻泡影	真實可見
夢幻泡影	確鑿
悔之晚矣	及時悔改
悔之晚矣	亡羊補牢
悔之晚矣	無怨無悔
故作姿態	自然流露
故作姿態	真實
故作姿態	不做作
汗牛充棟	寥寥無幾
汗牛充棟	鳳毛麟角
汗牛充棟	稀少
滿盤皆輸	滿盤皆贏
滿盤皆輸	反敗為勝
滿盤皆輸	大獲全勝
無出其右	相形見絀
無出其右	望塵莫及
無出其右	不如
狡兔三窟	無處可逃
狡兔三窟	無路可退
狡兔三窟	單窟
金雞獨立	四平八穩
金雞獨立	雙腳站立
金雞獨立	不穩
僧多粥少	粥多僧少
僧多粥少	供過於求
僧多粥少	綽綽有餘
名不符實	名副其實
待價而沽	賤賣拋售
待價而沽	求售心切
待價而沽	賤售
玄之又玄	淺顯易懂
玄之又玄	一目了然
玄之又玄	通俗
花花腸子	心地單純
花花腸子	胸無城府
花花腸子	老實
鐵板一塊	一盤散沙
鐵板一塊	四分五裂
鐵板一塊	鬆散
雞鳴狗盜	正人君子
雞鳴狗盜	光明磊落
雞鳴狗盜	堂堂正正
兩面三刀	表裏如一
兵戎相見	握手言和
名聞遐邇	默默無聞
嚴絲合縫	漏洞百出
嚴絲合縫	鬆鬆垮垮
嚴絲合縫	不合
小偷小摸	江洋大盜
小偷小摸	明火執仗
小偷小摸	安分
期期艾艾	口若懸河
期期艾艾	對答如流
期期艾艾	流利
此起彼落	平靜如水
此起彼落	偃旗息鼓
此起彼落	沉寂
病魔纏身	身強力壯
病魔纏身	健康
病魔纏身	無病
修修補補	煥然一新
修修補補	推倒重來
修修補補	全新
抱成一團	分崩離析
抱成一團	各奔東西
抱成一團	離散
爭名奪利	淡泊名利
爭名奪利	清心寡慾
爭名奪利	不爭
隔牆有耳	密不透風
隔牆有耳	無人竊聽
隔牆有耳	安全
驗明正身	身份不明
驗明正身	冒名頂替
驗明正身	不清
囤積居奇	平價拋售
囤積居奇	貨暢其流
囤積居奇	散貨
惟利是圖	不謀私利
惟利是圖	大公無私
惟利是圖	重義
搜腸刮肚	脫口而出
搜腸刮肚	不假思索
搜腸刮肚	文思泉湧
破銅爛鐵	真金白銀
破銅爛鐵	寶貝
破銅爛鐵	精品
粉飾太平	直言時弊
粉飾太平	揭露黑暗
粉飾太平	揭醜
榮歸故里	浪跡天涯
榮歸故里	客死他鄉
榮歸故里	背井離鄉
出乎意外	意料之中
正經八百	嬉皮笑臉
正經八百	不正經
正經八百	吊兒郎當
滿腹牢騷	心滿意足
滿腹牢騷	毫無怨言
滿腹牢騷	知足
百般刁難	大開綠燈
百般刁難	一路暢通
百般刁難	成全
耄耋之年	豆蔻年華
耄耋之年	青春年少
耄耋之年	幼年
如上所述	如下所述
如上所述	另當別論
寬以待人	刻薄待人
恭賀新禧	惡語相向
恭賀新禧	咒罵
恭賀新禧	不賀
萬貫家財	家徒四壁
衣不蔽體	衣冠楚楚
要死不活	生龍活虎
起早摸黑	晝伏夜出
起早摸黑	懶散
起早摸黑	睡懶覺
趁人之危	雪中送炭
鼓鼓囊囊	空空如也
鼓鼓囊囊	癟癟的
鼓鼓囊囊	空
一目十行	逐字逐句
一目十行	慢慢讀
一目十行	細讀
五馬分屍	完好無損
五馬分屍	全屍
五馬分屍	善終
遁入空門	還俗入世
遁入空門	成家立業
遁入空門	在俗
魂不附體	鎮定自若
魂不附體	神色自若
魂不附體	泰然
龍蛇混雜	涇渭分明
龍蛇混雜	清一色
龍蛇混雜	純淨
俯拾皆是	鳳毛麟角
俯拾皆是	寥寥無幾
俯拾皆是	罕見
唇亡齒寒	無關痛癢
唇亡齒寒	各不相干
唇亡齒寒	獨立
心神不安	心安理得
心神不安	心如止水
心神不安	鎮定
振臂一呼	默不作聲
振臂一呼	無人響應
振臂一呼	沉寂
有兩下子	一無所長
有兩下子	三腳貓
有兩下子	無能
溝溝坎坎	一馬平川
溝溝坎坎	平坦
溝溝坎坎	順遂
莫測高深	淺顯易懂
莫測高深	一目了然
莫測高深	通俗
一文不名	腰纏萬貫
前俯後仰	正襟危坐
前俯後仰	端莊
前俯後仰	穩重
問寒問暖	不聞不問
恃才傲物	虛懷若谷
欺上瞞下	實事求是
欺上瞞下	開誠佈公
欺上瞞下	坦誠
迴天乏術	妙手回春
促膝談心	形同陌路
促膝談心	話不投機
促膝談心	疏遠
大有文章	平淡無奇
大有文章	沒什麼
大有文章	單調
推而廣之	僅此一例
推而廣之	不可類推
推而廣之	特例
政通人和	民怨沸騰
無私無畏	自私怕事
萬箭穿心	心如止水
萬箭穿心	無動於衷
萬箭穿心	開心
行善積德	作惡多端
告老還鄉	走馬上任
惺惺作態	自然流露
深宅大院	蝸居斗室
深宅大院	簡陋小屋
深宅大院	小家
篳路藍縷	養尊處優
篳路藍縷	坐享其成
篳路藍縷	安逸
鳥槍換炮	每況愈下
鳥槍換炮	走下坡
鳥槍換炮	倒退
包辦代替	放手讓人
包辦代替	民主協商
包辦代替	分權
嗚呼哀哉	喜氣洋洋
嗚呼哀哉	歡天喜地
嗚呼哀哉	慶賀
密密匝匝	稀稀拉拉
密密匝匝	零零落落
密密匝匝	稀疏
民脂民膏	清廉俸祿
火燒火燎	清涼舒爽
火燒火燎	舒適
火燒火燎	涼快
益壽延年	折壽損命
益壽延年	短命
益壽延年	傷身
罄竹難書	罄竹可書
罄竹難書	寥寥數筆
罄竹難書	可盡
