head	essay_frequency	syn_tails	syn_neighbors
寫真	2066	6	傳真,實像,寫實,畫像,真影
不在乎	2064	21	一笑置之,付之一笑,冷淡,吊兒郎當,大大咧咧
電影院	2063	2	影劇院,影院
模具	2059	1	胎具
主編	2057	1	主婚人
研討會	2056	42	人大,冬運會,午餐會,博覽會,嘉年華會
出具	2053	1	出示
南北	2050	13	中下游,中南部,兩岸,北部,大江南北
支行	2048	16	分,分公司,分層,分店,分支
單價	2047	55	代價,作價,優惠價,出價,化合價
不外乎	2046	18	包,包括,包羅,囊括,席捲
五月	2046	2	五月份,仲夏
停下	2046	26	下馬,休,休止,住,偃旗息鼓
儀器	2046	4	儀,儀表,表,計
儀式	2046	7	儀,典,典禮,式,慶典
凝望	2046	15	凝眸,凝視,只見,定睛,注目
出走	2046	1	離家出走
出身	2046	4	家世,身家,門户,門第
剎那間	2046	33	一下,一下子,一剎那,一念之差,一時間
力氣	2046	6	力,勁,勁頭,氣力,能量
包紮	2046	15	勒,扎,打,捆,捆綁
十二月	2046	1	臘月
各式	2046	25	公式,分子式,哥特式,噴氣式,填鴨式
和尚	2046	8	僧,僧侶,僧徒,沙彌,行者
和服	2046	9	制服,套服,套裝,官服,工作服
咒語	2046	2	咒,符咒
在下	2046	9	不才,不肖,僕,區區,小人
報案	2046	12	先斬後奏,告密,告發,報修,報廢
太子	2046	7	儲君,春宮,東宮,殿下,王儲
奈何	2046	2	奈,無奈何
娛樂	2046	15	娛,嬉,嬉戲,嬉水,戲
學術	2046	3	墨水,學,學問
安全帶	2046	22	佩,佩帶,佩戴,傳送帶,別
左下角	2046	6	右上方,右上角,右下方,左上方,左上角
心思	2046	33	來頭,勁,勁頭,動機,心境
戒心	2046	1	警惕性
打中	2046	4	中,命中,擊中,歪打正着
斜路	2046	12	冤枉路,出路,去路,後塵,後路
旁人	2046	3	人家,他人,別人
書院	2046	5	學塾,村塾,社學,私塾,館
洋娃娃	2046	22	七巧板,假面具,地黃牛,彈弓,拼圖
牙醫	2046	6	校醫,牙科醫生,獸醫,西醫,赤腳醫生
用途	2046	3	用,用場,用處
登出	2046	11	上,刊,刊登,刊載,報載
監察	2046	4	監控,監督,督,督察
監獄	2046	16	囚室,囚牢,囚籠,囹圄,地牢
空位	2046	19	井位,停車位,價位,原位,噸位
羽毛	2046	4	毛,羽,羽絨,翎
背部	2046	5	後背,背,背脊,脊,脊樑
草草	2046	13	丟三落四,偷工減料,含含糊糊,含糊,掉以輕心
萬能	2046	11	全天候,全知全能,全能,多才多藝,左右開弓
親愛	2046	39	不分彼此,促膝,千絲萬縷,可親,如膠似漆
設備	2046	5	裝備,裝具,裝置,設施,配備
語調	2046	8	九宮,低調,宮調,曲調,格律
貓頭鷹	2046	1	鴟鵂
蹤影	2046	1	蹤跡
車程	2046	1	旅程
車頂	2046	8	尖頂,屋頂,桅頂,洪峯,灰頂
轆轆	2046	2	咕隆,軋
轟炸	2046	2	投彈,空襲
週年	2046	1	本命年
電車	2046	53	三輪車,二手車,出租車,加長,包車
預計	2046	3	前瞻,展望,預測
魔術	2046	2	幻術,戲法
麻醉	2046	4	毒害,流毒,荼毒,蠱惑
黑洞	2046	8	橋洞,涵洞,溶洞,無底洞,窗洞
搶劫	2045	22	劫,劫奪,劫掠,奪,奪走
修訂	2043	1	審訂
交警	2042	14	乘警,交通警,刑警,崗警,幹警
導向	2042	13	側向,動向,去向,導引,橫向
長相	2040	23	儀容,原樣,品貌,外貌,姿容
以至於	2034	4	以至,截至,直到,直至
產能	2033	17	光能,內能,動能,化學能,原子能
上調	2032	5	下調,對調,微調,調職,調離
諸如	2031	7	例如,像,如,比如,比如説
致使	2029	8	以致,促成,導致,引致,招
許可證	2027	3	執照,照,證照
繳費	2026	1	交費
南海	2021	13	亞得裏亞海,公海,加勒比海,地中海,東海
區間	2013	3	距離,間距,間隔
查收	2012	5	回收,抄收,招收,簽收,點收
水利	2006	2	水利工程,河工
電機	2006	3	發電機,電動機,馬達
吉他	2005	2	六絃琴,結他
餘額	2005	15	儲蓄額,全額,名額,員額,大額
不鏽鋼	2004	4	合金鋼,碳素鋼,錳鋼,鎳鋼
會議室	2003	29	候機室,候診室,候車室,化妝室,化驗室
核對	2002	16	審,審察,審批,審查,審核
海口	1999	24	井口,交叉口,出入口,出口,出海口
油價	1994	55	代價,作價,優惠價,出價,化合價
