head	essay_frequency	syn_tails	syn_neighbors
兩個	158930	1	兩粒
今次	99843	1	這次
細妹	61845	1	妹妹
掛住	40311	1	想念
幾好	28386	1	不錯
坐低	23937	1	坐下
講真	23670	1	説實話
細細聲	23581	1	小聲
機場	23225	1	飛機場
指住	22869	1	指向
乜嘢	22691	1	什麼
視線	22602	1	目光
陣間	22602	1	待會兒
麵包	22157	1	麪包
再講	21979	1	再説
梳化	21534	1	沙發
第二個	21089	1	其它
伸出	21000	1	伸手
有沒有	20959	1	是否
傾計	20111	1	聊天
特登	19933	1	故意
課室	19844	1	教室
紙巾	19043	1	面紙
唔多	18954	1	少
唔錯	18954	1	不錯
馬騮	18954	1	猴子
留低	18865	1	留下
嗰陣	18687	1	那時
裏便	18598	1	裏面
大嗌	18420	1	大叫
總係	18420	1	總是
博客	18096	1	網誌
仲未	17975	1	尚未
阿叔	17975	1	叔叔
搞掂	17886	1	辦妥
人哋	17797	1	人家
社工	17708	1	社會工作
盡量	17530	1	儘量
視頻	17528	1	影片
冇問題	17352	1	無妨
嗰時	17174	1	那時
影相	16996	1	拍照
第一次	16941	1	首次
等陣	16373	1	稍等
行埋	15750	1	走近
埋嚟	15661	1	過來
生果	15661	1	水果
音樂	15661	1	樂
幾耐	15483	1	多久
聽過	15394	1	聽聞
衰人	15216	1	壞人
提子	15127	1	葡萄
傻仔	15038	1	傻瓜
唔舒服	15038	1	難受
好靚	15038	1	漂亮
條友	15038	1	傢伙
消防員	14949	1	救火員
銀包	14949	1	錢包
港人	14771	1	香港人
香蕉	14504	1	蕉
橙汁	14415	1	果汁
講笑	14326	1	開玩笑
拖鞋	14237	1	涼鞋
班主任	14237	1	老師
就快	13970	1	快要
第二日	13970	1	翌日
擰轉	13881	1	轉動
將會	13703	1	即將
雀仔	13615	1	小鳥
夠膽	13526	1	大膽
後便	13348	1	後面
兔仔	13259	1	兔子
匙羹	13170	1	湯匙
食嘢	13170	1	進食
諗法	12992	1	想法
雞蛋	12992	1	蛋
每日	12814	1	天天
大把	12725	1	許多
大脾	12725	1	大腿
差啲	12725	1	差點
求其	12725	1	隨便
直頭	12725	1	簡直
睇落	12725	1	看來
收埋	12458	1	隱藏
故仔	12458	1	故事
嚟到	12369	1	來到
回復	11924	1	回覆
不嬲	11835	1	一向
笑笑口	11835	1	微笑
好味	11746	1	美味
算了	11725	1	罷了
下個	11568	1	下一個
唔怪得	11479	1	怪不得
粗口	11479	1	髒話
估到	11390	1	料到
仲好	11301	1	還好
做嘢	11212	1	做事
數據庫	11114	1	資料庫
好朋友	11034	1	好友
看更	11034	1	守衞
落車	11034	1	下車
細路仔	10945	1	小孩
冇用	10856	1	沒用
在線	10760	1	線上
嘴唇	10678	3	吻,唇,嘴皮子
水喉	10678	1	水龍頭
無謂	10678	1	何必
夠鐘	10589	1	到時
天台	10589	1	屋頂
別的	10542	1	其他
老細	10500	1	老闆
面紅	10500	1	臉紅
阻住	10233	1	阻礙
隨住	10233	1	跟着
入嚟	10144	1	進來
還有	10144	3	仲有,另外,重有
嘢食	10055	1	食物
這裡	10055	1	這兒
好返	9966	1	好轉
八婆	9877	1	長舌婦
第日	9877	1	他日
返轉頭	9877	1	回頭
吹水	9788	1	閒聊
怕醜	9788	1	害羞
換衫	9788	1	更衣
洗頭水	9788	1	洗髮露
點做	9788	1	怎麼辦
大部份	9699	1	大部分
心裡	9699	1	心裏
遲啲	9610	1	稍後
肥仔	9432	1	胖子
就嚟	9343	1	快要
背影	9254	1	身影
好嘢	9165	1	好事
幾點	9165	1	何時
發夢	9165	1	做夢
搞笑	9076	1	好笑
擰頭	8987	1	搖頭
仔女	8898	1	兒女
傻妹	8898	1	傻女
唔捨得	8898	1	捨不得
朝頭早	8898	1	清晨
老嘢	8898	1	老人
衰仔	8898	1	壞蛋
冇所謂	8720	1	無所謂
大隻	8720	1	高大
並無	8631	1	沒有
千祈	8631	1	千萬
尋晚	8631	1	昨晚
直情	8631	1	簡直
