head	tail
絕跡	再現
還款	借貸
還款	借款
看病	拒醫
動感	呆滯
進貨	出貨
進貨	銷貨
繁體	簡體
湊合	講究
湊合	認真
交互	單向
買進	賣出
不大	很大
中等	極端
倒轉	正轉
打消	堅持
推倒	扶起
推動	阻礙
有病	健康
消散	聚集
疲倦	精神
絕不	必定
絕不	一定
跌倒	站起
還好	糟糕
不耐煩	有耐心
不耐煩	耐心
倒影	實體
值錢	廉價
其次	首先
增長	減少
增長	下降
對準	偏離
強勁	疲弱
忐忑	安心
挽回	放棄
掃視	細看
撒嬌	正經
整整	零碎
有幸	不幸
殘留	清除
着數	吃虧
裂開	合攏
親吻	拒絕
走火	熄滅
逗留	離開
過問	不管
遠遠	近近
隨後	事先
骨折	痊癒
致富	破產
入庫	出庫
射門	擋波
看成	忽視
摺疊	展開
直觀	抽象
發售	停售
長假	短假
便捷	麻煩
再不	總是
開辦	關閉
儘早	盡晚
聆聽	充耳不聞
替補	主力
完蛋	成功
頒佈	撤銷
杜絕	放任
回升	下跌
幹掉	拯救
年年	偶爾
不成	成功
信仰	懷疑
偷走	歸還
傷風	康復
回程	去程
就讀	退學
渴求	厭棄
激情	冷淡
玩笑	認真
疼痛	舒適
白費	值得
等候	即到
糾纏	放手
純情	世故
翻轉	固定
自稱	他稱
落下	升起
融入	脫離
行禮	無禮
調頭	直行
變臉	和好
跨過	止步
躲避	面對
送禮	收禮
過火	適度
難題	易事
面臨	逃避
高舉	放下
下崗	上崗
反過來	正向
發揚	壓抑
滯後	超前
退款	付款
在校	離校
不見得	肯定
非得	不必
延期	準時
封殺	開放
置業	租住
出遊	留守
直銷	代銷
絕跡	重現
還款	欠債
看病	就醫
動感	靜止
湊合	完美
買進	拋售
不大	巨大
倒轉	正向
推動	阻擋
有病	無病
消散	凝聚
絕不	可能
跌倒	爬起
還好	更糟
倒影	實物
值錢	不值錢
其次	首要
增長	萎縮
對準	打偏
強勁	疲軟
忐忑	鎮定
挽回	坐視
掃視	凝視
撒嬌	嚴肅
整整	破碎
有幸	倒霉
殘留	消除
着數	蝕本
裂開	黏合
親吻	冷落
走火	熄火
逗留	啟程
過問	漠視
隨後	事前
骨折	康復
致富	貧窮
入庫	提貨
看成	看輕
摺疊	攤開
直觀	隱晦
發售	禁售
便捷	繁瑣
開辦	結業
儘早	延遲
替補	正選
完蛋	翻身
頒佈	廢止
杜絕	縱容
回升	回落
幹掉	救活
不成	可行
信仰	無神
偷走	送還
傷風	痊癒
回程	往程
就讀	輟學
渴求	唾棄
激情	冷漠
玩笑	嚴肅
疼痛	快感
白費	有效
等候	遲到
糾纏	了結
翻轉	復原
落下	上升
融入	孤立
行禮	失禮
調頭	前進
變臉	言歡
跨過	退縮
躲避	迎上
送禮	索禮
過火	適中
難題	簡單
面臨	迴避
高舉	低垂
下崗	在職
反過來	照舊
發揚	埋沒
滯後	領先
退款	收款
不見得	一定
非得	可免
延期	如期
封殺	解禁
置業	租樓
出遊	返家
