head	tail
仲好	更差
仲好	更糟
第日	今日
返轉頭	向前
返轉頭	繼續行
吹水	講真
吹水	正經
怕醜	大膽
怕醜	大方
換衫	脫衫
點做	放棄
大部份	少部份
大部份	少數
心裡	表面
遲啲	而家
遲啲	即刻
肥仔	瘦仔
肥仔	瘦
就嚟	好耐
就嚟	遙遠
好嘢	壞事
發夢	現實
搞笑	嚴肅
擰頭	點頭
傻妹	精妹
傻妹	聰明
唔捨得	捨得
朝頭早	夜晚
朝頭早	晚黑
老嘢	細路
衰仔	好仔
衰仔	乖仔
冇所謂	好緊要
冇所謂	在乎
大隻	細隻
大隻	瘦削
並無	確有
並無	有
尋晚	今朝
尋晚	聽朝
直情	間接
不在	在場
不在	喺度
交流	絕交
太過	適量
太過	剛剛好
總有	從無
總有	永不
是但	認真
是但	仔細
間房	大廳
忘了	記得
之餘	本身
沿住	逆住
以嚟	之前
叫醒	催眠
後尾	開頭
後尾	起初
行山	行街
合照	單人照
打橫	打直
玩完	開始
阿伯	阿嬸
盡快	慢慢
盡快	遲啲
角色	本人
什麼時候	永遠
墳場	醫院
行街	留家
行街	返屋企
講起	唔提
第時	而家
第時	即刻
晏晝	朝早
晏晝	夜晚
本能	後天
雞仔	大雞
一口	一大口
細細個	大個
細細個	而家
廣東話	普通話
鼻哥	嘴巴
一次過	分次
乜鬼	正經嘢
搞錯	搞啱
搞錯	正確
有份	冇份
死仔	乖仔
成世	一陣
第二次	第一次
當堂	遲啲
空調	暖氣
呢邊	嗰邊
呢邊	那邊
嚇親	冷靜
文檔	錄音
礦場	農場
毫子	大鈔
尿片	褲
胸圍	內褲
金毛	黑狗
電單車	單車
契媽	親媽
餅乾	麵包
鐵閘	木門
工作人員	客人
工作人員	顧客
別的	自己
別的	本身
第日	尋日
返轉頭	直走
吹水	做事
怕醜	放肆
換衫	着衫
大部份	全部
遲啲	馬上
肥仔	瘦削
好嘢	衰事
搞笑	沉悶
擰頭	同意
唔捨得	肯捨
朝頭早	深夜
老嘢	後生
衰仔	乖
冇所謂	重視
大隻	矮細
並無	實有
直情	轉彎
不在	在
交流	斷絕
太過	不足
總有	冇
是但	用心
忘了	記住
後尾	首先
行山	行船
盡快	拖延
行街	宅
講起	避談
晏晝	凌晨
細細個	長大
搞錯	做啱
有份	缺席
成世	短暫
第二次	首次
呢邊	對面
