literal	freq	pos	family	voice	note
神通	1868	n			
空檔	1868	n			
粗暴	1868	a			
緊接	1868	v			
翻學	1868	v			返學
聆	1868	v			bound 聆聽
聲浪	1868	n			
舊時	1868	n,r			
舒	1868	a,n			形／姓
萬用	1868	a			
落樓	1868	v			
蛋散	1868	n			
袋鼠	1868	n			
見客	1868	v			
覺悟	1868	n,v			
謝	1868	n,v			謝／姓
證	1868	n,v			證件／證明
買嘢	1868	v			
車廂	1868	n			
輕微	1868	a			
辣雞	1868	a,n			slang laggy／垃圾
通心粉	1868	n			
遲下	1868	r			遲吓
鎚	1868	n			
長遠	1868	a,n			
開眼	1868	v			
開餐	1868	v			
雪花	1868	n			
露台	1868	n			
青山	1868	n			
非禮	1868	n,v			
面子	1868	n			
韓	1868	n			姓／韓
飛出	1868	v			
飛起	1868	v			
飲水	1868	n,v			
香噴噴	1868	a			
騎兵	1868	n			
麻麻	1868	a			一般般
龐	1868	n			姓
地質	1867	n			
戶	1867	n,x			戶／量
號召	1867	n,v			
轉賬	1867	n,v			
首屆	1867	n			
法人	1863	n			
財政部	1863	n			
新區	1860	n			
正文	1860	n			
直銷	1860	n,v			
都好	1858	a,r			都好／都 OK
大全	1855	n			
牡丹	1852	n			
還款	1852	n,v			
掛機	1851	v			
發佈會	1851	n			
看病	1850	v			
白雲	1848	n			
動感	1847	a,n			
巴基斯坦	1847	n			
超頻	1847	n,v			
男主角	1846	n			
出問題	1845	v			
好消息	1842	n			
進貨	1842	v			
中獎	1841	v			
團長	1841	n			
大都	1840	r			
外企	1838	n			
寬屏	1836	a,n			
序號	1834	n			
投產	1831	v			
便攜	1830	a			
繁體	1828	n			
大酒店	1827	n			
湊合	1827	a,v			
好呀	1821	x			
獃	1818	a			呆
聲卡	1818	n			
賬號	1818	n			
臺詞	1817	n			
表述	1812	n,v			
新城	1811	n			
喝茶	1806	v			
不光	1805	r			
原版	1805	a,n			
日內	1805	n,r			
法語	1805	n			
空格	1805	n			
品位	1804	n			
青海	1803	n			
菊	1802	n			
嫂子	1799	n			
膩	1799	a			
死後	1797	n,r			
省錢	1797	v			
貼圖	1797	n,v			
偷拍	1796	n,v			
人性化	1794	a,v			
劇組	1793	n			
機電	1792	n			
廠房	1791	n			
俞	1790	n			姓
普通人	1783	n			
郝	1783	n			姓
帕	1780	n			
承包	1780	n,v			
火車票	1780	n			
一嚇	1779	v			
上層	1779	n			
上腦	1779	v			
下年	1779	n,r			
不免	1779	r			
不大	1779	a,r			
不妨	1779	r			
中等	1779	a,n			
中醫	1779	n			
五顏六色	1779	a	idiom		
以至	1779	x			
伴娘	1779	n			
低胸	1779	a			
低調	1779	a,n			
便宜	1779	a,n			
修長	1779	a			
俱	1779	r,x			
倒轉	1779	a,r,v			
傷勢	1779	n			
傾訴	1779	v			
全裸	1779	a			
冤	1779	a,n			
半點	1779	n,r			
厭	1779	a,v			
反省	1779	n,v			
口窒窒	1779	a			
口音	1779	n			
古惑	1779	a			
合唱	1779	n,v			
咕嚕	1779	x			擬聲
唏	1779	x			
嗒	1779	x			擬聲
嘶	1779	v,x			
埋頭	1779	v			
基本法	1779	n			
夠喇	1779	a,x			
大少	1779	n			
契約	1779	n			
好友	1779	n			
孽	1779	n			
定時	1779	a,n,v			
客場	1779	n			
察	1779	v			
實話	1779	n			
對出	1779	v			
導	1779	n,v			
小路	1779	n			
幾快	1779	a,r			
幾歲	1779	n,x			
得嚟	1779	v,x			得嚟（補語）
心血	1779	n			
急步	1779	n,v			
情形	1779	n			
戒備	1779	n,v			
披	1779	v			
抵受	1779	v			
拍片	1779	v			
挽留	1779	v			
控	1779	v			
推倒	1779	v			
新郎	1779	n			
晌	1779	n			
普選	1779	n,v			
晶晶	1779	n			暱稱／疊
有骨	1779	a			
木屋	1779	n			
末日	1779	n			
機率	1779	n			
橫	1779	a,n,v			
歡笑	1779	n,v			
水中	1779	n,r			
求生	1779	v			
洗頭	1779	v			
深水	1779	n			
無從	1779	r			
無望	1779	a			
煙海	1779	n			浩如煙海
燁	1779	a,n			
珍貴	1779	a			
瓜子	1779	n			
甜甜	1779	a			
生性	1779	n			
白車	1779	n			救護車
百厭	1779	a			
目送	1779	v			
盲目	1779	a			
眼眶	1779	n			
瞬	1779	n,v			
硬頸	1779	a			
碧	1779	a,n			
禽獸	1779	n			
維修	1779	n,v			
緊閉	1779	v			
纖	1779	a			
肚痛	1779	a,n,v			
腳軟	1779	a			
自卑	1779	a			
自大	1779	a			
茶樓	1779	n			
蝕	1779	n,v			蝕本／腐蝕
表面上	1779	n,r			
衰嘢	1779	n			
褪	1779	v			
計埋	1779	v			
記翻	1779	v			
試吓	1779	v			
諾	1779	n,v			
講明	1779	v			
起手	1779	v			
車禍	1779	n			
載	1779	n,v			
轉右	1779	v			
轟隆	1779	x			擬聲
逸	1779	a,v			
過幾日	1779	n,r			
長氣	1779	a			
開場白	1779	n			
阿星	1779	n			
青衣	1779	n			
驚醒	1779	v			
高傲	1779	a			
高質	1779	a			
鮮奶	1779	n			
齊人	1779	n			
龍珠	1779	n			
兩個字	1778	n,x			
工作量	1778	n			
數額	1778	n			
入市	1776	v			
加之	1776	x			
承辦	1775	v			
王朝	1774	n			
蒙古	1774	n			
沒勁	1773	a			
報刊	1771	n			
農藥	1770	n			
淨值	1763	n			
收益率	1762	n			
映像	1760	n			
稿子	1758	n			
紹興	1756	n			
督促	1755	v			
省委	1754	n			
茲	1754	x			
開店	1754	v			
幸虧	1750	r			
主人公	1748	n			
合租	1748	n,v			
絕大部分	1748	n,r			
離線	1747	a,v			
政協	1745	n			
車展	1745	n			
生態環境	1744	n			
泉州	1742	n			
週報	1739	n			
划算	1737	a			
計量	1733	n,v			
高爾夫	1733	n			
春秋	1732	n			
癡情	1732	a,n			
嶄新	1731	a			
調解	1729	n,v			
好意思	1727	a,v			
祝願	1727	n,v			
跌幅	1727	n			
榮獲	1726	v			
都得	1726	a,v			都得／可以
本期	1724	n			
經濟效益	1723	n			
大面積	1722	a,n			
平和	1722	a			
病例	1722	n			
彥	1720	n			
軍訓	1716	n,v			
實習生	1715	n			
教育局	1714	n			
海域	1712	n			
攢	1709	v			
美工	1709	n			
辦學	1709	v			
常年	1706	n,r			
彬	1703	n			
紅樓夢	1702	n			
轄區	1702	n			
卿	1701	n			
責任感	1701	n			
東海	1694	n			
選秀	1693	n,v			
下唇	1690	n			
下頭	1690	n,r			
不耐煩	1690	a			
中國人	1690	n			
九唔搭八	1690	a	idiom		
依照	1690	v,x			
倒影	1690	n			
值錢	1690	a			
催淚彈	1690	n			
傻事	1690	n			
兇狠	1690	a			
先前	1690	n,r			
先嚟	1690	v			
入屋	1690	v			
全港	1690	n			
其次	1690	r,x			
凈	1690	a,r			淨／淨係
刃	1690	n			
初中	1690	n			
判	1690	n,v			
十足十	1690	a,r			
叉燒包	1690	n			
口試	1690	n,v			
可靠	1690	a			
右下	1690	n,r			
右腳	1690	n			
各人	1690	n,x			
咯咯	1690	x			擬聲
咸魚	1690	n			
啦啦隊	1690	n			
嗡	1690	x			擬聲
因而	1690	x			
地藏	1690	n			
執嘢	1690	v			
報名	1690	n,v			
外地	1690	n			
外牆	1690	n			
夜場	1690	n			
大圈	1690	n			
女裝	1690	n			
奶粉	1690	n			
委	1690	n,v			
子女	1690	n			
字條	1690	n			
定下	1690	v			
寄信	1690	v			
差距	1690	n			
平排	1690	a,r,v			
