literal	freq	pos	family	voice	note
詞語	2135	n		
起哄	2135	v		
迪士尼	2135	n		
道具	2135	n		
違	2135	v		
那裡	2135	x		
那邊	2135	x		
釋	2135	v		
重重	2135	a,r		
難頂	2135	a,v		
頂硬上	2135	v		
食晏	2135	v		
餘	2135	n,r		
香港地	2135	n		
驚動	2135	v		
績效	2126	n		
僅有	2123	r,v		
漢化	2121	n,v		
贊	2121	a,n,v		
電子郵件	2118	n		
價值觀	2117	n		
排行榜	2115	n		
長達	2114	v		
分局	2113	n		
複印件	2103	n		
京城	2101	n		
先是	2099	r		
甘肅	2098	n		
用地	2098	n		
琢磨	2094	v		
長安	2094	n		
湘	2093	n		
着力	2093	r,v		
翔	2080	n,v		
上牀	2079	v		
菜鳥	2071	n		
檯燈	2067	n		
寫真	2066	n,v		
不在乎	2064	v		
付費	2062	n,v		
全國各地	2060	n,r		
厚道	2060	a		
主編	2057	n,v		
調度	2057	n,v		
筆試	2055	n		
出具	2053	v		
訪談	2053	n,v		
南北	2050	n		
支行	2048	n		
單價	2047	n		
不外乎	2046	r,v		
不詳	2046	a		
乜水	2046	n,x		
乾坤	2046	n		
介	2046	n,v		
優秀	2046	a		
剎那間	2046	n,r		
包紮	2046	v		
原始	2046	a		
友仔	2046	n		
各式	2046	a,x		
呎	2046	n,x		
地理	2046	n		
埗	2046	n		
報案	2046	v		
壁	2046	n		
壽司	2046	n		
太子	2046	n		
夾埋	2046	v		
奈何	2046	v,x		
好衰	2046	a		
娥	2046	n		
學術	2046	n		
安全帶	2046	n		
安穩	2046	a		
寧	2046	a,n,r		
封印	2046	n,v		
嵐	2046	n		
心思	2046	n		
必定	2046	r		
忿	2046	a		
打中	2046	v		
推斷	2046	n,v		
攪到	2046	v		
整親	2046	v		
斜路	2046	n		
旁人	2046	n		
書院	2046	n		
未定	2046	a,v		
柯	2046	n		
植物人	2046	n		
永	2046	a,r		
淨低	2046	v		
清脆	2046	a		
準確	2046	a		
濛	2046	a		
玩法	2046	n		
用途	2046	n		
益	2046	a,n,v		
監察	2046	n,v		
砲	2046	n		
空位	2046	n		
簽	2046	n,v		
紥	2046	v		
練波	2046	v		
耀	2046	n,v		
老身	2046	n,x		
草草	2046	a,r		
荷	2046	n,v		
萬能	2046	a		
蝦餃	2046	n		
親愛	2046	a		
誘人	2046	a		
謎	2046	n		
講得啱	2046	a,v		
走先	2046	r,v		
走光	2046	v		
趣	2046	a,n		
車程	2046	n		
車頂	2046	n		
通紅	2046	a		
週年	2046	n		
郁動	2046	v		
部份	2046	n,x		
重係	2046	r,v		
鈴鈴	2046	a,r		
關事	2046	v		
防煙門	2046	n		
陶	2046	n		
預計	2046	n,v		
飄浮	2046	v		
食藥	2046	v		
飲醉	2046	v		
驚死	2046	a,r,v		
鬼佬	2046	n		
黑洞	2046	n		
嘴脣	2044	n		
交警	2042	n		
櫃檯	2037	n		
維權	2037	n,v		
臺階	2036	n		
以至於	2034	x		
倡導	2034	v		
產能	2033	n		
商品房	2031	n		
序列號	2031	n		
後市	2031	n		
諸如	2031	x		
畝	2028	n,x		
繳費	2026	v		
姜	2024	n		
未成年	2018	a,n		
紮實	2017	a		
區間	2013	n		
查收	2012	v		
西湖	2012	n		
開幕式	2009	n		
水利	2006	n		
電機	2006	n		
專賣店	2004	n		
新高	2004	n		
好啦	2001	x		
海口	1999	n		
憋	1995	v		
天然氣	1993	n		
培訓班	1991	n		
郵編	1991	n		
初始	1988	a,n		
殘疾人	1986	n		
老太太	1984	n		
跳槽	1983	v		
血液循環	1978	n		
高壓	1978	a,n		
著作	1975	n,v		
蘿蔔	1972	n		
看中	1969	v		
議案	1969	n		
寧夏	1967	n		
進出口	1964	n,v		
表揚	1962	n,v		
旨在	1960	v		
月初	1960	n,r		
錄製	1960	v		
上位	1957	n,v		
下邊	1957	n		
不管	1957	v,x		
且	1957	r,x		
世間	1957	n		
中伏	1957	v		
之不過	1957	r,x		
九龍塘	1957	n		
今生	1957	n,r		
仿佛	1957	r,v		
伴	1957	n,v		
借力	1957	v		
傳教	1957	n,v		
價	1957	n		
其間	1957	n,r		
出擊	1957	v		
到場	1957	v		
前日	1957	n,r		
勿	1957	r,x		
去街	1957	v		
各個	1957	x		
君子	1957	n		
呸	1957	x		
唏噓	1957	a,v		
唐樓	1957	n		
嗰位	1957	x		
嘯	1957	v		
圖形	1957	n		
地頭	1957	n		
執到	1957	v		
大不了	1957	r		
奉	1957	v		
孟	1957	n		
家陣	1957	r		
專	1957	a,r,v		
局長	1957	n		
屯門	1957	n		
巷	1957	n		
庭	1957	n		
弟	1957	n		
強者	1957	n		
得個	1957	r,v		
微弱	1957	a		
性命	1957	n		
意大利	1957	n		
打仗	1957	v		
打拳	1957	v		
拉鍊	1957	n		
數據	1957	n		
昏	1957	a,v		
有料	1957	a		
楓	1957	n		
武力	1957	n		
毛管	1957	n		
沒錯	1957	a,r		
流流	1957	a,r		
清明	1957	a,n		
火光	1957	n		
燥	1957	a		
父子	1957	n		
異物	1957	n		
當做	1957	v		
直昇機	1957	n		
破處	1957	v		
私處	1957	n		
笑臉	1957	n		
精彩	1957	a		
細蚊	1957	n		
續	1957	v		
耷低頭	1957	v		
聖堂	1957	n		
職	1957	n		
聽書	1957	v		
肌	1957	n		
自身	1957	n,x		
落水	1957	v		
蘇軾	1957	n		
衰妹	1957	n		
要害	1957	n		
請假	1957	v		
貼身	1957	a		
起行	1957	v		
跌低	1957	v		
轉個頭	1957	r,v		
迷茫	1957	a		
送到	1957	v		
進發	1957	v		
過癮	1957	a,v		
陰唇	1957	n		
集體	1957	a,n		
震撼	1957	a,n,v		
面書	1957	n		
頗	1957	r		
飲嘢	1957	v		
魔法陣	1957	n		
麥當勞	1957	n		
黯然	1957	a,r		
開源	1956	a,n,v		
癡漢	1953	n		
竈	1948	n		
傅	1947	n,v		
用藥	1947	v		
出資	1945	v		
大頭	1939	a,n		
中小	1937	a		
省政府	1933	n		
社保	1933	n		
逍遙	1931	a		
鉅額	1931	a,n		
壁紙	1926	n		
來得	1925	r,v		
小樣	1922	n		
公示	1921	n,v		
生日快樂	1921	x		
蒐	1921	v		
麼麼	1921	x		
電子書	1920	n		
娛樂圈	1919	n		
註冊表	1918	n		
紅軍	1917	n		
公益	1916	a,n		
下個月	1912	n,r		
鏡像	1912	n		
環境保護	1910	n		
不曾	1909	r		
官兵	1907	n		
書法	1907	n		
製成	1907	v		
動畫片	1906	n		
首批	1901	n,x		
電氣	1899	n		
省市	1895	n		
看重	1892	v		
製造商	1890	n		
中國大陸	1886	n		
服務業	1884	n		
掛牌	1882	n,v		
來源於	1881	v		
分頁	1881	n,v		
原油	1879	n		
浜	1877	n		
證監會	1876	n		
網點	1872	n		
開闢	1870	v		
下野	1868	v		
並非	1868	r		
久唔久	1868	r		
久而久之	1868	r		
互動	1868	n,v		
