literal	freq	pos	family	voice	note
研製	2886	n,v		
評選	2885	n,v		
媳婦	2883	n		
轉型	2881	n,v		
越南	2874	n		
借鑑	2869	v		
善於	2858	v		
遼寧	2853	n		
國人	2851	n		
只需	2848	r,v		
上市	2847	n,v		
互	2847	r		
今世	2847	n,r		
傾得	2847	v		
區區	2847	a,x		
十一點	2847	n,x		
取	2847	v		
可疑	2847	a		
啞仔	2847	n		
嚟緊	2847	r,v		
四眼	2847	a,n		
地底	2847	n		
夕陽	2847	n		
多麼	2847	r		
大型	2847	a		
大波	2847	n		
奏	2847	n,v		
好天	2847	a,n		
妒忌	2847	n,v		
婷	2847	n		
媾	2847	v		
孤單	2847	a		
導遊	2847	n,v		
小提琴	2847	n		
廊	2847	n		
廢青	2847	n		
往後	2847	r		
心愛	2847	a,v		
急促	2847	a		
有利	2847	a		
未試	2847	v		
濃烈	2847	a		
煙通	2847	n		
爛仔	2847	n		
爛口	2847	a,n,v		
玩嘢	2847	v		
男聲	2847	n		
異口同聲	2847	a,r	idiom	
相隔	2847	v		
組爸	2847	n		
習	2847	n,v		
翻工	2847	v		
肚腩	2847	n		
自拍	2847	n,v		
至今	2847	r		
落雨	2847	v		
質	2847	n,v		
起頭	2847	n,v		
身世	2847	n		
道士	2847	n		
陶醉	2847	a,v		
面對面	2847	r,v		
頭緒	2847	n		
食花生	2847	v		
骷	2847	u			骷髏殘字
麻雀	2847	n		
妝	2846	n,v		
要不然	2842	x		
兩岸	2840	n		
定製	2823	n,v		
其他地方	2816	n		
像素	2801	n		
這時候	2800	n,r		
董事會	2799	n		
本本	2797	n,x		
瀋陽	2797	n		
改天	2795	r		
繳納	2792	v		
珠海	2790	n		
絕大多數	2787	n,x		
下半年	2773	n		
景區	2772	n		
金山	2769	n		
字符	2768	n		
性價比	2766	n		
充值	2764	n,v		
不下	2758	r,v		
不由自主	2758	a,r,v	idiom	
五官	2758	n		
個案	2758	n		
公屋	2758	n		
凹	2758	a,v		
出院	2758	v		
剷	2758	v		
即管	2758	r		
各樣	2758	a,n		
單人	2758	a,n		
嘍	2758	x		
大雨	2758	n		
夾硬	2758	r		
嬋	2758	n		
宜	2758	a,v		
巴閉	2758	a		
後腦	2758	n		
得戚	2758	a		
心寒	2758	a		
恰	2758	a,r		
慌	2758	a,v		
懦弱	2758	a		
手足	2758	n		
打車	2758	v		
搶先	2758	r,v		
教員	2758	n		
框	2758	n,v		
氣力	2758	n		
法力	2758	n		
海邊	2758	n		
湯圓	2758	n		
焗爐	2758	n		
照計	2758	r		
熟睡	2758	n,v		
獨特	2758	a		
現時	2758	n,r		
生得	2758	v		
留班	2758	v		
白紙	2758	n		
盡情	2758	r		
睡房	2758	n		
睥	2758	v		
祭	2758	n,v		
綜合	2758	a,n,v		
美味	2758	a,n		
背負	2758	v		
臺	2758	n,x		
舊年	2758	n,r		
見工	2758	v		
訊	2758	n		
豬頭	2758	a,n		
賜	2758	v		
趁機	2758	r,v		
身子	2758	n		
連埋	2758	r,v		
遊	2758	n,v		
選修	2758	n,v		
醒起	2758	v		
