literal	freq	pos	family	voice	note
我見	80444	u			主+動截斷
然	54371	u			然後等截斷殘字
將我	14148	u			介／副+代截斷
曱	12992	u			曱甴殘字
甴	12992	u			曱甴殘字
你估	10767	u			主+動截斷
我識	9610	u			主+動截斷
總有	8542	u			總+有截斷
個月	7408	u			個+月量度碎片
講乜	7296	u			講+乜截斷
侏	7029	u			殘字／不明
仲話	6763	u			仲+話截斷
不知幾	4004	u			不知幾多截斷
人嚟	3915	u			主+嚟截斷
蘿	3915	u			蘿蔔截斷殘字
我架	3648	u			主+架語氣截斷
蔔	3559	u			蘿蔔截斷殘字
充斥	3470	v			
共同	3470	a			
再度	3470	r			
凸	3470	a,v			
合埋	3470	v			
名牌	3470	n			
咁滯	3470	r			
堅強	3470	a			
女廁	3470	n			
孭	3470	v			
小食	3470	n			
山頂	3470	n			
彈性	3470	a,n			
從此	3470	r			
愈嚟愈	3470	r			
日頭	3470	n			
有成	3470	r,v			約數／有所成
椅	3470	n			
樹木	3470	n			
正是	3470	v,x			
澈	3470	a			
獨自	3470	r			
甜筒	3470	n			
登	3470	v			
眼紅	3470	a,v			
筆記	3470	n,v			
簡	3470	a,n			
結他	3470	n			
翻到	3470	v			
血跡	3470	n			
親身	3470	a,r			
謙	3470	a			
豬扒	3470	n			
貌似	3470	r,v			
跪低	3470	v			
銀仔	3470	n			
陰毛	3470	n			
雜物	3470	n			
高中	3470	n			
鬥	3470	v			
忽悠	3464	v			
輸入法	3442	n			
河北	3436	n			
昆明	3421	n			
肖	3397	n			姓
上手	3381	a,v			
乳	3381	n			
人仔	3381	n			
兇	3381	a			
初頭	3381	n,r			
加拿大	3381	n			
十點	3381	n			
呱	3381	x			擬聲
咖	3381	u			咖啡等殘字／黏着
喃喃	3381	v,x			
嗰度	3381	x			
囂張	3381	a			
多餘	3381	a			
奸	3381	a			
奸笑	3381	n,v			
如今	3381	r			
安撫	3381	v			
害羞	3381	a			
巾	3381	n			
怡	3381	a,n			
急不及待	3381	a,v	idiom		
手指公	3381	n			
撻	3381	n,v			
攝	3381	v			
救人	3381	v			
極之	3381	r			
歌詞	3381	n			
泳	3381	n,v			
狗公	3381	n			
生涯	3381	n			
異鄉	3381	n			
瞇	3381	v			
礦	3381	n			
絕	3381	a,r,v			
花名	3381	n			
落力	3381	a,v			
薯仔	3381	n			
蛛	3381	n			
變做	3381	v			
躉	3381	n,v			
邊間	3381	x			
開朗	3381	a			
開燈	3381	v			
風水	3381	n			
炒作	3377	n,v			
轎車	3364	n			
最愛	3363	a,n			
另一方面	3360	r,x			
做得	3343	v,x			
上半年	3342	n			
漲價	3341	n,v			
清華	3307	n			
主頁	3296	n			
伊朗	3293	n			
一嚟	3292	r,x			
下人	3292	n			
乘機	3292	r,v			
反問	3292	n,v			
唔覺意	3292	a,r			
密	3292	a			
尋常	3292	a			
年青	3292	a			
思緒	3292	n			
打牌	3292	v			
握手	3292	n,v			
是否	3292	x			
晨早	3292	n,r			
柔	3292	a			
水族館	3292	n			
沿路	3292	n,r			
泥膠	3292	n			
準	3292	a,n,v			
瀅	3292	a			
生還	3292	n,v			
當晚	3292	n,r			
的而且確	3292	a,r	idiom		
算數	3292	n,v			
緩	3292	a,v			
聽聞	3292	n,v			
茶餐廳	3292	n			
薯片	3292	n			
警員	3292	n			
遇	3292	v			
陸	3292	n			
顧	3292	v			
大於	3289	v,x			
若干	3277	n,x			
身後	3277	n,r			
打球	3271	v			
腳本	3266	n			
殺毒	3263	n,v			
農民工	3249	n			
嘎嘎	3240	x			
編譯	3229	n,v			
高效	3228	a			
此前	3227	n,r			
睡着	3227	v			
截圖	3219	n,v			
長江	3209	n			
一方	3203	n,x			
偉大	3203	a			
偷睇	3203	v			
勢	3203	n			
十足	3203	a,r			
可見	3203	v,x			
呔	3203	n			輪胎
咇	3203	u			罕用／擬聲殘
喼	3203	n			case
圖騰	3203	n			
埋單	3203	v			
大男人	3203	n			
大細	3203	a,n			
天黑	3203	a,n,v			
好型	3203	a			
定期	3203	a,n,r			
對望	3203	v			
帖	3203	n,v			
康	3203	a,n			
心願	3203	n			
必然	3203	a,r			
應對	3203	n,v			
接通	3203	v			
晨	3203	n			
梳洗	3203	v			
消毒	3203	n,v			
淡定	3203	a			
灰色	3203	a,n			
牛頭	3203	n			
男人老狗	3203	n	idiom		粵固定蔑稱集合
發癲	3203	a,v			
目測	3203	n,v			
短暫	3203	a			
罅	3203	n			
腫	3203	a,v			
莊子	3203	n			
藉	3203	v,x			
裸	3203	a			
褸	3203	n			
訊號	3203	n			
身份證	3203	n			
逐個	3203	r,x			
遠方	3203	n			
配	3203	v			
閃電	3203	n,v			
開支	3203	n,v			
難食	3203	a			
霸	3203	a,n,v			
體內	3203	n			
高速	3203	a,n,r			
黎生	3203	n			
市政府	3196	n			
暈死	3187	v,x			
協商	3172	n,v			
鄉鎮	3172	n			
出處	3162	n			
組建	3157	v			
央行	3148	n			
節能	3143	a,n,v			
祇	3129	r,x			
不論	3114	x			
以免	3114	x			
