literal	freq	pos	family	voice	note
不費吹灰之力	556	a,v	idiom		
以權謀私	556	v	idiom		
冷若冰霜	556	a	idiom		
分組討論	556	n,v			
參考手冊	556	n			
因果報應	556	n	idiom		
大不如前	556	a	idiom		
懸而未決	556	a,v	idiom		
承上啓下	556	v	idiom		
捨我其誰	556	x	idiom		
據理力爭	556	v	idiom		
於心不忍	556	a,v	idiom		
曲徑通幽	556	a,n	idiom		
核心人物	556	n			
水木清華	556	n			
生死關頭	556	n	idiom		
群雄逐鹿	556	v	idiom		
聯邦德國	556	n			
許可協議	556	n			
重色輕友	556	a,v	idiom		
靜觀其變	556	v	idiom		
驚歎不已	556	a,v	idiom		
鼻青臉腫	556	a	idiom		
一路平安	555	a,x	idiom		
全然不知	555	a,v			
公費醫療	555	n			
半殖民地	555	n			
咬文嚼字	555	a,v	idiom		
堪輿	555	n			
專業精神	555	n			
年輕貌美	555	a			
恍如隔世	555	a	idiom		
扭轉乾坤	555	v	idiom		
招人喜歡	555	a,v			
暴露無遺	555	a,v	idiom		
欲蓋彌彰	555	a,v	idiom		
深情款款	555	a	idiom		
滿目瘡痍	555	a	idiom		
演出地點	555	n			
無業遊民	555	n			
白道	555	n			
白雪皚皚	555	a	idiom		
矇混過關	555	v	idiom		
矢口否認	555	v	idiom		
結伴同行	555	v			
苛責	555	n,v			
酒足飯飽	555	a	idiom		
開誠佈公	555	a,v	idiom		
一聲不響	554	a,r	idiom		
三十而立	554	a,v	idiom		
不堪忍受	554	a,v			
乍暖還寒	554	a	idiom		
休閒活動	554	n			
兩肋插刀	554	v	idiom		
前途無量	554	a	idiom		
名符其實	554	a	idiom		
天寒地凍	554	a	idiom		
太平盛世	554	n	idiom		
失血過多	554	a,v			
孤立無援	554	a	idiom		
少兒不宜	554	a			
平板玻璃	554	n			
引咎辭職	554	v			
引蛇出洞	554	v	idiom		
怒髮衝冠	554	a,v	idiom		
拔河比賽	554	n			
擲地有聲	554	a	idiom		
收放自如	554	a,v	idiom		
春風化雨	554	n,v	idiom		
機關算盡	554	a,v	idiom		
正月初一	554	n,r			
死而復生	554	v	idiom		
爵士音樂	554	n			
短兵相接	554	v	idiom		
社會形態	554	n			
社會意識	554	n			
第二課堂	554	n			
老謀深算	554	a	idiom		
自來水管	554	n			
自由戀愛	554	n,v			
良種繁育	554	n,v			
苦中作樂	554	v	idiom		
見好就收	554	v	idiom		
見過世面	554	a,v			
課外讀物	554	n			
軍事科學	554	n			
農曆新年	554	n			
駕駛執照	554	n			
一笑了之	553	v	idiom		
一語道破	553	v	idiom		
不可挽回	553	a			
人跡罕至	553	a	idiom		
商業發票	553	n			
圓桌會議	553	n			
捷足先登	553	v	idiom		
教育局長	553	n			
民事權利	553	n			
洲際導彈	553	n			
科學普及	553	n,v			
臨危受命	553	v	idiom		
自慚形穢	553	a,v	idiom		
莫桑比克	553	n			
調虎離山	553	v	idiom		
跌打損傷	553	n			
迴光返照	553	n,v	idiom		
逃離現場	553	v			
連根拔起	553	v	idiom		
達官貴人	553	n	idiom		
飲食療法	553	n			
黑白分明	553	a	idiom		
三番五次	552	r	idiom		
不能自已	552	a,v	idiom		
乏善可陳	552	a	idiom		
五音不全	552	a	idiom		
克林黴素	552	n			
包皮環切	552	n,v			
反面教材	552	n			
同父異母	552	a			
嬉笑怒罵	552	n,v	idiom		
宇宙空間	552	n			
完美無瑕	552	a	idiom		
對簿公堂	552	v	idiom		
左擁右抱	552	v	idiom		
投其所好	552	v	idiom		
搔首弄姿	552	v	idiom		
死不瞑目	552	a,v	idiom		
白駒過隙	552	n,v	idiom		
百看不厭	552	a,v	idiom		
社會存在	552	n			
童心未泯	552	a	idiom		
紅男綠女	552	n	idiom		
素面朝天	552	a,v	idiom		
表面張力	552	n			
裝甲兵	552	n			
西班牙文	552	n			
跋山涉水	552	v	idiom		
身先士卒	552	v	idiom		
陽春白雪	552	n	idiom		
雙目失明	552	a,v			
頭暈眼花	552	a,v	idiom		
風雨交加	552	a,v	idiom		
龍鳳呈祥	552	a,n	idiom		
一腔熱血	551	n	idiom		
不成比例	551	a			
不苟言笑	551	a	idiom		
二十四史	551	n			
倖免於難	551	v	idiom		
冷血動物	551	n			
凹凸有致	551	a	idiom		
北戴河區	551	n			
呆若木雞	551	a	idiom		
四書五經	551	n			
展翅高飛	551	v	idiom		
年輕氣盛	551	a	idiom		
暗無天日	551	a	idiom		
東奔西跑	551	v	idiom		
正是如此	551	r,x			
治病救人	551	v	idiom		
添油加醋	551	v	idiom		
潔身自好	551	a,v	idiom		
產前檢查	551	n			
