literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
一波未平	a,v	idiom		u-inlex-nf3;review;agent-label	high	SOFT		成語前半；可作 a,v 固定起
七葷八素	a	idiom		成語；七葷八素;u-inlex-nf3;review;agent-label	high	OK		
三更半夜	n,r	idiom		u-inlex-nf3;review;agent-label	high	OK		
三輪車夫	n			u-inlex-nf3;review;agent-label	high	OK		
不勞而獲	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
不堪忍受	a,v			u-inlex-nf3;review;agent-label	high	OK		
事不關己	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
二號人物	n			u-inlex-nf3;review;agent-label	high	OK		
以德服人	v	idiom		成語；以德服人;u-inlex-nf3;review;agent-label	high	OK		
以毒攻毒	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
低效	a			u-inlex-nf3;review;agent-label	high	OK		
依然如故	a,r	idiom		u-inlex-nf3;review;agent-label	high	OK		
個人崇拜	n			u-inlex-nf3;review;agent-label	high	OK		
偷天換日	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
兩小無猜	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
刀光劍影	n	idiom		u-inlex-nf3;review;agent-label	high	OK		
刨根問底	v	idiom		成語；刨根問底;u-inlex-nf3;review;agent-label	high	OK		
前列腺素	n			u-inlex-nf3;review;agent-label	high	OK		
北愛爾蘭	n			u-inlex-nf3;review;agent-label	high	OK		
危在旦夕	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
危機重重	a			u-inlex-nf3;review;agent-label	high	OK		
唯物史觀	n			u-inlex-nf3;review;agent-label	high	OK		
唯物論	n			u-inlex-nf3;review;agent-label	high	OK		
喧賓奪主	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
國家銀行	n			u-inlex-nf3;review;agent-label	high	OK		
坦誠	a			u-inlex-nf3;review;agent-label	high	OK		
多模光纖	n			u-inlex-nf3;review;agent-label	high	OK		
大興土木	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
天外來客	n			u-inlex-nf3;review;agent-label	high	OK		
如期完成	v			u-inlex-nf3;review;agent-label	high	OK		
孤苦伶仃	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
害人	v			u-inlex-nf3;review;agent-label	high	OK		
察言觀色	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
小幅度	a,n			u-inlex-nf3;review;agent-label	high	SOFT		a,n 可
展翅高飛	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
