literal	freq	pos	family	voice	note
前所未見	543	a,v	idiom		
功成身退	543	v	idiom		
勢不兩立	543	a,v	idiom		
半斤八兩	543	a,n	idiom		
各有所長	543	v	idiom		
國家機器	543	n			
坐享其成	543	v	idiom		
坑蒙拐騙	543	n,v	idiom		
大雪紛飛	543	a,v			
奇花異草	543	n	idiom		
定性分析	543	n,v			
康莊大道	543	n	idiom		
心猿意馬	543	a,v	idiom		
思前想後	543	v	idiom		
抗壞血酸	543	n			
毫無價值	543	a			
理性認識	543	n			
空中飛人	543	n			
素淨	543	a			
肅立	543	v			
肌肉發達	543	a			
裝神弄鬼	543	v	idiom		
開國元勳	543	n			
隨大流	543	v			
一葉扁舟	542	n	idiom		
不同以往	542	a,r			
傷亡慘重	542	a			
勞民傷財	542	a,v	idiom		
國事訪問	542	n			
寢食難安	542	a,v	idiom		
山崩地裂	542	a,v	idiom		
引狼入室	542	v	idiom		
持槍搶劫	542	n,v			
擠眉弄眼	542	v	idiom		
板上釘釘	542	a,v	idiom		
機工	542	n			
歷史遺跡	542	n			
父母雙亡	542	a,v			
玲瓏剔透	542	a	idiom		
管絃樂團	542	n			
約法三章	542	n,v	idiom		
繁星點點	542	a,n			
臆測	542	n,v			
負債累累	542	a			
迷惑不解	542	a,v			
隔熱材料	542	n			
飛鴿傳書	542	n,v	idiom		
香消玉殞	542	v	idiom		
一般規定	541	n			
三妻四妾	541	n	idiom		
不分晝夜	541	a,r	idiom		
不言自明	541	a,v	idiom		
人面桃花	541	n	idiom		
伊斯蘭堡	541	n			
冰雪聰明	541	a	idiom		
前仰後合	541	a,v	idiom		
外生殖器	541	n			
大禹治水	541	n			
天女散花	541	n,v	idiom		
妙齡少女	541	n			
孑然一身	541	a	idiom		
寧缺毋濫	541	a,v	idiom		
年老體弱	541	a			
恩愛夫妻	541	n			
恬不知恥	541	a,v	idiom		
搶購一空	541	v			
普賢菩薩	541	n			
歷經滄桑	541	a,v	idiom		
獨闢蹊徑	541	v	idiom		
皮下注射	541	n,v			
眉清目秀	541	a	idiom		
禍國殃民	541	a,v	idiom		
胎死腹中	541	a,v	idiom		
自甘墮落	541	v	idiom		
自由意志	541	n			
花邊新聞	541	n			
觸摸屏幕	541	n			
重整旗鼓	541	v	idiom		
飛檐走壁	541	v	idiom		
上半部	540	n			
五代十國	540	n			
優化組合	540	n,v			
友好訪問	540	n			
和好如初	540	v	idiom		
地質學家	540	n			
大幹一場	540	v			
對酒當歌	540	v	idiom		
工業時代	540	n			
心急火燎	540	a,v	idiom		
打擊樂器	540	n			
拗口	540	a			
授權範圍	540	n			
撥雲見日	540	v	idiom		
收拾殘局	540	v			
改邪歸正	540	v	idiom		
敲鑼打鼓	540	a,v	idiom		
毀譽	540	n			
涇渭分明	540	a,v	idiom		
火災現場	540	n			
燃煤鍋爐	540	n			
牆頭草	540	n	idiom		
痛快淋漓	540	a	idiom		
稀土金屬	540	n			
背信棄義	540	a,v	idiom		
自行解決	540	v			
花容失色	540	a,v	idiom		
話到嘴邊	540	a,v			
證據確鑿	540	a			
變化莫測	540	a,v	idiom		
軍事法庭	540	n			
酩酊大醉	540	a,v	idiom		
閒雲野鶴	540	n	idiom		
音準	540	n			
不勝感激	539	a,v			
五律	539	n			
人海茫茫	539	a,n			
劍走偏鋒	539	v	idiom		
合不來	539	a,v			
四季如春	539	a			
實屬不易	539	a			
寬宏大量	539	a	idiom		
強烈願望	539	n			
彌合	539	v			
正鑲白旗	539	n			
殺出重圍	539	v	idiom		
民間舞蹈	539	n			
求同存異	539	v	idiom		
淺顯易懂	539	a			
牛鬼蛇神	539	n	idiom		
