literal	freq	pos	family	voice	note
甯	1239	n			姓／名用字
發愁	1239	v			
芝加哥	1239	n			
看得出	1238	v			
西寧	1238	n			
詹	1237	n			姓
圓通	1236	a,n			圓融／圓通速遞
跟前	1236	n,r			
開放式	1236	a			
別看	1235	v,x			別看…其實… 連詞向
國道	1235	n			
爭霸	1235	v			
蠍子	1235	n			
侃	1234	v			侃大山
學報	1233	n			
授	1233	v			
節水	1233	n,v			
明瞭	1232	a,v			
亦可	1231	r			
摘編	1230	n,v			
棗	1230	n			
答疑	1230	n,v			
耗材	1230	n			
預售	1230	n,v			
一審	1229	n			
首映	1229	n,v			
上一頁	1228	n,x			UI導航
下鄉	1228	v			
包頭	1228	n			地名
婭	1228	n			名用字
對陣	1228	n,v			
少不了	1228	v			
放電	1228	n,v			物理／示好
眼部	1228	n			
兌	1227	v			
刻畫	1227	n,v			
增持	1227	v			
過早	1227	a,r			
點子	1227	n			
代購	1226	n,v			
口徑	1226	n			
楞	1226	a,v			愣；愣住
倉儲	1225	n,v			
婚前	1225	a,r			
管理處	1225	n			
落伍	1225	a,v			
三個字	1224	n,x			數量短語
倍感	1224	v			
所有者	1224	n			
核定	1224	v			
職權	1224	n			
就診	1223	v			
海運	1223	n,v			
駿	1223	a,n			駿馬；名用字
檢察	1222	n,v			
約好	1222	v			
本意	1221	n			
燈會	1221	n			
白髮	1221	n			
長篇	1221	a,n			
告警	1220	n,v			
淋漓盡致	1220	a,r	idiom		成語
突然間	1220	r			
迅猛	1220	a			
發信	1219	v			
立方米	1219	n,x			計量
紀念館	1219	n			
菩提	1219	n			
鈞	1219	n			敬稱／名用字
須知	1219	n,v			
養老金	1219	n			
大法	1217	n			
專場	1217	n			
廠長	1217	n			
走出去	1217	v			
禹	1216	n			專名／大禹
啦啦	1215	x			擬聲／助威
抵抗力	1215	n			
日產	1215	n,v			日產量／車廠名
編輯部	1214	n			
位數	1213	n			
可持續	1213	a			
寶典	1213	n			
少兒	1213	n			
悄悄話	1213	n			
煥	1213	a,v			煥發；名用字
合作社	1212	n			
機油	1212	n			
熱賣	1212	a,v			
跟風	1212	v			
首度	1212	r			
田園	1211	n			
腸道	1211	n			
謀求	1211	v			
名師	1210	n			
夠嗆	1210	a			
白宮	1210	n			
縱向	1210	a,n			
圖層	1209	n			
日月	1209	n			
淵	1209	n			
白銀	1209	n			
存儲卡	1208	n			
無誤	1208	a			
相鄰	1208	a,v			
資產階級	1208	n			
五糧液	1207	n			品牌
人際	1207	a,n			
僅次於	1207	v,x			介引比較
實錄	1207	n			
支持者	1207	n			
馬刺	1207	n			馬刺／球會
不可或缺	1206	a	idiom		成語式固定
古巴	1206	n			
合法性	1206	n			
搭理	1206	v			
科學院	1206	n			
凝聚力	1205	n			
永樂	1205	n			年號／專名
薪資	1205	n			
農田	1205	n			
配有	1205	v			
音像	1205	n			
實名	1204	a,n			
實效	1204	n			
考點	1204	n			
送往	1204	v			
透明度	1204	n			
清倉	1203	v			
夸	1201	v			誇
教學樓	1201	n			
核桃	1201	n			
江北	1201	n			
生源	1201	n			
高產	1201	a,n			
恐怖片	1200	n			
斷電	1199	n,v			
艱鉅	1199	a			
西服	1199	n			
下級	1198	n			
初探	1198	n,v			
壓根	1198	r			
記賬	1198	v			
油氣	1197	n			
考查	1197	n,v			
保費	1196	n			
分校	1196	n			
政委	1196	n			
教案	1196	n			
測繪	1196	n,v			
連勝	1196	n,v			
逾期	1196	a,v			
劣質	1195	a			
單項	1195	n			
幫主	1195	n			
樂於	1195	v			
漢子	1195	n			
玩意兒	1195	n			
閉幕	1195	n,v			
天籟	1194	n			
癡心	1194	a,n			
冥	1193	a,n			冥界／幽冥
調配	1193	n,v			
選擇性	1193	a,n			
亦有	1192	v			
生殖器	1192	n			
上官	1191	n			複姓／職稱
席位	1191	n			
應力	1191	n			
洋溢	1191	v			
輕薄	1191	a			
哲理	1190	n			
星辰	1190	n			
老爹	1190	n			
職業道德	1190	n			
工具欄	1189	n			
差額	1189	n			
式樣	1189	n			
管線	1189	n			
選題	1189	n,v			
佛法	1188	n			
外域	1188	n			
屢屢	1188	r			
五星	1187	a,n			
頭球	1187	n			
尾盤	1186	n			
提單	1186	n			
卵巢	1185	n			
翻番	1185	v			
戰隊	1184	n			
總得	1184	r,v			總得… 必須
花絮	1184	n			
居士	1183	n			
成員國	1183	n			
搭載	1183	v			
無條件	1183	a,r			
絕緣	1183	a,n,v			
南國	1182	n			
烤肉	1182	n,v			
來賓	1181	n			
捧着	1181	v			
一例	1179	n,r			一例／一律
保潔	1179	n,v			
巨資	1179	n			
後背	1179	n			
收發	1179	n,v			
時報	1179	n			
著作權	1179	n			
高峯期	1179	n			
懸賞	1178	n,v			
攻擊力	1178	n			
沐	1178	v			沐浴；名用字
西遊記	1178	n			
開票	1178	v			
飲用水	1178	n			
中草藥	1177	n			
兒時	1177	n,r			
初稿	1177	n			
構件	1177	n			
崇敬	1176	n,v			
有形	1176	a			
浮雲	1176	n			
災民	1176	n			
