literal	freq	pos	family	voice	note
文員	1512	n			
時分	1512	n			
暗自	1512	r			
有着	1512	v			
有聲	1512	a			
有講	1512	v			
望實	1512	v			
椰	1512	n			
殊	1512	a			
殘舊	1512	a			
毋	1512	x			
氏	1512	n			
泊	1512	v			
活躍	1512	a			
淫水	1512	n			
清洗	1512	v			
滑稽	1512	a			
潤	1512	a,v			
濃	1512	a			
瀨	1512	n			
熊人	1512	n			
熟手	1512	a,n			
熟識	1512	a,v			
熱身	1512	n,v			
爭在	1512	r,x			
特首	1512	n			
男裝	1512	n			
痛心	1512	a,v			
癒	1512	v			
皆因	1512	x			
皇家	1512	n			
盼	1512	v			
眼仔	1512	n			
眼水	1512	n			
着急	1512	a,v			
睇唔過眼	1512	a,v	idiom		
矛	1512	n			
短期	1512	a,n			
硬淨	1512	a			
磡	1512	n			
神棍	1512	n			
稅	1512	n			
程式	1512	n			
種類	1512	n			
空手道	1512	n			
第二度	1512	n,r			
第二樣	1512	n			
粒聲	1512	n			
純潔	1512	a			
級數	1512	n			
縱然	1512	x			
耳筒	1512	n			
耶	1512	x			
聽人講	1512	v			
肥婆	1512	n			
胡亂	1512	r			
胯	1512	n			
腸仔	1512	n			
致	1512	v,x			
草原	1512	n			
蒲	1512	n,v			
螺絲批	1512	n			
血淋淋	1512	a			
血肉	1512	n			
衣衫	1512	n			
見狀	1512	v			
覺覺豬	1512	n,v			
觸感	1512	n			
詭	1512	a			
識字	1512	v			
起見	1512	x			
軌	1512	n			
辛	1512	a,n			
逗	1512	v			
造	1512	v			
連同	1512	x			
連帶	1512	a,v			
遊走	1512	v			
過客	1512	n			
過電	1512	v			
酒杯	1512	n			
醜陋	1512	a			
重大	1512	a			
金魚	1512	n			
閃身	1512	v			
隱	1512	a,v			
電波	1512	n			
靈活	1512	a			
靜心	1512	a,v			
面部	1512	n			
驚青	1512	a,n			
驟眼	1512	r			
高峰	1512	n			
鵝	1512	n			
鸚鵡	1512	n			
平方公里	1511	n			
參見	1508	v			
復出	1508	v			
株	1508	n,x			
一陣子	1507	n,r			
有效期	1507	n			
箇	1506	x			
變壓器	1506	n			
介質	1505	n			
搭檔	1502	n,v			
暢銷	1502	a,v			
期末	1502	n			
燃氣	1502	n			
通知書	1502	n			
主線	1500	n			
吐血	1500	v			
跨國	1500	a,v			
拿走	1499	v			
牧	1499	n,v			
洛杉磯	1498	n			
漢族	1498	n			
趣味	1498	n			
蔥	1496	n			
購置	1496	v			
至關重要	1494	a	idiom		
返還	1494	v			
霖	1494	n			
模擬器	1492	n			
縣長	1492	n			
據此	1490	r,x			
桃子	1490	n			
顯示屏	1490	n			
年報	1489	n			
老孃	1489	n			
支隊	1488	n			
牴	1488	u			牴觸殘字
運動會	1488	n			
主帥	1487	n			
大軍	1487	n			
淑	1485	n			
學子	1483	n			
溜達	1482	v			
越發	1482	r			
打的	1479	v			
從沒	1478	r			
轉會	1478	n,v			
陵	1477	n			
作物	1476	n			
轉速	1476	n			
博友	1474	n			
梳理	1474	v			
公安部	1473	n			
國情	1473	n			
基站	1473	n			
智能手機	1473	n			
規範化	1473	n,v			
銳	1473	a			
構築	1472	v			
鑑別	1472	v			
供水	1471	n,v			
女足	1471	n			
接軌	1471	v			
加點	1466	n,v			
秋風	1466	n			
達人	1466	n			
