literal	freq	pos	family	voice	note
必不可少	1306	a	idiom		
公測	1305	n,v			
淫穢	1305	a			
填報	1304	v			
從業	1304	v			
繳	1303	v			
過不去	1303	a,v			
江門	1302	n			
週歲	1302	n			
預案	1302	n			
完備	1301	a			
經絡	1301	n			
客商	1300	n			
收藏夾	1300	n			
鄂	1300	n			
春運	1299	n			
聽課	1299	v			
閥門	1299	n			
粉紅色	1298	a,n			
華裔	1298	n			
點播	1298	n,v			
京劇	1296	n			
負面影響	1295	n			
創造力	1294	n			
千古	1294	n,r			
特約	1294	a,n,v			
辯	1294	v			
幫派	1293	n			
上崗	1292	v			
示例	1292	n			
養護	1292	n,v			
內線	1291	n			
網格	1291	n			
評比	1291	n,v			
辛勤	1291	a			
高中生	1291	n			
低位	1290	n			
國家標準	1290	n			
開封	1290	n,v			
全額	1289	n,r			
常委	1289	n			
慢慢來	1289	r,v			
掏錢	1289	v			
文化遺產	1289	n			
經理人	1289	n			
低點	1287	n			
故宮	1287	n			
荷花	1287	n			
救市	1285	v			
明代	1285	n			
五筆	1284	n			
出廠	1284	v			
活該	1284	a,r			
翻唱	1284	n,v			
功耗	1283	n			
國慶節	1283	n			
張力	1283	n			
湛江	1283	n			
同仁	1282	n			
鬥地主	1282	n,v			
鮮活	1282	a			
跟不上	1281	v			
通車	1281	v			
代辦	1280	n,v			
低收入	1280	n			
巴掌	1280	n			
拖拉機	1280	n			
孫悟空	1279	n			
護膚品	1279	n			
回饋	1278	n,v			
生物學	1278	n			
竹子	1278	n			
造價	1278	n			
初三	1277	n			
持平	1277	a,v			
毫無疑問	1277	r	idiom		
車手	1277	n			
多頭	1276	a,n			
總書記	1276	n			
翟	1276	n			
評議	1276	n,v			
祿	1275	n			
考勤	1275	n,v			
入黨	1274	v			
小結	1274	n,v			
虔誠	1274	a			
倒計時	1273	n,v			
大雪	1273	n			
放送	1273	v			
清香	1273	a,n			
打分	1271	v			
擴建	1271	n,v			
絢麗	1271	a			
陽性	1271	a,n			
效果圖	1270	n			
暗黑	1270	a,n			
樣板	1270	n			
村長	1268	n			
端午節	1268	n			
素養	1268	n			
抄底	1267	v			
癡迷	1267	a,v			
莪	1267	n			
座談	1266	n,v			
有色金屬	1266	n			
新作	1265	n			
榜首	1265	n			
刊	1264	n,v			
搶佔	1264	v			
歲時	1264	n			
叢書	1263	n			
液壓	1263	n			
功底	1262	n			
大學城	1262	n			
技術含量	1262	n			
挪威	1262	n			
服務質量	1262	n			
畫質	1262	n			
簡便	1262	a			
骨子裏	1262	r			
黨政	1261	n			
滄海	1260	n			
狄	1260	n			
阿布	1260	n			
公章	1259	n			
歡迎光臨	1259	x			
誌	1259	n,v			
勞累	1256	a,v			
取向	1256	n			
潛規則	1255	n			
水產	1254	n			
游泳池	1254	n			
繁瑣	1254	a			
元帥	1253	n			
臉龐	1253	n			
原廠	1252	n			
奢侈品	1252	n			
煙火	1252	n			
節假日	1252	n			
對聯	1251	n			
工業園區	1251	n			
豔麗	1251	a			
開局	1251	n,v			
忘不了	1250	v			
當官	1250	v			
對得起	1249	v			
算命	1249	n,v			
鞍	1249	n			
首日	1249	n			
勳章	1248	n			
擔負	1248	v			
官僚	1247	n			
小王	1247	n			
平郵	1246	n			
表達式	1246	n			
T恤	1245	n			
一步步	1245	r			
一覽	1245	n,v			
上述	1245	a,n			
下令	1245	v			
下課	1245	v			
不夠	1245	a,r,v			
不然	1245	r,x			
中二病	1245	n			
九龍城	1245	n			
五指	1245	n			
人大	1245	n			
人民	1245	n			
以示	1245	v			
仰望	1245	v			
個別	1245	a,n,r			
借機	1245	r,v			
倩	1245	a,n			
假扮	1245	v			
傳奇	1245	a,n			
光猛	1245	a			
免	1245	v			
全球	1245	n			
出邊	1245	n,r			
分心	1245	v			
功力	1245	n			
務求	1245	v			
勞氣	1245	a,v			
只差	1245	r,v			
可信	1245	a			
司法	1245	n			
司長	1245	n			
各地	1245	n			
命中	1245	v			
哨子	1245	n			
唐	1245	n			
唪	1245	v			
商會	1245	n			
單靠	1245	r,v			
嘔吐	1245	n,v			
嘢飲	1245	n			
嘩嘩	1245	a,r,x			
嚇一跳	1245	v			
嚎	1245	v			
嚟得切	1245	v			
圖書	1245	n			
在內	1245	r,x			
在座	1245	a,v			
地氣	1245	n			
埋手	1245	v			
城牆	1245	n			
埲	1245	n			
埸	1245	n			
壁報	1245	n			
壞人	1245	n			
外在	1245	a,n			
多士	1245	n			
多數人	1245	n			
夢寐以求	1245	a,v	idiom		
大嶼山	1245	n			
大幅	1245	a,r			
大殿	1245	n			
大計	1245	n			
太少	1245	a			
套餐	1245	n			
女女	1245	n			
妖精	1245	n			
姿	1245	n			
娘娘	1245	n			
孝順	1245	a,v			
安樂	1245	a,n			
定律	1245	n			
家政	1245	n			
密集	1245	a			
實會	1245	u			實+會截斷
寫意	1245	a,n			
寶馬	1245	n			
寸	1245	n,x			
將你	1245	u			介／副+代截斷
對策	1245	n			
小型	1245	a			
少見	1245	a			
尚算	1245	r,v			
山洞	1245	n			
山長水遠	1245	a,r	idiom		
左右手	1245	n			
左轉	1245	n,v			
市區	1245	n			
布甸	1245	n			
年初一	1245	n			
引發	1245	v			
強力	1245	a,n			
強硬	1245	a			
往日	1245	n			
得知	1245	v			
心聲	1245	n			
忍笑	1245	v			
快快手	1245	a,r			
惠	1245	a,n,v			
慢吞吞	1245	a,r			
戈	1245	n			
戲飛	1245	v			
打底	1245	n,v			
打風	1245	v			
拉西	1245	u			罕／不明
拍門	1245	v			
拖手	1245	v			
插口	1245	n,v			
搞嘢	1245	v			
撕爛	1245	v			
播出	1245	v			
擊退	1245	v			
擢	1245	v			
改寫	1245	v			
教官	1245	n			
敬	1245	a,v			
文科	1245	n			
旨意	1245	n			
時不時	1245	r			
暑期	1245	n			
暖流	1245	n			
朕	1245	n,x			
朱	1245	n			
村落	1245	n			
某某	1245	n,x			
柑	1245	n			
染上	1245	v			
條條	1245	a,n,x			
棋	1245	n			
楊	1245	n			
楓葉	1245	n			
極其	1245	r			
歐遊	1245	n,v			
正版	1245	a,n			
正要	1245	r,v			
正視	1245	v			
正路	1245	n			
殻	1245	n			
毆	1245	v			
沁	1245	v			
法術	1245	n			
活生生	1245	a,r			
海鮮	1245	n			
測	1245	v			
滋	1245	n,v			
滋潤	1245	a,v			
激死	1245	a,v			
瀟灑	1245	a			
火海	1245	n			
熙	1245	a,n			
熱褲	1245	n			
玉玲瓏	1245	a,n			
理科	1245	n			
男仔頭	1245	n			
男家	1245	n			
留守	1245	v			
留得	1245	v			
發姣	1245	v			
發軟	1245	v			
直視	1245	v			
眼白	1245	n			
社區	1245	n			
秉	1245	n,v			
米蘭	1245	n			
細路哥	1245	n			
繽紛	1245	a			
老伯	1245	n			
老子	1245	n			
耶和華	1245	n			
聰	1245	a,n			
股價	1245	n			
肢體	1245	n			
胸肌	1245	n			
腥	1245	a			
花樽	1245	n			
荷蘭	1245	n			
