literal	freq	pos	family	voice	note
業務	1156	n			
榜	1156	n			
樓主	1156	n			
樹熊	1156	n			
機動	1156	a,n			
橫線	1156	n			
欺壓	1156	v			
正大	1156	a			
毫不猶豫	1156	r	idiom		
決	1156	v			
沙包	1156	n			
河童	1156	n			
洗衫	1156	v			
活塞	1156	n			
深度	1156	n			
深知	1156	v			
深邃	1156	a			
港大	1156	n			
港澳	1156	n			
渾	1156	a			
滴答	1156	n,v			
漲	1156	v			
潮流	1156	n			
炎	1156	n			
無疑	1156	r			
營造	1156	v			
牛河	1156	n			
特寫	1156	n			
狼人	1156	n			
獨	1156	a,r			
獻上	1156	v			
玄	1156	a			
玲	1156	n			
現任	1156	a,n			
畀心機	1156	v			
疾	1156	a,n			
發嬲	1156	v			
白鴿	1156	n			
皇	1156	n			
盤算	1156	v			
相視	1156	v			
着緊	1156	a,v			
睇相	1156	v			
矇	1156	a,v			
知到	1156	v			
福氣	1156	n			
稟	1156	v			
種子	1156	n			
稱職	1156	a			
窩心	1156	a			
笨拙	1156	a			
第個	1156	x			
簡稱	1156	n,v			
純正	1156	a			
紫菜	1156	n			
絕招	1156	n			
罪名	1156	n			
美術	1156	n			
老夫	1156	n			
老板娘	1156	n			
考場	1156	n			
脆	1156	a			
腸粉	1156	n			
自摸	1156	n,v			
自虐	1156	n,v			
自行	1156	r			
舉高	1156	v			
舊式	1156	a			
芥辣	1156	n			
莉	1156	n			
萌	1156	a,v			
藥引	1156	n			
螢光	1156	n			
螺絲	1156	n			
血脈	1156	n			
衰女	1156	n			
裙底	1156	n			
褲頭	1156	n			
解圍	1156	v			
討論區	1156	n			
識穿	1156	v			
責	1156	n,v			
走堂	1156	v			
走失	1156	v			
趕唔切	1156	v			
趷	1156	v			
跟進	1156	v			
軍團	1156	n			
輔助	1156	n,v			
迷戀	1156	v			
逃出	1156	v			
道術	1156	n			
遙遠	1156	a			
遺願	1156	n			
還擊	1156	v			
鐮	1156	n			
鐵人	1156	n			
鐵通	1156	n			
阿嬸	1156	n			
附上	1156	v			
隨風	1156	r			
雞肉	1156	n			
雨褸	1156	n			
雪梨	1156	n			
青龍	1156	n			
順攤	1156	a			
預咗	1156	v			
風光	1156	a,n			
飛身	1156	v			
飯食	1156	n			
飲品	1156	n			
養大	1156	v			
餐牌	1156	n			
驗	1156	v			
驚起	1156	v			
體位	1156	n			
鬼仔	1156	n			
鮮紅	1156	a			
點名	1156	n,v			
點搞	1156	v			
鼻腔	1156	n			
上榜	1155	v			
城鎮居民	1155	n			
摟着	1155	v			
秋水	1155	n			
婕	1154	n			
茨	1154	n			
模版	1153	n			
風尚	1152	n			
女排	1151	n			
宏大	1151	a			
摳	1151	v			
污垢	1151	n			
涂	1151	n,v			簡體塗／姓
緊缺	1151	a			
夜宵	1150	n			
姓氏	1150	n			
有如	1150	v			
樞紐	1150	n			
老牌	1150	a,n			
貳	1150	x			
刊載	1149	v			
勞資	1149	n			
洗浴	1149	n,v			
燈具	1149	n			
自治州	1149	n			
跟人	1149	v			
專業課	1148	n			
清閒	1148	a			
穆斯林	1148	n			
