literal	freq	pos	family	voice	note
現代文學	655	n			
信號處理	654	n			
第一夫人	648	n			
同等學力	647	n			
模擬考試	647	n			
使用手冊	646	n			
四門轎車	646	n			
牛郎織女	646	n			神話對耦／專名向
有機化學	645	n			
兒童文學	644	n			
全文檢索	644	n			
囉嗦	644	a			
失物招領	644	n			
特約記者	643	n			
有機玻璃	642	n			
權利聲明	642	n			
不可收拾	641	a	idiom		成語；不可收拾
中樞神經	641	n			
民主生活	641	n			
生日蛋糕	641	n			
視頻點播	640	n			
會議展覽	639	n			
十二指腸	638	n			
家庭教師	638	n			
俠盜飛車	637	n			遊戲專名 GTA
辦公地址	637	n			
馬可波羅	637	n			專名
高空作業	637	n			
生涯規劃	636	n			
世界貿易	635	n			
兩棲	635	a,n			兩棲動物／兩棲性質
參考書目	635	n			
喜氣	635	a,n			
教學大綱	635	n			
毫無保留	635	a,r			
海誓山盟	634	n,v	idiom		成語；誓約
參考價值	632	n			
柳暗花明	632	a	idiom		成語；轉折見希望
臨牀經驗	632	n			
新事物	631	n			
自我安慰	631	n,v			
師範學校	630	n			
弔唁	630	v			
愁眉	630	n			愁眉苦臉詞幹
植保	630	n			植物保護簡稱
海市蜃樓	630	n	idiom		成語；幻景
耳鼻喉科	630	n			
量具	630	n			
靜物	630	n			
各奔東西	629	v	idiom		成語；分道離去
邏輯思維	629	n			
同聲傳譯	628	n			
斯洛伐克	628	n			國名
素昧平生	628	a	idiom		成語；素不相識
優惠價格	627	n			
兩敗俱傷	627	a,v	idiom		成語
公共事業	627	n			
千山萬水	627	n	idiom		成語；遙遠路途
學位證書	627	n			
寡言	627	a			
二十一條	626	n			歷史條約條款
火山爆發	626	n			
網頁地址	626	n			
春意盎然	625	a	idiom		成語
國家公園	624	n			
成本會計	624	n			
新鮮空氣	624	n			
知心朋友	624	n			
一閃而過	622	v			
七律	622	n			詩體
三番四次	622	r	idiom		成語；屢次
份子	622	n			
做作	622	a			
冷場	622	n,v			
凶多吉少	622	a	idiom		成語
分道揚鑣	622	v	idiom		成語
利落	622	a			
創	622	n,v			創傷／創立
古靈精怪	622	a			口語固定
含糊	622	a			
天天	622	r			
嬉皮笑臉	622	a	idiom		成語
完滿	622	a			
寒暄	622	n,v			
小組	622	n			
少婦	622	n			
山雨欲來	622	a,n	idiom		成語截；山雨欲來風滿樓
平坦	622	a			
廉	622	a,n			廉潔／便宜／姓
建設	622	n,v			
後勤	622	n			
後台	622	n			
從長計議	622	v	idiom		成語
微型	622	a			
心甘情願	622	a,r	idiom		成語
惡人	622	n			
慢條斯理	622	a,r	idiom		成語
懶洋洋	622	a			
提心吊膽	622	a,v	idiom		成語
援手	622	n,v			
撤	622	v			
文具	622	n			
波折	622	n			
清澈	622	a			
渺小	622	a			
滅亡	622	n,v			
澀	622	a			
直播	622	n,v			
知難而退	622	v	idiom		成語
私家偵探	622	n			
穩重	622	a			
粉身碎骨	622	v	idiom		成語
緋聞	622	n			
總而言之	622	r,x			話語標記
繁	622	a			繁多／繁盛
自嘲	622	n,v			
至多	622	r			
見死不救	622	v	idiom		成語
講理	622	v			
豪宅	622	n			
貨真價實	622	a	idiom		成語
輕快	622	a			
迎擊	622	v			
通縮	622	n,v			
間斷	622	a,n,v			
順其自然	622	v	idiom		成語
頭條	622	n			
人身保險	621	n			
手拉葫蘆	621	n			起重工具
歷史沿革	621	n			
高山流水	621	n	idiom		成語；知音／琴曲
兒童教育	620	n			
腎上腺素	620	n			
謀殺案	620	n			
電視直播	620	n			
吸取教訓	619	v			
柴米油鹽	619	n	idiom		成語；日常生計
物超所值	619	a			固定評價語
