literal	freq	pos	family	voice	note
異軍突起	771	a,v	idiom		
教學活動	770	n			
灰飛煙滅	770	v	idiom		
證明文件	770	n			
辛亥革命	770	n			
顯示卡	770	n			
指日可待	769	a,v	idiom		
清貧	769	a			
良民	769	n			
上級領導	768	n			
看淡	768	v			
養家餬口	768	v	idiom		
密碼保護	767	n,v			
源遠流長	767	a	idiom		
疲乏	767	a			
熱帶雨林	766	n			
升勢	765	n			
慢速	765	a,n			
望而卻步	765	v	idiom		
血緣關係	765	n			
低矮	764	a			
心有餘悸	764	a,v	idiom		
拋磚引玉	764	v	idiom		
不絕於耳	763	a,v	idiom		
冬蟲夏草	763	n			
十有八九	763	r	idiom		
四大天王	763	n			
心路歷程	763	n			
技術裝備	763	n			
洪亮	763	a			
短命	763	a			
花樣年華	763	n			
討人喜歡	763	a,v			
軍事演習	763	n			
退訂	763	v			
驚慌失措	763	a,v	idiom		
黑色幽默	763	n			
自由貿易	762	n			
十二生肖	761	n			
對號入座	761	v	idiom		
傳統觀念	760	n			
才華橫溢	760	a	idiom		
身體力行	760	v	idiom		
勒令	759	v			
睡眠不足	759	a,n			
傳輸速率	758	n			
時至今日	758	r	idiom		
歡聲笑語	758	n			
紅杏出牆	758	v	idiom		
數字信號	757	n			
過意不去	757	a,v			
勞動就業	756	n			
可持續發展	756	n			
哺乳動物	756	n			
實心	756	a,n			
由來已久	756	a,r	idiom		
變味	756	v			
財務軟件	756	n			
三位一體	755	n			
人文景觀	755	n			
十面埋伏	755	n,v			
地理環境	755	n			
擦身而過	755	v	idiom		
詩情畫意	755	a,n	idiom		
走火入魔	755	v	idiom		
公共政策	754	n			
厄瓜多爾	754	n			
昂揚	754	a			
立竿見影	754	a,v	idiom		
第一桶金	754	n			
統治階級	754	n			
野戰軍	754	n			
延年益壽	753	v	idiom		
蓄勢待發	753	a,v	idiom		
堂而皇之	752	a,r	idiom		
夢想成真	752	v			
朝夕相處	752	v	idiom		
瀕危	752	a			
教育質量	751	n			
生機勃勃	751	a	idiom		
印第安人	750	n			
拖沓	750	a			
生產關係	750	n			
鴉片戰爭	750	n			
暈頭轉向	749	a,v	idiom		
梅開二度	749	v	idiom		
物質文明	749	n			
結紮	749	n,v			
與世隔絕	749	a,v	idiom		
掉以輕心	748	v	idiom		
操作規程	748	n			
滿頭大汗	748	a,n			
物有所值	748	a	idiom		
萬事如意	748	a,v	idiom		
不可一世	746	a	idiom		
優秀學生	746	n			
半壁江山	746	n	idiom		
心想事成	746	v	idiom		
一無所獲	745	v	idiom		
對症下藥	745	v	idiom		
就事論事	745	v	idiom		
燈紅酒綠	745	a,n	idiom		
開發過程	745	n			
勤工儉學	744	n,v			
孤陋寡聞	744	a	idiom		
無病呻吟	744	v	idiom		
拉丁美洲	743	n			
盡收眼底	743	v	idiom		
當仁不讓	742	v	idiom		
變本加厲	742	v	idiom		
無地自容	741	a,v	idiom		
稀奇古怪	741	a	idiom		
不懷好意	740	a,v	idiom		
優先發展	740	n,v			
東南西北	740	n			
直選	740	n,v			
節約能源	740	v			
蒙特利爾	740	n			
綜上所述	739	r			
農田水利	739	n			
面帶微笑	739	v			
魚丸	739	n			
心肌梗塞	738	n			
推陳出新	738	v	idiom		
污濁	738	a			
精神面貌	738	n			
接踵而至	737	v	idiom		
男女平等	737	n			
行屍走肉	736	n	idiom		
一枝獨秀	735	a,v	idiom		
勞動模範	735	n			
如魚得水	735	a,v	idiom		
換位思考	735	n,v			
全軍覆沒	734	v	idiom		
喜新厭舊	734	v	idiom		
天下無敵	734	a	idiom		
物價指數	734	n			
互相幫助	733	v			
令人髮指	733	a	idiom		
出版日期	733	n			
千里迢迢	733	a,r	idiom		
審美疲勞	733	n			
教育制度	733	n			
散貨	733	n			
不得其解	732	a,v			
所剩無幾	732	a,v	idiom		
疲弱	732	a			
百花齊放	732	v	idiom		
行雲流水	732	a,n	idiom		
輕率	732	a			
輕鬆愉快	732	a			
一般而言	731	r			
包庇	731	v			
忙裏偷閒	731	v	idiom		
重出江湖	731	v	idiom		
青山綠水	731	n			
感同身受	730	v	idiom		
有感而發	730	v	idiom		
優勝劣汰	729	n,v			
功能模塊	729	n			
泣不成聲	729	a,v	idiom		
閉口	729	v			
一脈相承	728	a,v	idiom		
初來乍到	728	a,v	idiom		
炎黃子孫	728	n			
財政部長	728	n			
佚名	727	a,n			
副總經理	727	n			
滯銷	727	a,v			
恰如其分	726	a,r	idiom		
歸根到底	726	r	idiom		
熱情洋溢	726	a	idiom		
異想天開	726	a,v	idiom		
流連忘返	725	v	idiom		
自我介紹	725	n,v			
見不得人	725	a,v			
使用價值	724	n			
利益衝突	724	n			
國際新聞	724	n			
心理因素	724	n			
怨天尤人	724	v	idiom		
感慨萬千	724	a,v			
感激不盡	724	a,v			
男女老少	724	n			
電視頻道	724	n			
下落不明	723	a,v			
別客氣	723	x			
戒酒	723	v			
直言不諱	723	a,v	idiom		
首映式	723	n			
初戀情人	722	n			
如此這般	722	r			
寒酸	722	a			
慢悠悠	722	a,r			
環保意識	722	n			
走馬觀花	722	v	idiom		
出門在外	721	v			
外交部長	721	n			
怯懦	721	a			
隱私政策	721	n			
民主監督	720	n,v			
困難重重	719	a			
垂頭喪氣	719	a,v	idiom		
機動車輛	719	n			
生不如死	719	a,v	idiom		
義憤填膺	719	a,v	idiom		
退休年齡	719	n			
不假思索	718	r,v	idiom		
價廉物美	718	a	idiom		
國家權力	718	n			
專科學校	718	n			
樂在其中	718	a,v	idiom		
舉一反三	718	v	idiom		
偉岸	717	a			
害處	717	n			
未成年人	717	n			
食慾不振	717	a,n			
驚世駭俗	717	a	idiom		
周而復始	716	v	idiom		
用心良苦	716	a	idiom		
弗吉尼亞	715	n			
形同虛設	715	a,v	idiom		
從頭開始	715	v			
木馬病毒	715	n			
穆罕默德	714	n			
豈止	714	r			
頭等大事	714	n			
不利於	712	v			
人云亦云	712	v	idiom		
一勞永逸	711	a,v	idiom		
不堪設想	711	a	idiom		
乖仔	711	n			
乾脆	711	a,r			
以防萬一	711	r,v			
仰慕	711	v			
停電	711	n,v			
優	711	a,n			
先後	711	n,r			
全職	711	a,n			
分部	711	n			
動聽	711	a			
匪夷所思	711	a	idiom		
品學兼優	711	a	idiom		
四方八面	711	n,r			
地心吸力	711	n			
夜夜	711	r			
大漢	711	n			
太陽眼鏡	711	n			
好事	711	a,n			
好極	711	a,r			
如此一來	711	r			
婉拒	711	v			
實物	711	n			
尋死	711	v			
小家	711	n			
強項	711	n			
恐襲	711	n,v			
感官	711	n			
振奮	711	a,v			
掃興	711	a,v			
收貨	711	n,v			
日用品	711	n			
有朝一日	711	r	idiom		
此外	711	r,x			
清涼	711	a			
清靜	711	a			
火熱	711	a			
生肖	711	n			
異地	711	n,r			
眼利	711	a			
細雨	711	n			
股市	711	n			
自首	711	v			
蕩氣迴腸	711	a	idiom		
跌打	711	n,v			
身不由己	711	a,v	idiom		
連鎖反應	711	n			
進取	711	a,v			
進食	711	v			
郵政局	711	n			
醜惡	711	a			
開機	711	n,v			
陌路	711	n			
除外	711	v,x			
高樓大廈	711	n			
人身自由	710	n			
指手畫腳	710	v	idiom		
水土不服	710	a,v	idiom		
活蹦亂跳	710	a,v	idiom		
冒失	709	a			
憂患意識	709	n			
武裝力量	709	n			
功成名就	708	a,v	idiom		
性情中人	708	n			
手紙	708	n			
方興未艾	708	a	idiom		
超級女生	708	n			
內心深處	707	n			
單幹	707	v			
天生麗質	707	a,n	idiom		
好好地	707	r			
逢年過節	707	r	idiom		
分權	706	n,v			
天文數字	706	n			
