literal	freq	pos	family	voice	note
西班牙語	913	n			
本分	912	a,n			
興致勃勃	910	a	idiom		
善解人意	909	a	idiom		
工程設計	909	n			
中央銀行	908	n			
旭日	908	n			
觸目驚心	908	a	idiom		
不屑一顧	906	a,v	idiom		
激化	906	n,v			
莎士比亞	906	n			
紅顏知己	905	n			
恐怖襲擊	904	n			
現場直播	903	n,v			
核心價值	902	n			
自古以來	902	r			
不亦樂乎	901	a,r	idiom		
往昔	900	n,r			
文件格式	900	n			
無線上網	900	n,v			
伊斯蘭教	899	n			
勞模	899	n			
貨到付款	899	n,v			
硬着頭皮	898	v	idiom		
難以想象	898	a,v			
生活條件	897	n			
力所能及	896	a	idiom		
可見一斑	896	v	idiom		
四面八方	896	n,r	idiom		
教育改革	895	n			
海闊天空	895	a,n	idiom		
國防部長	894	n			
獨資	894	a,n			
聯席會議	894	n			
憨厚	893	a			
黑髮	893	n			
一本正經	892	a	idiom		
國際足聯	892	n			
斷層	892	n			
此起彼伏	892	a,v	idiom		
爆米花	892	n			
停車位	891	n			
投資組合	891	n			
應運而生	890	v	idiom		
上任	889	v			
主力	889	n			
何時	889	r,x			
公關	889	n,v			
出國	889	v			
大吉利是	889	x			
大有	889	a,v			
嬌小	889	a			
小聲	889	a,n,r			
得體	889	a			
快要	889	r			
情不自禁	889	a,v	idiom		
情有獨鍾	889	v	idiom		
明亮	889	a			
明確	889	a,v			
最差	889	a			
無私	889	a			
登入	889	n,v			
直擊	889	n,v			
相安無事	889	a,v	idiom		
簡陋	889	a			
絕情	889	a			
緣分	889	n			
耐心	889	a,n			
舒緩	889	a,v			
衝破	889	v			
鈍	889	a			
錯失	889	n,v			
閒聊	889	n,v			
隱形	889	a,v			
離場	889	n,v			
首次	889	a,r			
得心應手	888	a	idiom		
日新月異	888	a,v	idiom		
世界銀行	887	n			
學術研究	887	n			
艱苦奮鬥	887	n,v	idiom		
水土保持	885	n			
發揚光大	885	v	idiom		
膠原蛋白	885	n			
公投	884	n,v			
天涯海角	884	n	idiom		
期末考試	884	n			
籠統	884	a			
威懾	882	n,v			
忘記密碼	882	n,v			
慈善事業	882	n			
措手不及	881	a,v	idiom		
民主黨派	881	n			
古典音樂	880	n			
哈根達斯	880	n			
耳目一新	880	a	idiom		
西伯利亞	880	n			
百科全書	879	n			
不動聲色	878	a	idiom		
格魯吉亞	878	n			
妥善處理	877	v			
從此以後	874	r			
社會事業	874	n			
罕	874	a			
保護環境	873	n,v			
紅人	872	n			
分拆	871	n,v			
一應俱全	870	a	idiom		
財政預算	870	n			
視頻會議	869	n			
送貨上門	869	n,v			
刑事責任	867	n			
有心人	867	n			
錯綜複雜	867	a	idiom		
風花雪月	867	n	idiom		
塵埃落定	866	v	idiom		
優惠價	864	n			
弄虛作假	864	v	idiom		
瘦小	863	a			
