batch	literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
u-inlex-nf3	一刀兩斷	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	一年到頭	r	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	一式兩份	n,r			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	亂成一團	a,v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	交感神經	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	倒背如流	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	全心投入	v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	前塵往事	n	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	動人心魄	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	勞動條件	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	參考消息	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	反式脂肪	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	口無遮攔	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	司法制度	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	呲牙咧嘴	a,v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	喜極而泣	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	國際音標	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	地震預報	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	坐井觀天	v	idiom		成語；坐井觀天;u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	堂吉訶德	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	大腹便便	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	天寒地凍	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	天賜良緣	n	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	太僕寺旗	n			地名／旗;u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	太陽電池	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	子宮頸癌	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	孤家寡人	n	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	守恆定律	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	尋歡作樂	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	山崩地裂	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	平白無故	a,r	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	心肝寶貝	n	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	心胸狹窄	a			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	忌日	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	愛理不理	a,v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	戰國時代	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	戰無不勝	a,v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	打草	v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	把酒言歡	v	idiom		成語；把酒言歡;u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	招人喜歡	a,v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	捷報頻傳	a,v			u-inlex-nf3;review;agent-label	high	SOFT		主謂事件偏 v；a 定語薄可留閘
u-inlex-nf3	捷足先登	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	探明儲量	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	昏迷不醒	a,v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	樂極生悲	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	模擬信號	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	止跌回升	v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	殘缺不全	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	氣勢如虹	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	氣象預報	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	玉樹臨風	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	環氧乙烷	n			化學名;u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	生產工具	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	皰疹病毒	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	矢口否認	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	知恩圖報	v	idiom		u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	知趣	a,v			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	社會青年	n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	神經錯亂	a,n			u-inlex-nf3;review;agent-label	high	OK		
u-inlex-nf3	神通廣大	a	idiom		u-inlex-nf3;review;agent-label	high	OK		
