batch	literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
u-inlex-nf4	一親芳澤	v	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	七言絕句	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	不予置評	v			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	乘龍快婿	n	idiom		成語；乘龍快婿;u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	人心叵測	a	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	人心難測	a			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	俯首稱臣	v	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	停薪留職	n,v			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	兄弟鬩牆	v	idiom		成語；兄弟鬩牆;u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	公共道德	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	公私分明	a			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	匍匐前進	v			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	十三太保	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	博客寫手	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	參考材料	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	可移植性	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	名不符實	a	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	向巴平措	n			人名;u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	含笑九泉	v	idiom		成語；含笑九泉;u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	國際法院	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	城市熱島	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	多國部隊	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	多重人格	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	大有文章	a,n	idiom		u-inlex-nf4;review;agent-label	high	BAD	a	stative 謂語形；n 假陽（同滿意 a,n→a／別有用心 a）
u-inlex-nf4	天打雷劈	v,x	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	奇風異俗	n	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	好言相勸	v			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	威震天下	a,v	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	寧缺勿濫	a,v	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	寬以待人	v			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	平心而論	r	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	弗蘭西斯	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	心中有鬼	a	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	心腹大患	n	idiom		u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	急性腸炎	n			u-inlex-nf4;review;agent-label	high	OK		
u-inlex-nf4	恢復常態	v			u-inlex-nf4;review;agent-label	high	OK		
