literal	pos	family	voice	note	verdict_note
我同	u				
我講	u				
我望	u				
我見	u				
我要	u				
我個	u				
我會	u				
有個	u				
一望	v				
陳	n				
只要	x				
生	v,a				
眼前	n,r				
啪	x				
便	r,x				
凍	a				
拜拜	v,x				
師姐	n				
直接	a,r				
阿心	n				
哥	n				
爲什麼	x				
哈哈	x				
哇	x				
我地	x				
三葉	n				
啖	x				
一日	n,r				
然	u				
我問	u				
勤	a				
彈	v				
本身	r,n				
成個	a,x				
味	n				
歌	n				
咗個	u				
的人	u				
一聲	n,x				
屋	n				
立即	r				
眼神	n				
返到	v				
郁	v				
阿明	n				
波波	n				
白色	a,n				
褲	n				
溼	a				
唔見	v				
阿妹	n				
爲了	x				
喪屍	n				
對方	n				
我們	x				
嗚	x				
鳩	n,a				
扮	v				
餵	v				
喵	x				
過嚟	v				
之外	x				
執	v				
勁	a,r				
亂	a				
我話	u				
唯有	x				
婆婆	n				
你講	u				
方	n				
果然	r				
哩	x				
臭	a				
雙手	n				
反而	r,x				
中學	n				
抌	v				
其中	x				
當我	u				
俊	a,n				
點算	v				
一早	r				
出聲	v				
一句	x,n				
一種	x,n				
卻	r,x				
阿政	n				
是不是	v,x				
我的	u				
喱	x				
一條	x,n				
定係	x				
冇乜	r,v				
嘅嘢	n				
所謂	x				
曾經	r				
遠	a				
啥	x				
出面	n,r				
個樣	n				
影	n,v				
甚至	r,x				
我知	u				
放學	v				
屙	v				
機	n				
你的	u				
直到	x				
嘅人	u				
鬧	v				
唔好意思	a,x				
變得	v				
個個	x				
無論	x				
行爲	n				
曳	a				
筆	n				
堂	n,x				
呵	x				
大佬	n				
貓貓	n				
晚	n,a				
游	v				
哪裏	x				
叫做	v				
揸	v				
實	a,r				
師父	n				
瑜	n				
掂	a,v				
嚮	x				
佬	n				
擒	v				
講到	v				
人生	n				
熄	v				
姨姨	n				
英文	n				
好的	a,x				
總之	r,x				
之中	x,n				
鐘意	v				
譬如	x				
鐘	n				
既然	x				
處	n				
冇事	a,x				
即使	x				
內	n,x				
甜	a				
闆	n				
仆街	v,a				
點會	v,x				
毒	n,a				
盒	n				
性	n				
抽	v				
個位	n,x				
政	n				
好玩	a				
晴	a,n				
由於	x				
遮	n,v				
可愛	a				
賢	a,n				
返學	v				
皓	n				
口水	n				
琴	n				
近	a				
那裏	x				
意	n				
第	x				
哩個	x				
我仲	u				
旁邊	n,r				
返嚟	v				
魔	n				
問我	u				
絕對	a,r				
小姐	n				
髮	n				
盡	v,a				
一手	n,r				
咀	v				
嘈	a				
到時	r				
用力	v,r				
嗰個	x				
緊要	a				
膊頭	n				
興趣	n				
三個	x,n				
講嘢	v				
愈	r				
短	a				
少女	n				
真正	a,r				
好睇	a				
依然	r				
的話	x				
我點	u				
爆	v,a				
至於	x				
上次	n,r				
原本	r				
嘉琪	n				
阿婆	n				
對於	x				
檯	n				
無奈	a				
令到	v				
襪	n				
一間	x,n				
讀書	v				
分手	v				
套	n,x				
錄	v				
剛纔	r				
一係	x				
中的	u				
交	v				
上堂	v				
主動	a				
全身	n,r				
型	a,n				
工	n				
准	v,a				
居然	r				
利利	n				
麵	n				
一件	x,n				
唯一	a				
副	x,n				
唔緊要	a,x				
外面	n,r				
我用	u				
衰	a				
軒轅	n				
他的	u				
我將	u				
無啦啦	r				
睇嚟	r,v				
假	a				
嘻	x				
樽	n				
光	n,a				
解	v				
靜	a				
女神	n				
砰	x				
茵	n				
窿	n				
響度	n				
喲	x				
校服	n				
大個	a,n				
鎖匙	n				
個頭	n,x				
有錢	a				
底褲	n				
貼	v				
依度	x				
無人	n,x				
反正	r				
阿文	n				
溫柔	a				
首先	r				
遇到	v				
耳仔	n				
轉頭	v,r				
條女	n				
無事	a,x				
犀利	a				
仆	v				
哎	x				
大哥	n				
今年	n,r				
拍拖	v				
沖涼	v				
每次	r				
小熙	n				
校長	n				
雙	x,n				
行到	v				
今	n,r				
核突	a				
鐸	n				
一步	n,r				
台	n				
硬	a				
發	v				
除了	x				
左手	n				
紮	v				
起碼	r				
應承	v				
凳	n				
拆	v				
這個	x				
下次	n,r				
如	x				
呢種	x				
嘅事	u				
後生	n,a				
深	a				
一時	r,n				
暖	a				
錶	n				
坐低	v				
應	v,x				
梗	n				
遺書	n				
急	a				
講真	r,v				
到了	v,x				
咗去	u				
細細聲	a,r				
輕輕	a,r				
故	n,x				
父母	n				
讓我	u				
雪琪	n				
一笑	v,n				
粉紅	a,n				
細個	a,n				
雙眼	n				
乜嘢	x,n				
扣	v				
天晴	a				
星華	n				
視線	n				
講得	v				
陣間	r				
癡	a				
一口氣	n,r				
目光	n				
阿哥	n				
好了	a,x				
外	n,x				
大話	n				
有人	n,x				
通常	r				
鏡	n				
右手	n				
同樣	a,r				
時侯	n				
遲	a				
麵包	n				
今朝	n,r				
一年	n,r				
再講	v				
小學	n				
考	v				
乾	a				
背脊	n				
我是	u				
扑	v				
來說	x				
子	n				
阿晴	n				
一張	x,n				
大陸	n				
往	x,v				
我行	u				
梳化	n				
棵	x				
有機	a,n				
宜家	r,n				
答案	n				
咗好	u				
第二個	x,n				
自	x				
震	v				
搬	v				
有沒有	v,x				
大叔	n				
上嚟	v				
靈	a				
點都	r,x				
龜	n				
有種	v,a				
嚟講	x				
有點	r				
池	n				
鼻	n				
溫書	v				
我也	u				
書書	n				
輸	v				
好聽	a				
戲	n				
讚	v				
祕密	n				
易	a				
杞	n				
音	n				
至少	r				
也不	u				
也有	u				
無聊	a				
𥄫	v				
嚇到	v				
服務器	n				
裡面	n,r				
天凡	n				
岩	n				
慘	a				
點呀	x				
星儀	n				
毫無	r,v				
一份	x,n				
媽	n				
都有	u				
揭	v				
無錯	a,x				
伸手	v				
自從	x				
單	a,x				
寶萱	n				
講緊	v				
幾乎	r				
林	n				
紙巾	n				
落嚟	v				
重新	r				
他們	x				
唔多	a,r				
我心	u				
真心	a,n				
馬騮	n				
一臉	n,x				
大大	a,r				
肚	n				
是個	u				
嗰陣	r,n				
小柔	n				
輕	a				
畀人	v,x				
當初	r,n				
上的	u				
要是	x				
先會	u				
總係	r,x				
鬆	a				
各位	x,n				
當日	n,r				
文	n				
辮	n				
哈哈哈	x				
較	r				
博客	n				
泳池	n				
秦	n				
仲未	r,v				
姊妹	n				
詩詩	n				
阿叔	n				
化	v				
善	a				
暫時	r				
炒	v				
嘉浩	n				
幹嘛	x				
嘿	x				
我先	u				
止	v				
社工	n				
可憐	a				
呼	x				
撲	v				
簡直	r				
號	n,x				
聖誕	n				
若果	x				
裡	n,x				
視頻	n				
一位	x,n				
大門	n				
心裏	n				
令人	v				
出手	v				
格	n,x				
甘	r,x				
嗰時	r,n				
斬	v				
那是	u				
影相	v				
抄	v				
版	n				
誤會	n,v				
第一次	n,r				
傑	n				
嬸	n				
整個	a,x				
步	n,v				
清	a				
巨龍	n				
當中	x,n				
靜靜	a,r				
