literal	pos	family	voice	note	verdict_note
就連	r,x			
心中	n			
我識	u				主+動截斷
聖誕老人	n			
親人	n			
透明	a			
遲啲	r			
大部分	n,r			
一入	u				一+動截斷／一…就
扑嘢	v			
打到	v			
擁	v			
泳衣	n			
無用	a			
燕	n			
王源	n			
隱約	a,r			
鳳	n			
重慶	n			
不懂	v			
唧	x			
地個	u				地+個碎片
家長	n			
小弟	n			
會考	n,v			
洗手間	n			
琪	n			
肥仔	n			
你要	u				人稱+要截斷
基	a,n			
小燁	n			
就嚟	r,v			
精	a,n			
魂	n			
鍼	n			
走了	v			
纔是	r,v			
嘟	x			
地會	u				地+會碎片
小明	n			
招呼	n,v			
歐子	n			
縮	v			
羹	n			
背影	n			
人工	a,n			
內疚	a,n			
初戀	n			
好嘢	a,n,x			
幾點	n,x			
時話	u				時+話截斷
珍惜	v			
現場	n			
發夢	v			
經常	r			
莊	n			
電芯	n			
就能	u				就+能截斷
群衆	n			
不知	v			
呢排	n,r			
咔	x			
嗰種	x			
天地	n			
彭	n			
憑	v,x			
搞笑	a,v			
撫摸	v			
淋	v			
這時	n,r			
投資者	n			
倒是	r			
唔切	a,r			
容	n,v			
擰頭	v			
時光	n			
晞	n			
最大	a			
白波	n			
這麼	r			
嘻嘻	x			
好吧	x			
一排	n,x			
一講	u				一+講截斷
二哥	n			
人間	n			
仔女	n			
你問	u				人稱+問截斷
出事	v			
唔捨得	v			
地盤	n			
就問	u				就+問截斷
成身	n,r			
查	n,v			
老嘢	n			
衰仔	n			
講出	v			
雷米	n			
你說	u				人稱+說截斷
有時候	n,r			
吋	x			
月光	n			
校車	n			
然而	r,x			
紅鈴	n			
良生	n			
講咗	v			
過後	n,r			
風車	n			
齊	a,v			
讓他	u				讓+他截斷
也沒	u				也+沒截斷
好看	a			
交代	n,v			
冇所謂	a,x			
圍	n,v			
大隻	a			
就響	u				就+響截斷
快速	a,r			
探	v			
無法	v			
變返	v			
站在	u				站+在截斷
武漢	n			
衆人	n			
並無	v,x			
企咗	v			
傳說	n,v			
出到	v			
加油	v,x			
尋晚	n,r			
抵	a,v			
樣嘢	n			
樹葉	n			
甚麼	x			
直情	r			
笪	x			
走到	v			
雪菲兒	n			
我說	u				主+說截斷
個妹	n			
地行	u				地+行碎片
廳	n			
紫色	a,n			
總有	u				總+有截斷
邪	a,n			
編輯	n,v			
偈	n			
我間	u				我+間截斷
戲院	n			
打個	u				打+個截斷
男性	n			
部落	n			
間房	n			
鳳初	n			
黏	a,v			
鼻涕	n			
給他	u				給+他截斷
忘了	v			
就不	u				就+不截斷
之餘	n,r			
堅	a			
天光	n,r			
心意	n			
我訓	u				主+訓截斷（瞓）
退後	v			
那麼	r			
靚妹	n			
鞋仔	n			
衆多	a			
出了	v			
你就	u				人稱+就截斷
就有	u				就+有截斷
嘢都	u				嘢+都截斷
威廉	n			
戇	a			
摷	v			
正面	a,n			
苦笑	v			
蘭	n			
在家	v			
天津	n			
以嚟	r,x			
余	n			
停低	v			
几	n,x			
哄	v			
噏	v			
埋個	u				埋+個連用
大堂	n			
天真	a			
威	a,n			
對波	v			
巨大	a			
師奶	n			
我部	u				我+部截斷
扮汗	v			
本人	n,x			
粗	a			
街街	n,r			
體力	n			
幹嗎	x			
坐在	u				坐+在截斷
嗲	a			
嘴角	n			
大黃貓	n			
客	n			
張相	n			
後尾	n,r			
復	v			
快感	n			
我仲有	u				主+仲有截斷
曚	a			
欲	n,v			
片片	a,x			
眼中	n			
羞	a,v			
行山	v			
超級	a,r			
順	a,v			
負責人	n			
很有	u				很+有截斷
電信	n			
怨	n,v			
成件	u				成+件量度截斷
日文	n			
有趣	a			
柯南	n			
知㗎	u				知+㗎截斷
腳仔	n			
足足	r			
兩天	n,x			
拿到	v			
一隻	x			
事實上	r			
合照	n,v			
咗一下	u				咗+一下碎片
害	a,n,v			
我連	u				主+連截斷
打招呼	v			
斟	v			
正確	a			
泳茹	n			
賤	a			
邊到	u				邊+到截斷
參數	n			
仲會	u				仲+會截斷
你們	x			
刻意	a,r			
太大	a			
好幾	r,x			
巨	a			
恥笑	v			
打橫	v			
料	n,v			
旁	n,x			
笑聲	n			
經	n,r,v			
貧大宅	n			
阿伯	n			
做愛	v			
峰	n			
幫人	v			
張紙	n			
忍者	n			
植入	v			
痛楚	n			
盡快	r			
糖水	n			
越嚟越	r			
農	n			
公衆	n			
不得	v,x			
可怕	a			
地問	u				地+問碎片
婚	n,v			
慣	a,v			
我道	u				主+道截斷
賴	n,v			
阿土	n			
萬元	n,x			
一到	u				一+到截斷
一層	n,x			
一股	n,x			
世	n			
依舊	r			
兩次	n,x			
單止	r,x			
墳場	n			
帽帽	n			
彼此	x			
湊	v			
炸	v			
燈燈	n			
短短	a,r			
破	a,v			
罰	n,v			
退	v			
透	a,v			
間中	r			
陰道	n			
項	n,x			
飲酒	v			
跟我	u				介+我截斷
三年	n,x			
吳非	n			
唇	n			
姓	n,v			
目	n			
聲響	n			
行街	v			
襯	n,v			
青	a,n			
鴨仔	n			
都能	u				都+能截斷
個月	u				個+月量度碎片
有所	r,v			
事發	v			
全力	n,r			
出世	v			
唸	v			
因此	r,x			
大小姐	n			
惦	v			
我答	u				主+答截斷
所講	n,v			
拜	v			
條路	n			
激	a,v			
知有	u				知+有截斷
空姐	n			
第時	n,r			
繞	v			
耶穌	n			
苦	a,n			
豪叔	n			
這種	x			
霸氣	a,n			
是我	u				是+我截斷
轉載	n,v			
檢測	n,v			
一番	n,x			
公公	n			
嘭	x			
心痛	a,v			
愁	a,v			
我仲未	u				主+仲未截斷
撈	v			
族	n			
旺角	n			
晏晝	n,r			
淫賤	a			
準時	a,r			
無諗過	v			
用手	u				用+手截斷／工具短語
視	n,v			
講乜	u				講+乜截斷
雞仔	n			
魚魚	n			
中出	v			
到死	r,v			
只能	v,x			
員	n			
問道	v			
單身	a,n			
就會	u				就+會截斷
心機	n			
我輕輕	u				主+輕輕截斷
杰	n			
次見	u				次+見截斷
殺氣	n			
毫子	n			
燈光	n			
男女	n			
能量	n			
薄	a			
對我	u				對+我截斷
不對	a,v			
爲啥	x			
模塊	n			
噶	x			
不是	v,x			
伯	n			
六姨	n			
古怪	a			
四周	n,r			
我返	u				主+返截斷
柔軟	a			
正如	r,x			
畀個	u				畀+個截斷
癲	a			
細細個	a,n			
趴	v			
鍊	n,v			
阿輝	n			
麻	a,n			
做的	u				做+的截斷
對不起	v,x			
大衆	n			
侏	u				殘字／不明
兩邊	n,r			
尿片	n			
景點	n			
死了	v			
瑞	n			
眼望	u				眼+望截斷
私人	a,n			
舉	n,v			
行行	v			
講埋	v			
連我	u				連+我截斷
幫你	u				幫+你截斷
早點	r			
完了	v			
都沒	u				都+沒截斷
跟你	u				跟+你截斷
一名	x			
上天	n,v			
上年	n,r			
並且	x			
利是	n			
咗張	u				咗+張碎片
幼	a			
暈	a,v			
稍	r			
胸圍	n			
見識	n,v			
金毛	n			
電單車	n			
界面	n			
個腦	n			
先得	r,v			
咗條	u				咗+條碎片
地三個	u				地+三個碎片
地步	n			
夢境	n			
契媽	n			
廣東話	n			
思聽	n			
投訴	n,v			
掌	n,v			
會令	u				會+令截斷
畫到	v			
白石	n			
神情	n			
語	n			
貼紙	n			
重有	r,v			
鼻哥	n			
創建	n,v			
怎麼辦	x			
檯面	n			
你在	u				人稱+在截斷
