literal	pos	family	voice	note	verdict_note
澤	n				
第二次	n,r				
義	n				
食得	v				
鬍	n				
最好的	a				
還不	u				副+否截斷
以外	x				
你當	u				人稱+動截斷
偏	a,r				
做緊	v				
全班	n				
兩人	n,x				
厲害	a				
只得	r,v				
星球	n				
當堂	r				
看着	v				
腳腳	n				
說服	v				
車頭	n				
道門	n				
鐵閘	n				
靈兒	n				
喫了	v				
全市	n				
什麼樣	a,x				
一滴	n,x				
不時	r				
五個	x				
依句	u				罕／截斷不明
個名	n				
到會	v				
前後	n,r				
半空	n				
呢邊	x				
器	n				
嚇親	v				
在場	a,v				
小說	n				
思語	n				
性奴	n				
挑	v				
搵錢	v				
有陣	r				
條褲	n				
異	a				
第二朝	n,r				
英國	n				
訓醒	v				
雪條	n				
我都	u				人稱+副截斷
要麼	x				
和你	u				介+人稱截斷
你也	u				人稱+副截斷
寫的	u				動+的截斷
咱	x				
下集	n				
后	n,x				
吳	n				
地標	n				
失落	a,v				
好易	a				
好比	r,v				
我企	u				人稱+動截斷
會點	u				能願+疑問截斷
淨	a,r				
清晰	a				
湧	v				
獸	n				
當你	u				動+人稱截斷
白眼	n,v				
突	a,v				
罵	v				
良	a				
行入	v				
詳細	a				
誠	a,n				
豬豬	n				
貞	a,n				
遠處	n				
高人	n				
高大	a				
黑衣人	n				
沒關係	a,x				
本站	n				
卻是	r,x				
但我	u				連+人稱截斷
傳黎	v				
其餘	x				
叔	n				
品	n,v				
大件事	n				
好悶	a				
就當	v				
山窿	n				
收拾	v				
晏	a				
濫	a				
緊緊	a,r				
船船	n				
虛線	n				
賭	v				
鑊	n				
頓時	r				
食到	v				
首歌	n,x				
黐線	a,v				
點講	v,x				
早就	r				
兩個人	n				
似的	x				
三日	n,x				
個鐘	n				
出自	v				
嗰日	n,x				
小巴	n				
急急腳	r				
我邊	u				人稱+疑問截斷
無幾耐	r				
真㗎	a,x				
眼角	n				
穎	n				
義工	n				
茹	n				
訓覺	v				
說罷	v				
預	v				
淘寶	n,v				
利於	v,x				
日誌	n				
人爲	a,n				
世伯	n				
人話	n				
伊曼	n				
侯	n				
倆	x				
冷笑	n,v				
半個	x				
同小貞	u				介+專名截斷
多事	a,v				
女友	n				
她們	x				
希仔	n				
我身	u				人稱+名截斷
揪	v				
收皮	v				
曾	n,r				
有條	u				存現+量截斷
校園	n				
煮飯	v				
玩家	n				
神仙	n				
翹	v				
脾	n				
迷	a,n,v				
避	v				
重覆	v				
阿金	n				
頹	a				
他是	u				人稱+係截斷
了嗎	x				
也能	u				副+能願截斷
這款	x				
西安	n				
不及	r,v				
主	n,v				
事後	n,r				
人知	u				名+動截斷
即將	r				
合格	a,v				
嗰邊	x				
塊面	n				
大半	n,r				
娟	n				
往往	r				
成間	x				
晨哥	n				
杏堂	n				
條仔	n				
硬係	r				
裏邊	n,x				
願	n,v				
類	n				
食煙	v				
說的	u				動+的截斷
一架	x				
人同	u				名+介／連截斷
再用	r,v				
半個鐘	n				
右行	n,v				
咗一聲	u				完成+動量截斷
咗線	u				完成+名截斷／不明
嘉穎	n				
尚健	n				
悠悠	a,r				
情景	n				
我食	u				人稱+動截斷
搖頭	v				
有排	r				
每一次	r,x				
法律	n				
浪漫	a				
狀	n				
群	n,x				
膠袋	n				
街市	n				
講呀	v,x				
豪	a,n				
身高	n				
閒	a				
陽具	n				
頂唔順	v				
主板	n				
多少錢	n,x				
看你	u				動+人稱截斷
又有	u				副+動截斷
纔會	r,v				
顯卡	n				
片子	n				
更爲	r				
一舊	x				
側邊	n,x				
六點	n,x				
別人	n,x				
咸	a				
妥	a				
小木魚	n				
嶺	n				
幾大	a,r				
攤	n,v				
正想	v				
甜蜜	a				
糖糖	n				
貪	v				
這些	x				
溫	a,n,v				
簡歷	n				
本網	n				
這麼多	a,r,x				
爲人	n,v				
比我	u				介+人稱截斷
審核	n,v				
一粒	x				
一腳	n,x				
也在	u				副+介截斷
別	a,r,v,x				
士多啤梨	n				
好熱	a				
守衛	n,v				
完飯	v				
市	n				
幾句	n,x				
心底	n				
感應	n,v				
慘叫	n,v				
