literal	pos	family	voice	note	verdict_note
在這	u			fragment 在+這	
他人	n,x			代／名「別人」	
板塊	n				
對你	u			fragment 介+代	
買的	u			fragment 動+的	
總經理	n				
的是	u			fragment 的+是	
很容易	a,r				
塊錢	n,x			量·錢	
認證	n,v				
一個鐘	n,x			一時段	
一摸	u			動量短語／截斷邊介	
七點	n,x			時刻	
五點	n,x			時刻	
仍	r				
你條	u			fragment 代+量	
兩樣	a,n			兩種／不一樣	
又講	u			fragment 又+講	
喘	v				
嘉嘉	n			專名／暱稱	
多位	n,x			敬稱量	
夜貓	n				
就講	u			fragment 就+講	
巨型	a				
幾步	n,x				
心目	n			心目中	
恭喜	v				
息	n,v			息／利息／停息	
成病	a,v			病態／病到	
斯文	a				
日本妹	n				
梁曉晴	n			專名	
氣勢	n				
淡淡	a,r				
相對	a,r,v				
紅都面	a,v			面紅	
莫非	r,x				
講唔	u			fragment 講唔…	
財政	n				
身處	n,v				
轉個	u			fragment 轉+個	
是嗎	x				
早已	r				
河南	n			地名	
的心	u			fragment 的+心	
把它	u			fragment 把+它	
又要	r,v			又要／也得	
哪有	r,x			反詰	
之所以	x				
傳心	u			罕／不明	
全日	n,r				
出便	n			粵「外面」	
卒	a,n,v			兵／終／死	
呢條	u			fragment 呢+條	
咒	n,v				
咗陣	u			fragment 咗+陣	
咗響	u			fragment 咗+響	
四點	n,x			時刻	
國際	a,n				
大事	n				
大學生	n				
奶茶	n				
室內	n				
差佬	n			粵警察	
巴膠	n			膠布	
文傑	n			專名	
晚晚	n,r			每晚	
會講	u			fragment 會+講	
櫃桶	n			抽屜	
每晚	n,r				
深處	n				
無講	u			fragment 無+講	
臭狐	n			狐臭／暱稱	
諸葛象	n			專名	
講聲	v				
起嚟	v,x			起來／趨向	
輕易	a,r				
逐漸	r				
道別	v				
順勢	r,v				
是要	u			fragment 是+要	
研究生	n				
祕書	n				
你不	u			fragment 你+不	
新浪	n			專名	
來的	u			fragment 來+的	
重啓	v				
低於	v				
是由	u			fragment 是+由	
遠程	a,n				
好嗎	x				
考核	n,v				
長沙	n			地名	
在我	u			fragment 在+我	
老蔫	a,n				
一樓	n				
一聽	r,v			一聽就…	
上到	v				
下回	n,r				
不出	v				
不見	v				
事物	n				
余二十	u			文言殘片／罕	
依位	x			粵指示位	
加埋	v				
問你	u			fragment 問+你	
啡	a,n			啡色／咖啡	
威力	n				
幾有	u			fragment 幾+有	
得滯	a,r			粵「太過」	
憂店	u			罕／不明	
手指尾	n				
打落	v				
摑	v				
收線	v				
會有	u			fragment 會+有	
會變	u			fragment 會+變	
柒頭	a,n			粵罵人	
烏龜	n				
猛	a,r,v				
落堂	v			上課	
西貢	n			地名	
詠雯	n			專名	
講晒	v				
豆豆	n			暱稱／豆	
跑車	n				
迴	v				
過你	u			fragment 過+你	
驚到	a,v				
是你	u			fragment 是+你	
新疆	n			地名	
這部	u			fragment 這+部	
給她	u			fragment 給+她	
纔有	u			fragment 纔+有	
國務院	n				
你看	u			fragment 你+看	
客戶端	n				
都很	u			fragment 都+很	
一行	n,x			一行人／一行字	
吊	n,v				
小貞好	u			專名殘／截斷	
巨熊	n				
張家琪	n			專名	
會同	v				
樣衰	a			粵難看	
步伐	n				
泡泡	n				
溫度	n				
理想	a,n				
膠紙	n				
行近	v				
豬肉	n				
車仔	n				
阿嵐	n			專名	
餅餅	n			暱稱	
麗	a,n			美／名用字	
把你	u			fragment 把+你	
球迷	n				
更好地	r				
最重要的	a				
這也是	u			fragment	
支付寶	n				
漲停	n,v				
很大的	a				
好喫	a			好吃	
之處	n,x				
偷食	v				
全校	n				
兩點	n,x			時刻／兩點	
公共	a				
咗成	u			fragment 咗+成	
太遲	a				
好長	a				
嬴	v			贏異體	
專登	r			粵故意	
幾秒	n,x				
恤衫	n				
我仲好	u			fragment	
我攬	u			fragment 主+動	
捨得	v				
新人	n				
服	n,v				
望到	v				
李天	n			專名	
直行	v				
篇	n,x			量詞／篇章	
菊花	n				
螢幕	n				
袋袋	n				
裂	a,v				
親密	a				
調	n,v				
講都	u			fragment 講+都	
郵局	n				
雞雞	n				
髀	n			腿	
點幾	r,x			幾點左右	
接下來	r,v				
的一種	u			fragment	
民衆	n				
註明	v				
等你	v			等你／等下你	
這點	n,x				
拿着	v				
最爲	r				
啥子	x				
的基礎上	x			…的基礎上	
已有	a,v				
我也是	u			fragment	
全世界	n				
另一	a,x				
不讓	v				
一出	r,v				
一提	v				
上方	n				
乞	v				
人㗎	x			人+語氣	
免費	a,v				
兩句	n,x				
同伴	n				
同雪琪	u			fragment 同+專名	
吸塵機	n				
安全感	n				
實際	a,n				
小貓	n				
山路	n				
巨乳	n				
思個	u			fragment	
我件	u			fragment 我+件	
我嚇	u			fragment 主+動	
捨	v				
擺明	a,r,v			明顯	
政仔	n			專名	
晶	a,n				
有樣	u			有樣學樣截／邊介	
望着	v				
灘	n				
琴琴	n			暱稱	
用口	u			fragment 用+口	
畀小貞	u			fragment 畀+專名	
翠詩	n			專名	
聲線	n				
貨	n				
那些	x				
醒目	a				
關你事	v,x			關你咩事	
難怪	r,x				
高高	a,r				
魔風	u			罕／邊介	
點呢	x				
的錢	u			fragment 的+錢	
這句話	n				
說不定	r,v				
所說	n,v				
你能	u			fragment 你+能	
寧波	n			地名	
發動機	n				
