rank	head	essay_frequency	direct_syn_tails
1501	單核細胞	559	0
1502	單純皰疹	559	0
1503	寧靜致遠	559	0
1504	新華日報	559	0
1505	機會主義	559	1
1506	武警戰士	559	0
1507	殺人放火	559	0
1508	百年好合	559	0
1509	聚酰亞胺	559	0
1510	肌肉注射	559	0
1511	自助餐廳	559	0
1512	良辰美景	559	1
1513	行政單位	559	0
1514	運動神經	559	1
1515	顧全大局	559	0
1516	齊人之福	559	0
1517	出土文物	558	1
1518	刀槍不入	558	0
1519	分工合作	558	0
1520	千錘百鍊	558	0
1521	商品生產	558	0
1522	多米尼克	558	0
1523	嫦娥奔月	558	0
1524	拜師學藝	558	0
1525	掛在嘴上	558	0
1526	改朝換代	558	1
1527	數字通信	558	0
1528	民族工業	558	0
1529	照明設備	558	0
1530	立足之地	558	1
1531	站不住腳	558	0
1532	貪小便宜	558	0
1533	逼上梁山	558	1
1534	長途旅行	558	0
1535	開發週期	558	0
1536	麻醉藥品	558	0
1537	人情冷暖	557	0
1538	口無遮攔	557	0
1539	名譽會長	557	0
1540	搶先一步	557	0
1541	放手一搏	557	0
1542	文殊菩薩	557	0
1543	明日之星	557	0
1544	異國情調	557	0
1545	異常現象	557	0
1546	穩扎穩打	557	0
1547	親自出馬	557	0
1548	身懷絕技	557	0
1549	遠大理想	557	0
1550	雲岡石窟	557	0
1551	三房一廳	556	0
1552	上合組織	556	0
1553	分組討論	556	0
1554	參考手冊	556	0
1555	叫醒服務	556	0
1556	大不如前	556	0
1557	婦科醫生	556	0
1558	懸而未決	556	0
1559	捨我其誰	556	0
1560	據理力爭	556	0
1561	收盤價格	556	0
1562	於心不忍	556	0
1563	曲徑通幽	556	0
1564	核心人物	556	0
1565	核糖核酸	556	0
1566	水木清華	556	0
1567	水火不容	556	0
1568	生死關頭	556	0
1569	羣雄逐鹿	556	1
1570	許可協議	556	0
1571	酒精中毒	556	0
1572	重色輕友	556	0
1573	靜觀其變	556	0
1574	驚歎不已	556	0
1575	不惑之年	555	1
1576	交換技術	555	0
1577	假戲真做	555	0
1578	全然不知	555	0
1579	公費醫療	555	0
1580	十之八九	555	1
1581	專業精神	555	0
1582	年輕貌美	555	0
1583	恍如隔世	555	0
1584	扭轉乾坤	555	0
1585	招人喜歡	555	0
1586	欲蓋彌彰	555	0
1587	深情款款	555	0
1588	演出地點	555	0
1589	白雪皚皚	555	0
1590	矇混過關	555	0
1591	結伴同行	555	0
1592	纖維工業	555	0
1593	酒足飯飽	555	0
1594	三十而立	554	0
1595	不堪忍受	554	0
1596	乍暖還寒	554	0
1597	休閒活動	554	0
1598	兩肋插刀	554	0
1599	名符其實	554	1
1600	太平盛世	554	0
1601	失血過多	554	0
1602	少兒不宜	554	0
1603	平板玻璃	554	0
1604	引咎辭職	554	0
1605	拔河比賽	554	0
1606	收放自如	554	0
1607	有婦之夫	554	0
1608	機關算盡	554	0
1609	爵士音樂	554	0
1610	社會形態	554	0
1611	社會意識	554	0
1612	第二課堂	554	0
1613	老夫老妻	554	0
1614	自來水管	554	0
1615	自由戀愛	554	0
1616	良種繁育	554	0
1617	苦中作樂	554	0
1618	見好就收	554	0
1619	見過世面	554	0
1620	課外讀物	554	0
1621	農曆新年	554	0
1622	醉翁之意	554	0
1623	駕駛執照	554	0
1624	一笑了之	553	0
1625	不可挽回	553	0
