head	tail
屍體解剖	驗屍
揚名立萬	名揚四海
替身演員	替身
淚水漣漣	淚流滿面
滿天繁星	繁星點點
濫殺無辜	濫殺
顛倒過來	反過來
一如往昔	一如既往
人心難測	人心叵測
健美運動	健美
出乎預料	出人意料
大傷腦筋	絞盡腦汁
婷婷玉立	亭亭玉立
民間習俗	民俗
深情厚誼	深情厚意
無可奉告	不予置評
肉食動物	食肉獸
進行編程	編程
重新開機	重新啟動
一語不發	一言不發
人面獸心	衣冠禽獸
偶像崇拜	崇拜偶像
兩把刷子	有兩下子
勤奮刻苦	刻苦耐勞
化學肥料	化肥
名門世家	名門望族
基因改造	基因工程
慘遭殺害	遇害
民意測驗	民調
潔身自愛	潔身自好
羞愧難當	無地自容
肺結核病	肺結核
蓋棺定論	蓋棺論定
課外作業	功課
遮風避雨	遮風擋雨
冒冒失失	冒失
反面人物	反派
字字珠璣	字字珠玉
小寫字母	小寫
後繼無人	後繼乏人
捏一把汗	捏一把冷汗
烽煙四起	烽火連天
無可限量	前途無量
生殺大權	生殺予奪
驕傲自大	驕傲自滿
一己之私	私心
一驚一乍	大驚小怪
嘻皮笑臉	嬉皮笑臉
家庭地址	住址
心醉神迷	如痴如醉
懊悔不已	後悔莫及
打成平手	不分勝負
煞有其事	煞有介事
萬分感激	感激不盡
貫徹始終	始終如一
跪地求饒	求饒
難逃一死	在劫難逃
頭暈腦脹	頭昏腦脹
倒打一耙	反咬一口
傻瓜相機	傻瓜機
尋死覓活	尋死
從中作梗	作梗
活力充沛	朝氣蓬勃
片言隻語	隻言片語
一切就緒	準備就緒
不法份子	不法分子
大展鴻圖	大展宏圖
忍飢挨餓	飢寒交迫
振振有辭	振振有詞
殺人案件	謀殺案
牙科醫生	牙醫
碩大無比	碩大無朋
緊密相聯	息息相關
和平談判	和談
多重人格	人格分裂
心腹大患	心腹之患
提綱挈領	綱舉目張
死到臨頭	大難臨頭
疾馳而過	呼嘯而過
稱霸世界	稱霸全球
突圍而出	突圍
萬丈光芒	光芒萬丈
開山鼻祖	開山祖師
人神共憤	天怒人怨
傷及無辜	殃及無辜
名門閨秀	大家閨秀
庭外和解	和解
熟門熟路	輕車熟路
狗血噴頭	狗血淋頭
破敗不堪	破舊不堪
全球暖化	氣候暖化
故作深沉	故作高深
故技重施	故態復萌
親自掛帥	親自出馬
踽踽獨行	獨來獨往
不可言喻	難以言喻
嚴懲不貸	嚴懲
永續發展	可持續發展
烤麪包機	多士爐
知錯能改	知錯必改
聲名大噪	名噪一時
誇下海口	口出狂言
重修舊好	言歸於好
音訊全無	杳無音訊
頗感興趣	興趣盎然
一夕之間	一夜之間
一心二用	心猿意馬
共聚一堂	濟濟一堂
函授教育	函授
奮勇向前	勇往直前
方寸大亂	方寸已亂
果實累累	碩果累累
轉向信號	轉向燈
遠隔千里	千里迢迢
威武雄壯	威風凜凜
惹人討厭	討人嫌
扶危濟困	濟困扶危
擠來擠去	推推搡搡
有勇有謀	智勇雙全
歷史久遠	源遠流長
瀏覽軟件	瀏覽器
生日賀卡	生日卡
能源短缺	能源危機
轉眼即逝	轉瞬即逝
逆向行駛	逆行
刑事警察	刑警
即興發揮	即興表演
落入法網	落網
趁人之危	乘人之危
開幕典禮	開幕式
雷雨交加	風雨交加
黎明時分	拂曉
兩廂情願	兩相情願
口舌之爭	口角
因公殉職	以身殉職
奇談怪論	無稽之談
家道中落	敗落
肥頭大耳	大腹便便
一派胡言	胡言亂語
不疾不徐	不慌不忙
切中要害	一針見血
呼吸器官	呼吸系統
大顯神威	大顯身手
工業國家	工業國
收歸國有	國有化
時日無多	來日無多
水上摩托	水上電單車
溝溝坎坎	坎坷
瞬息之間	彈指之間
言出必行	言而有信
離開故鄉	背井離鄉
三心兩意	三心二意
前俯後仰	前仰後合
文筆流暢	行文流暢
暮鼓晨鐘	晨鐘暮鼓
泄露天機	洩露天機
睾丸激素	雄性激素
立杆見影	立竿見影
雙宿雙飛	出雙入對
全盤接受	照單全收
困惑不解	大惑不解
國際法庭	國際法院
將功補過	將功贖罪
文學巨匠	文豪
激進分子	激進派
知書達禮	知書識禮
稍安勿躁	稍安毋躁
閉上嘴巴	閉口不言
降低利率	減息
一己之見	一孔之見
不成氣候	不成器
乏人問津	無人問津
事隔多年	事過境遷
強加於人	強人所難
瀟灑自如	瀟灑
超前消費	寅吃卯糧
眉宇之間	眉宇間
獨身主義	獨身
取其精華	去蕪存菁
望女成鳳	望子成龍
予取予求	予取予攜
