head	tail
自毀長城	自掘墳墓
色情行業	性產業
行動自如	來去自如
連體嬰兒	連體嬰
避實就虛	避重就輕
傻頭傻腦	傻裏傻氣
凸版印刷	凸版
初級小學	小學
放手去做	放手一搏
獨資經營	獨資
臨界狀態	臨界
造船工業	造船業
風光明媚	山明水秀
餘情未了	意猶未盡
一來一往	有來有往
不勝唏噓	感慨萬千
彎腰駝背	駝背
無冤無仇	無仇無怨
生理時鐘	生物鐘
窮奢極欲	窮奢極侈
臭不可聞	臭氣熏天
追本溯源	追根溯源
布爾喬亞	資產階級
死而復活	死而復生
無補於事	無濟於事
病毒營銷	病毒式營銷
靜脈點滴	點滴
三度空間	三維
傳家之寶	傳家寶
未刪節版	全本
泛泛之交	點頭之交
儀態萬千	儀態萬方
大傷元氣	元氣大傷
悶聲不響	默不作聲
排起長隊	大排長龍
瀕臨絕種	瀕危
無處容身	無處可逃
盡釋前嫌	冰釋前嫌
老而彌堅	老當益壯
腦滿腸肥	大腹便便
販賣人口	人口販賣
值得品味	耐人尋味
無心之過	無心之失
花心蘿蔔	花心
虛席以待	虛位以待
長此下去	長此以往
使用數量	用量
來去無蹤	無影無蹤
國定假日	公眾假期
幾可亂真	以假亂真
心神恍惚	神思恍惚
正三角形	等邊三角形
蛇鼠一窩	一丘之貉
進退失據	進退維谷
雄心萬丈	雄心壯志
一片丹心	赤膽忠心
中古世紀	中世紀
有心人士	有心人
江湖術士	江湖騙子
消聲匿跡	銷聲匿跡
難分高下	不相上下
難逃法網	法網難逃
入境手續	入境簽證
惡名昭彰	聲名狼藉
挑肥揀瘦	挑三揀四
芝麻小事	雞毛蒜皮
蜚聲國際	蜚聲海外
雨過天青	雨過天晴
口齒清楚	口齒伶俐
官僚政治	官僚主義
獨樹一格	獨樹一幟
百米賽跑	百米
不吭一聲	一言不發
佳偶天成	天作之合
停車位置	停車位
加速踏板	油門
合成代謝	同化作用
感激萬分	感激不盡
磕磕巴巴	結結巴巴
神經失常	精神失常
能言善道	能言善辯
自嘆弗如	自愧不如
蒸騰作用	蒸騰
藐視一切	目空一切
螳臂擋車	螳臂當車
親臨其境	身臨其境
鬥智鬥力	鬥智鬥勇
各不相讓	互不相讓
展露頭角	嶄露頭角
工科大學	理工大學
正合我意	正中下懷
自視清高	自命清高
反射作用	反射
官復原職	復職
平方公尺	平方米
放射防護	輻射防護
歲月如流	光陰似箭
歸納推理	歸納法
別有韻味	別有風味
外交代表	外交使節
寓意深遠	意味深長
性命不保	命懸一線
有鑑於此	有鑒於此
未置可否	不置可否
氣勢不凡	氣勢磅礴
火災保險	火險
酌情處理	酌情辦理
地緣戰略	地緣政治
女流之輩	婦道人家
排除異己	排斥異己
歷久常新	歷久彌新
歷盡艱難	歷盡艱辛
氣喘如牛	氣喘吁吁
芙蓉出水	出水芙蓉
貽害無窮	遺害無窮
震顫麻痹	帕金森病
倒買倒賣	投機倒把
吸毒成癮	毒癮
和平條約	和約
慣性作用	慣性
拉皮手術	拉皮
爆玉米花	爆米花
片面之詞	一面之詞
致富之道	生財之道
遠近馳名	聞名遐邇
七彩繽紛	五彩繽紛
付諸流水	付諸東流
夕陽產業	夕陽工業
多姿多采	多姿多彩
天搖地動	天崩地裂
妊娠試驗	驗孕
怒目相向	怒目而視
欺善怕惡	欺軟怕硬
盤尼西林	青黴素
結紮手術	結紮
一舉兩得	一箭雙鵰
上上之策	上策
史前時代	史前
如此類推	以此類推
少之又少	寥寥無幾
從寬處理	從輕發落
心知肚明	心裏有數
揮霍浪費	揮金如土
緩衝地帶	緩衝區
莞爾一笑	嫣然一笑
視如己出	視同己出
言下之意	言外之意
農事活動	農事
逼於無奈	迫於無奈
關你鬼事	關你屁事
文武兼備	文武雙全
聚變反應	核聚變
進行性交	性交
邪魔外道	旁門左道
醫療經驗	臨牀經驗
千斤重擔	重任
越幫越忙	幫倒忙
金融槓桿	槓桿
上揚趨勢	升勢
刑事法庭	刑庭
中控面板	控制板
中古時代	中世紀
初露頭角	嶄露頭角
