head	tail
學生運動	學運
程序控制	程控
雙管齊下	左右開弓
國外市場	國際市場
神清氣爽	精神爽利
道德品質	品德
無可避免	不可避免
簡單明瞭	淺顯易懂
絮絮叨叨	嘮嘮叨叨
軍事委員	軍委
呼呼大睡	酣睡
眼皮底下	眼底下
言行舉止	言談舉止
節約用水	節水
真心真意	真心實意
通貨緊縮	通縮
帕金森病	柏金遜症
無路可走	走投無路
多管閒事	好管閒事
自下而上	由下而上
不理不睬	置之不理
前後左右	四周
另闢蹊徑	獨闢蹊徑
瘋瘋癲癲	瘋癲
國內貿易	內貿
思維敏捷	思路敏捷
費盡心思	費盡心機
投案自首	自首
數據接口	數據介面
有聲讀物	有聲書
一線希望	一線生機
女權主義	女性主義
止跌回升	止跌回穩
空空蕩蕩	空蕩蕩
一時半會	一時半刻
四處張望	東張西望
活期存款	活期儲蓄
五筆字型	五筆字形
單打獨鬥	單槍匹馬
愛理不理	愛答不理
電影明星	影星
氣象預報	天氣預報
精雕細琢	精雕細刻
人工授精	人工受精
化學纖維	化纖
水路運輸	水運
辨證論治	辨證施治
枯燥無味	枯燥乏味
齊頭並進	並駕齊驅
傳動裝置	傳動機構
公共廁所	公廁
收支平衡	收支相抵
最後通牒	哀的美敦書
窮追不捨	窮追猛打
習慣用語	慣用語
閒言碎語	閒言閒語
公務人員	公務員
將信將疑	半信半疑
穿着打扮	衣著打扮
精神飽滿	精神奕奕
大量生產	量產
得力助手	左右手
難以相信	難以置信
不藥而癒	不治而癒
心裏有數	心中有數
精神失常	精神錯亂
面帶笑容	面帶微笑
一夫一妻	一夫一妻制
三國鼎立	三足鼎立
轉眼之間	轉瞬間
體格檢查	體檢
便利商店	便利店
臨牀實驗	臨牀試驗
雞飛狗跳	雞飛狗走
公立學校	官立學校
高等法院	高院
十六進制	十六進位
非比尋常	不同尋常
切實有效	行之有效
付諸行動	付諸實施
良苦用心	用心良苦
全體師生	全校師生
隨叫隨到	隨傳隨到
人文科學	人文學科
風流倜儻	風流瀟灑
一錯再錯	一誤再誤
美夢成真	夢想成真
渾水摸魚	混水摸魚
白頭到老	白頭偕老
活力四射	生氣勃勃
各懷鬼胎	心懷鬼胎
高人一等	勝人一籌
故地重遊	舊地重遊
大徹大悟	恍然大悟
一面之緣	一面之交
神出鬼沒	出沒無常
轟動一時	風靡一時
威逼利誘	軟硬兼施
氣定神閒	泰然自若
財源滾滾	財源廣進
一箭雙鵰	一石二鳥
逃出生天	死裏逃生
來歷不明	來路不明
時光飛逝	光陰似箭
大富大貴	榮華富貴
昂首挺胸	昂首闊步
國防工業	軍工
國家元首	元首
世界市場	國際市場
不可戰勝	戰無不勝
陰晴不定	喜怒無常
獨來獨往	獨往獨來
領銜主演	主演
五穀雜糧	雜糧
