rank	head	essay_frequency	direct_syn_tails
2001	價值規律	536	0
2002	利益輸送	536	0
2003	多模光纖	536	0
2004	委以重任	536	0
2005	富可敵國	536	0
2006	導彈系統	536	0
2007	年終獎金	536	0
2008	心理現象	536	0
2009	殫精竭慮	536	0
2010	比較而言	536	0
2011	泡沫經濟	536	0
2012	浩然正氣	536	0
2013	深有同感	536	0
2014	相視而笑	536	0
2015	精耕細作	536	1
2016	細胞組織	536	0
2017	結構理論	536	0
2018	聚酯樹脂	536	0
2019	自我檢討	536	0
2020	色情電影	536	0
2021	豪情萬丈	536	0
2022	走親訪友	536	0
2023	閉門造車	536	0
2024	附庸風雅	536	0
2025	青春永駐	536	0
2026	一較高下	535	0
2027	不告而別	535	0
2028	不明就裏	535	0
2029	五雷轟頂	535	0
2030	勝券在握	535	0
2031	勞動保險	535	0
2032	勞資糾紛	535	0
2033	千刀萬剮	535	0
2034	古文觀止	535	0
2035	單模光纖	535	0
2036	抽絲剝繭	535	0
2037	探明儲量	535	0
2038	是非之地	535	0
2039	海外僑胞	535	0
2040	無冕之王	535	0
2041	管道運輸	535	0
2042	聽力理解	535	0
2043	薩爾茨堡	535	0
2044	誓不罷休	535	0
2045	資不抵債	535	0
2046	避重就輕	535	0
2047	錦繡前程	535	0
2048	上天入地	534	0
2049	以毒攻毒	534	0
2050	伸張正義	534	0
2051	低頭不語	534	0
2052	光學玻璃	534	0
2053	內酰胺酶	534	0
2054	商業應用	534	0
2055	太陽電池	534	1
2056	孔雀開屏	534	0
2057	完全兼容	534	0
2058	寸土寸金	534	1
2059	微觀世界	534	1
2060	心如刀絞	534	0
2061	打小報告	534	0
2062	有所不知	534	0
2063	次生災害	534	0
2064	犯罪集團	534	0
2065	獨立宣言	534	0
2066	直角三角	534	0
2067	神經過敏	534	0
2068	通風報信	534	1
2069	量體裁衣	534	0
2070	頭重腳輕	534	0
2071	首開紀錄	534	0
2072	三姑六婆	533	1
2073	不懂裝懂	533	0
2074	人壽保險	533	0
2075	全盛時期	533	0
2076	八月十五	533	0
2077	北洋水師	533	0
2078	同歸於盡	533	0
2079	唔使客氣	533	0
2080	嘈喧巴閉	533	0
2081	垂直搜索	533	0
2082	大腹便便	533	1
2083	大開眼界	533	0
2084	天外來客	533	0
2085	孤男寡女	533	0
2086	害人不淺	533	0
2087	專有名詞	533	0
2088	平方英尺	533	1
2089	得而復失	533	0
2090	悠哉悠哉	533	0
2091	捷報頻傳	533	0
2092	機不可失	533	0
2093	求神拜佛	533	0
2094	泰晤士河	533	0
2095	浪得虛名	533	0
2096	牛高馬大	533	0
2097	甩皮甩骨	533	0
2098	登山運動	533	0
2099	相對密度	533	0
2100	相形見絀	533	1
2101	省直管縣	533	0
2102	紅衣主教	533	0
2103	絕代佳人	533	0
2104	美中不足	533	0
2105	自立自強	533	0
2106	重見光明	533	0
2107	鐵達尼號	533	0
2108	長途電話	533	0
2109	阻頭阻勢	533	0
2110	雲霄飛車	533	0
2111	一石二鳥	532	0
2112	一紙空文	532	1
2113	一般原則	532	0
2114	不眠不休	532	0
2115	反作用力	532	1
2116	各領風騷	532	0
2117	圖書館員	532	0
2118	大舉進攻	532	0
2119	安享晚年	532	1
2120	屢敗屢戰	532	0
2121	心胸開闊	532	0
2122	性格不合	532	0
2123	應召女郎	532	0
2124	拔刀相助	532	0
2125	有夫之婦	532	0
2126	有權有勢	532	0
2127	河北日報	532	0
2128	無惡不作	532	1
2129	無線電波	532	0
2130	物質獎勵	532	0
2131	環氧乙烷	532	0
2132	病從口入	532	0
2133	盲目崇拜	532	0
2134	硝酸甘油	532	1
2135	遠洋運輸	532	0
2136	一以貫之	531	0
2137	一次方程	531	0
2138	一葉知秋	531	0
2139	人定勝天	531	0
2140	傳動機構	531	0
2141	光陰似箭	531	1
2142	免疫應答	531	0
2143	及時行樂	531	0
2144	吞雲吐霧	531	0
2145	嚴於律己	531	0
2146	太僕寺旗	531	0
2147	寬衣解帶	531	0
2148	封建思想	531	0
2149	就地取材	531	1
2150	抽象思維	531	0
2151	望其項背	531	0
2152	滿城風雨	531	0
2153	燙手山芋	531	0
2154	爭權奪利	531	1
2155	獨家新聞	531	0
2156	玉石俱焚	531	0
2157	百年樹人	531	0
2158	科學幻想	531	0
2159	辦公時間	531	0
2160	長足進步	531	0
2161	防禦工事	531	0
2162	雌性激素	531	0
2163	電視公司	531	0
2164	高等代數	531	0
2165	一飽眼福	530	0
2166	三輪車夫	530	0
2167	勿忘國恥	530	0
2168	同名同姓	530	0
2169	基尼係數	530	0
2170	天外有天	530	0
2171	如意郎君	530	0
2172	投石問路	530	0
2173	正反兩面	530	0
2174	正態分佈	530	0
2175	步調一致	530	0
2176	歷盡艱辛	530	0
2177	清心寡慾	530	0
2178	班門弄斧	530	0
2179	真刀真槍	530	0
2180	精神健康	530	0
2181	精神錯亂	530	0
2182	紅顏薄命	530	0
2183	聚酯纖維	530	0
2184	行俠仗義	530	0
2185	趨利避害	530	0
2186	速溶咖啡	530	0
2187	高音喇叭	530	0
2188	一眼望去	529	0
2189	五味雜陳	529	0
2190	人小鬼大	529	0
2191	兩個文明	529	0
2192	共處一室	529	0
2193	唯物史觀	529	0
2194	嘖嘖稱奇	529	0
2195	大寫字母	529	0
2196	學齡兒童	529	0
2197	平淡無味	529	0
2198	恍若隔世	529	0
2199	永無休止	529	0
2200	江郎才盡	529	0
2201	活字印刷	529	0
2202	照單全收	529	0
2203	疏忽大意	529	0
2204	示威遊行	529	0
2205	縮成一團	529	0
2206	老有所養	529	0
2207	膠原纖維	529	0
2208	自負盈虧	529	0
2209	苯丙氨酸	529	0
2210	見招拆招	529	0
2211	趁虛而入	529	0
2212	金玉良言	529	0
2213	面試工作	529	0
2214	高速網絡	529	0
2215	三峽水庫	528	0
2216	並行計算	528	0
2217	以點帶面	528	0
2218	信仰自由	528	0
2219	傷風感冒	528	0
2220	價值標準	528	0
2221	加減乘除	528	0
2222	各色各樣	528	0
2223	善後事宜	528	0
2224	囂張氣焰	528	0
2225	四肢無力	528	0
2226	四腳朝天	528	0
2227	基礎結構	528	0
2228	學無止境	528	0
2229	招財進寶	528	0
2230	文武百官	528	0
2231	本性難移	528	0
2232	氣宇軒昂	528	0
2233	海水養殖	528	0
2234	混混沌沌	528	0
2235	測量工具	528	0
2236	社會正義	528	0
2237	社會青年	528	0
2238	繞來繞去	528	0
2239	能量代謝	528	0
2240	荷槍實彈	528	0
2241	表露無遺	528	0
2242	裝甲部隊	528	0
2243	貌美如花	528	0
2244	風水先生	528	0
2245	上層社會	527	0
2246	世風日下	527	1
2247	來日方長	527	0
2248	六十四卦	527	0
2249	凱旋歸來	527	0
2250	功率輸出	527	0
2251	勢在必得	527	0
2252	卵母細胞	527	0
2253	反式脂肪	527	0
2254	司法獨立	527	0
2255	吉爾吉斯	527	0
2256	天體物理	527	0
2257	如期完成	527	0
2258	容量分析	527	0
2259	平均速度	527	0
2260	往事如風	527	0
2261	恩恩愛愛	527	0
2262	星火燎原	527	0
2263	東方文明	527	0
2264	水生動物	527	0
2265	滿口答應	527	0
2266	牛肉拉麪	527	0
2267	神職人員	527	0
2268	竹籃打水	527	0
2269	縱橫捭闔	527	0
2270	虛擬環境	527	0
2271	血跡斑斑	527	0
2272	行萬里路	527	0
2273	衣衫不整	527	0
2274	表面文章	527	0
2275	親戚關係	527	0
2276	通信線路	527	0
2277	鑑賞能力	527	0
2278	長孫無忌	527	0
2279	開張大吉	527	0
2280	雙重人格	527	0
2281	一問一答	526	0
2282	一字之差	526	0
2283	一柱擎天	526	0
2284	一語中的	526	0
2285	上半部分	526	0
2286	交叉學科	526	0
2287	人生意義	526	0
2288	十字街頭	526	1
2289	十項全能	526	0
2290	合乎邏輯	526	0
2291	呲牙咧嘴	526	0
2292	哼哼唧唧	526	0
2293	國家銀行	526	0
2294	大駕光臨	526	0
2295	字母順序	526	0
2296	寶刀未老	526	0
2297	左思右想	526	0
2298	技術科學	526	0
2299	操作環境	526	0
2300	教學相長	526	0
2301	明辨是非	526	1
2302	普通教育	526	0
2303	標準尺寸	526	0
2304	標準組織	526	0
2305	武裝鬥爭	526	0
2306	歪曲事實	526	0
2307	毫髮無損	526	0
2308	無一倖免	526	0
2309	無字天書	526	0
2310	無所遁形	526	0
2311	狗血淋頭	526	0
2312	禍從口出	526	1
2313	結婚典禮	526	0
2314	臨危不亂	526	0
2315	自問自答	526	0
2316	自尋死路	526	0
2317	語音信箱	526	0
2318	追根溯源	526	0
2319	遺傳物質	526	0
2320	阿貓阿狗	526	0
2321	一夫當關	525	0
2322	做牛做馬	525	0
2323	兒科醫生	525	0
2324	公司理財	525	0
2325	公平貿易	525	0
2326	勞動條件	525	0
2327	口齒不清	525	0
2328	可大可小	525	0
2329	基礎代謝	525	1
2330	康熙字典	525	0
2331	指手劃腳	525	0
2332	數據網絡	525	0
2333	橫刀奪愛	525	0
2334	殺雞儆猴	525	0
2335	混合感染	525	0
2336	燒香拜佛	525	0
2337	直接了當	525	0
2338	自由競爭	525	0
2339	難辭其咎	525	0
2340	人盡皆知	524	0
2341	以德服人	524	0
2342	以暴制暴	524	0
2343	作業系統	524	0
2344	化妝舞會	524	0
2345	多勞多得	524	0
2346	孟德斯鳩	524	0
2347	揭幕儀式	524	0
2348	沒有差別	524	0
2349	泛泛之輩	524	0
2350	生平簡介	524	0
2351	神龍汽車	524	0
2352	裝瘋賣傻	524	1
2353	身負重傷	524	0
2354	轉移視線	524	0
2355	避而不談	524	0
2356	醋酸乙酯	524	0
2357	青銅時代	524	0
2358	鷸蚌相爭	524	1
2359	一死一傷	523	0
2360	七葷八素	523	0
2361	乾柴烈火	523	0
2362	人口結構	523	0
2363	僅作參考	523	0
2364	半工半讀	523	1
2365	吸食毒品	523	0
2366	周遊列國	523	0
2367	外幣存款	523	0
2368	大展身手	523	0
2369	始亂終棄	523	0
2370	巾幗英雄	523	1
2371	忽隱忽現	523	0
2372	手下敗將	523	0
2373	把酒言歡	523	0
2374	旋轉餐廳	523	0
2375	毫無道理	523	0
2376	求救信號	523	0
2377	滿腔熱血	523	0
2378	義薄雲天	523	0
2379	花容月貌	523	0
2380	貴妃醉酒	523	0
2381	躲躲閃閃	523	0
2382	遠程導彈	523	0
2383	長夜漫漫	523	0
2384	阿斯匹林	523	0
2385	風姿綽約	523	0
2386	驍勇善戰	523	0
2387	一病不起	522	0
2388	一腳踢開	522	0
2389	三權分立	522	0
2390	上吐下瀉	522	0
2391	不見天日	522	0
2392	全身麻醉	522	0
2393	動態影像	522	0
2394	可供參考	522	0
2395	大放厥詞	522	0
2396	大病初癒	522	0
2397	天造地設	522	0
2398	嫌貧愛富	522	0
2399	家財萬貫	522	0
2400	廣泛影響	522	0
2401	成敗得失	522	0
2402	標題新聞	522	0
2403	流水無情	522	0
2404	無利可圖	522	0
2405	狼心狗肺	522	1
2406	相談甚歡	522	0
2407	縮頭烏龜	522	0
2408	自強自立	522	0
2409	自我解嘲	522	0
2410	萬能鑰匙	522	0
2411	過街天橋	522	0
2412	電化教學	522	0
2413	一夜風流	521	0
2414	一閃即逝	521	0
2415	二號人物	521	0
2416	人海戰術	521	0
2417	便民利民	521	0
2418	傳輸模式	521	0
2419	商品價值	521	0
2420	嗜血桿菌	521	0
2421	大事化小	521	0
2422	大是大非	521	0
2423	天差地別	521	0
2424	希伯來語	521	0
2425	心懷鬼胎	521	0
2426	意志消沉	521	0
2427	感覺器官	521	1
2428	抗精神病	521	0
2429	插科打諢	521	1
2430	普魯卡因	521	0
2431	杜莎夫人	521	0
2432	毫不懷疑	521	0
2433	裝聾作啞	521	0
2434	複變函數	521	0
2435	雖敗猶榮	521	0
2436	黯淡無光	521	0
2437	亂作一團	520	0
2438	全然不同	520	0
2439	卡爾加里	520	0
2440	同生共死	520	0
2441	地球大氣	520	0
2442	外部連接	520	0
2443	女媧補天	520	0
2444	威風八面	520	0
2445	思想交流	520	0
2446	惡有惡報	520	0
2447	戀母情結	520	0
2448	援助機構	520	0
2449	春秋時代	520	0
2450	曲折離奇	520	0
2451	淡而無味	520	0
2452	清倉查庫	520	0
2453	無縫連接	520	0
2454	狂人日記	520	0
2455	痛哭失聲	520	0
2456	福星高照	520	0
2457	胡編亂造	520	0
2458	草食動物	520	0
2459	萬物之靈	520	0
2460	貧富懸殊	520	0
2461	遠程登錄	520	0
2462	防毒軟件	520	0
2463	韓國泡菜	520	0
2464	驅逐出境	520	0
2465	高手如雲	520	0
2466	何必如此	519	0
2467	包辦婚姻	519	0
2468	同聲翻譯	519	0
2469	單刀赴會	519	0
2470	四海一家	519	0
2471	土耳其語	519	0
2472	妙筆生花	519	0
2473	強買強賣	519	0
2474	慾火焚身	519	0
2475	文職人員	519	0
2476	智勇雙全	519	1
2477	武術比賽	519	0
2478	生態足跡	519	0
2479	生活水準	519	0
2480	白色污染	519	0
2481	空中小姐	519	1
2482	綠草如茵	519	0
2483	花粉過敏	519	0
2484	行政效率	519	0
2485	送貨到家	519	0
2486	鎩羽而歸	519	0
2487	陷入絕境	519	0
2488	不勝酒力	518	0
2489	二次函數	518	0
2490	何德何能	518	0
2491	地殼運動	518	0
2492	孤膽英雄	518	0
2493	專門人員	518	0
2494	應付自如	518	0
2495	懶懶散散	518	0
2496	武術指導	518	0
2497	永結同心	518	0
2498	沒大沒小	518	0
2499	盡其所能	518	0
2500	算術平均	518	0
