head	tail
下個	下一個
唔怪得	怪不得
明知	清楚
粗口	髒話
估到	料到
仲好	還好
做嘢	做事
數據庫	資料庫
好朋友	好友
看更	守衞
落車	下車
細路仔	小孩
西瓜	瓜
冇用	沒用
在線	線上
水喉	水龍頭
無謂	何必
開學	開課
夠鐘	到時
天台	屋頂
橙色	橘
別的	其他
老細	老闆
面紅	臉紅
阻住	阻礙
隨住	跟着
入嚟	進來
還有	另外
嘢食	食物
這裡	這兒
好返	好轉
八婆	長舌婦
第日	他日
返轉頭	回頭
吹水	閒聊
怕醜	害羞
換衫	更衣
洗頭水	洗髮露
點做	怎麼辦
用於	用來
大部份	大部分
心裡	心裏
遲啲	稍後
小弟	弟弟
肥仔	胖子
筆記本	記事簿
就嚟	快要
背影	身影
好嘢	好事
幾點	何時
發夢	做夢
不知	不明
搞笑	好笑
擰頭	搖頭
仔女	兒女
傻妹	傻女
唔捨得	捨不得
按摩	推拿
朝頭早	清晨
老嘢	老人
蝴蝶	蝶
衰仔	壞蛋
校車	公車
冇所謂	無所謂
大隻	高大
並無	沒有
千祈	千萬
尋晚	昨晚
直情	簡直
衣櫃	衣櫥
不在	不在場
交流	溝通
太過	過於
紫色	紫
總有	總會
是但	隨便
確定	肯定
間房	房間
忘了	忘記
之餘	此外
沿住	順着
文檔	文件
以嚟	以來
停低	停下
叫醒	喚醒
師奶	主婦
體力	氣力
嘴角	口角
後尾	後來
眼中	眼裏
行山	登山
接住	接著
合照	合影
貓仔	貓
打橫	橫過
玩完	結束
長大	成長
阿伯	伯父
放假	休假
數字	數目
狐狸	狐
盡快	趕快
角色	人物
越嚟越	越來越
什麼時候	何時
墳場	墓地
廣告	宣傳
間中	偶爾
電梯	升降機
行街	逛街
講起	提起
鴨仔	鴨
事發	發生
唸	念
大小姐	小姐
礦場	礦坑
空姐	空中小姐
第時	將來
時尚	潮流
轉載	轉發
心痛	傷心
晏晝	下午
本能	天性
雞仔	雞
節目	欄目
乳頭	奶頭
舐	舔
搓	揉
扁	平
嘟	鳴
箭	矢
陰道	產道
