head	note	batch_id
崇高理想	prior project_syn edge covers head	syn-len4-b07-20260718
難以想像	prior project_syn edge covers head	syn-len4-b07-20260718
晨鐘暮鼓	within-batch undirected syn edge covers head	syn-len4-b07-20260718
反咬一口	within-batch undirected syn edge covers head	syn-len4-b07-20260718
烽火連天	within-batch undirected syn edge covers head	syn-len4-b07-20260718
真槍實彈	prior project_syn edge covers head	syn-len4-b07-20260718
進退自如	prior project_syn edge covers head	syn-len4-b07-20260718
事已至此	prior project_syn edge covers head	syn-len4-b07-20260718
心胸狹隘	prior project_syn edge covers head	syn-len4-b07-20260718
爭名奪利	prior project_syn edge covers head	syn-len4-b07-20260718
直呼其名	prior project_syn edge covers head	syn-len4-b07-20260718
不予置評	within-batch undirected syn edge covers head	syn-len4-b07-20260718
不分勝負	within-batch undirected syn edge covers head	syn-len4-b07-20260718
化裝舞會	prior project_syn edge covers head	syn-len4-b07-20260718
重振旗鼓	prior project_syn edge covers head	syn-len4-b07-20260718
隨傳隨到	prior project_syn edge covers head	syn-len4-b07-20260718
一番苦心	prior project_syn edge covers head	syn-len4-b07-20260718
妙齡女郎	prior project_syn edge covers head	syn-len4-b07-20260718
人心叵測	within-batch undirected syn edge covers head	syn-len4-b07-20260718
