head	reason	batch_id
價值規律	other_documented	syn-len4-b05-20260718
利益輸送	other_documented	syn-len4-b05-20260718
多模光纖	other_documented	syn-len4-b05-20260718
委以重任	cultural_no_binary	syn-len4-b05-20260718
導彈系統	other_documented	syn-len4-b05-20260718
心理現象	other_documented	syn-len4-b05-20260718
泡沫經濟	other_documented	syn-len4-b05-20260718
浩然正氣	cultural_no_binary	syn-len4-b05-20260718
相視而笑	cultural_no_binary	syn-len4-b05-20260718
精耕細作	cultural_no_binary	syn-len4-b05-20260718
細胞組織	other_documented	syn-len4-b05-20260718
結構理論	other_documented	syn-len4-b05-20260718
聚酯樹脂	other_documented	syn-len4-b05-20260718
閉門造車	cultural_no_binary	syn-len4-b05-20260718
附庸風雅	cultural_no_binary	syn-len4-b05-20260718
青春永駐	cultural_no_binary	syn-len4-b05-20260718
不明就裏	cultural_no_binary	syn-len4-b05-20260718
五雷轟頂	cultural_no_binary	syn-len4-b05-20260718
勞資糾紛	other_documented	syn-len4-b05-20260718
千刀萬剮	cultural_no_binary	syn-len4-b05-20260718
古文觀止	proper_name_or_deixis	syn-len4-b05-20260718
單模光纖	other_documented	syn-len4-b05-20260718
探明儲量	other_documented	syn-len4-b05-20260718
是非之地	cultural_no_binary	syn-len4-b05-20260718
無冕之王	cultural_no_binary	syn-len4-b05-20260718
管道運輸	other_documented	syn-len4-b05-20260718
聽力理解	other_documented	syn-len4-b05-20260718
薩爾茨堡	proper_name_or_deixis	syn-len4-b05-20260718
誓不罷休	cultural_no_binary	syn-len4-b05-20260718
資不抵債	other_documented	syn-len4-b05-20260718
避重就輕	cultural_no_binary	syn-len4-b05-20260718
上天入地	cultural_no_binary	syn-len4-b05-20260718
以毒攻毒	cultural_no_binary	syn-len4-b05-20260718
光學玻璃	other_documented	syn-len4-b05-20260718
內酰胺酶	other_documented	syn-len4-b05-20260718
商業應用	other_documented	syn-len4-b05-20260718
孔雀開屏	proper_name_or_deixis	syn-len4-b05-20260718
完全兼容	other_documented	syn-len4-b05-20260718
寸土寸金	cultural_no_binary	syn-len4-b05-20260718
微觀世界	other_documented	syn-len4-b05-20260718
有所不知	cultural_no_binary	syn-len4-b05-20260718
次生災害	other_documented	syn-len4-b05-20260718
犯罪集團	other_documented	syn-len4-b05-20260718
獨立宣言	proper_name_or_deixis	syn-len4-b05-20260718
量體裁衣	cultural_no_binary	syn-len4-b05-20260718
頭重腳輕	cultural_no_binary	syn-len4-b05-20260718
首開紀錄	cultural_no_binary	syn-len4-b05-20260718
三姑六婆	cultural_no_binary	syn-len4-b05-20260718
不懂裝懂	cultural_no_binary	syn-len4-b05-20260718
北洋水師	proper_name_or_deixis	syn-len4-b05-20260718
同歸於盡	cultural_no_binary	syn-len4-b05-20260718
嘈喧巴閉	cultural_no_binary	syn-len4-b05-20260718
垂直搜索	other_documented	syn-len4-b05-20260718
大腹便便	other_documented	syn-len4-b05-20260718
天外來客	cultural_no_binary	syn-len4-b05-20260718
孤男寡女	cultural_no_binary	syn-len4-b05-20260718
害人不淺	cultural_no_binary	syn-len4-b05-20260718
得而復失	cultural_no_binary	syn-len4-b05-20260718
捷報頻傳	cultural_no_binary	syn-len4-b05-20260718
機不可失	cultural_no_binary	syn-len4-b05-20260718
泰晤士河	proper_name_or_deixis	syn-len4-b05-20260718
登山運動	other_documented	syn-len4-b05-20260718
相形見絀	cultural_no_binary	syn-len4-b05-20260718
省直管縣	other_documented	syn-len4-b05-20260718
紅衣主教	other_documented	syn-len4-b05-20260718
美中不足	cultural_no_binary	syn-len4-b05-20260718
鐵達尼號	proper_name_or_deixis	syn-len4-b05-20260718
長途電話	other_documented	syn-len4-b05-20260718
阻頭阻勢	cultural_no_binary	syn-len4-b05-20260718
一紙空文	cultural_no_binary	syn-len4-b05-20260718
一般原則	other_documented	syn-len4-b05-20260718
各領風騷	cultural_no_binary	syn-len4-b05-20260718
大舉進攻	other_documented	syn-len4-b05-20260718
屢敗屢戰	cultural_no_binary	syn-len4-b05-20260718
心胸開闊	cultural_no_binary	syn-len4-b05-20260718
應召女郎	other_documented	syn-len4-b05-20260718
拔刀相助	cultural_no_binary	syn-len4-b05-20260718
有夫之婦	cultural_no_binary	syn-len4-b05-20260718
有權有勢	cultural_no_binary	syn-len4-b05-20260718
河北日報	proper_name_or_deixis	syn-len4-b05-20260718
無惡不作	cultural_no_binary	syn-len4-b05-20260718
物質獎勵	other_documented	syn-len4-b05-20260718
環氧乙烷	other_documented	syn-len4-b05-20260718
病從口入	cultural_no_binary	syn-len4-b05-20260718
盲目崇拜	cultural_no_binary	syn-len4-b05-20260718
遠洋運輸	other_documented	syn-len4-b05-20260718
一以貫之	cultural_no_binary	syn-len4-b05-20260718
一葉知秋	polysemous_no_stable_sense	syn-len4-b05-20260718
人定勝天	cultural_no_binary	syn-len4-b05-20260718
免疫應答	other_documented	syn-len4-b05-20260718
及時行樂	cultural_no_binary	syn-len4-b05-20260718
吞雲吐霧	polysemous_no_stable_sense	syn-len4-b05-20260718
太僕寺旗	proper_name_or_deixis	syn-len4-b05-20260718
寬衣解帶	cultural_no_binary	syn-len4-b05-20260718
封建思想	other_documented	syn-len4-b05-20260718
就地取材	cultural_no_binary	syn-len4-b05-20260718
抽象思維	other_documented	syn-len4-b05-20260718
望其項背	cultural_no_binary	syn-len4-b05-20260718
滿城風雨	cultural_no_binary	syn-len4-b05-20260718
燙手山芋	cultural_no_binary	syn-len4-b05-20260718
玉石俱焚	cultural_no_binary	syn-len4-b05-20260718
百年樹人	cultural_no_binary	syn-len4-b05-20260718
長足進步	cultural_no_binary	syn-len4-b05-20260718
防禦工事	other_documented	syn-len4-b05-20260718
雌性激素	other_documented	syn-len4-b05-20260718
電視公司	other_documented	syn-len4-b05-20260718
高等代數	other_documented	syn-len4-b05-20260718
三輪車夫	other_documented	syn-len4-b05-20260718
勿忘國恥	cultural_no_binary	syn-len4-b05-20260718
同名同姓	other_documented	syn-len4-b05-20260718
基尼係數	proper_name_or_deixis	syn-len4-b05-20260718
天外有天	cultural_no_binary	syn-len4-b05-20260718
如意郎君	cultural_no_binary	syn-len4-b05-20260718
投石問路	cultural_no_binary	syn-len4-b05-20260718
正反兩面	cultural_no_binary	syn-len4-b05-20260718
步調一致	other_documented	syn-len4-b05-20260718
歷盡艱辛	cultural_no_binary	syn-len4-b05-20260718
清心寡慾	other_documented	syn-len4-b05-20260718
班門弄斧	cultural_no_binary	syn-len4-b05-20260718
紅顏薄命	cultural_no_binary	syn-len4-b05-20260718
聚酯纖維	other_documented	syn-len4-b05-20260718
行俠仗義	cultural_no_binary	syn-len4-b05-20260718
趨利避害	cultural_no_binary	syn-len4-b05-20260718
速溶咖啡	other_documented	syn-len4-b05-20260718
一眼望去	cultural_no_binary	syn-len4-b05-20260718
五味雜陳	cultural_no_binary	syn-len4-b05-20260718
人小鬼大	cultural_no_binary	syn-len4-b05-20260718
兩個文明	other_documented	syn-len4-b05-20260718
共處一室	cultural_no_binary	syn-len4-b05-20260718
唯物史觀	proper_name_or_deixis	syn-len4-b05-20260718
嘖嘖稱奇	cultural_no_binary	syn-len4-b05-20260718
大寫字母	other_documented	syn-len4-b05-20260718
