head	tail
冇	沒有
睇	看
嚟	來
畀	給
唔係	不是
唔好	不好
但係	但是
點解	為什麼
邊個	誰
而家	現在
即係	就是
屋企	家
鍾意	喜歡
跟住	然後
瞓	睡
邊度	哪裏
同埋	以及
入面	裏面
女仔	女孩
媽咪	媽媽
靚	漂亮
家姐	姐姐
點樣	怎樣
仲有	還有
頭先	剛才
少少	一點
啱	對
落去	下去
依家	現在
做咩	幹什麼
公仔	玩偶
出嚟	出來
男仔	男孩
唔該	謝謝
今次	這次
唔同	不同
諗住	打算
老豆	爸爸
返去	回去
叻	聰明
入去	進去
仲要	更加
污糟	骯髒
望住	看住
唔記得	忘記
淨係	只是
細佬	弟弟
細妹	妹妹
梗係	當然
唔使	不用
噉樣	這樣
好彩	幸運
聽日	明天
啱啱	剛剛
細路	小孩
攰	累
好食	好吃
唔見	不見
食飯	吃飯
過嚟	過來
點算	怎麼辦
出聲	說話
定係	還是
冇乜	沒什麼
諗起	想起
睇住	盯住
掛住	想念
唔好意思	對不起
大佬	大哥
揸	拿
先至	才
姨姨	阿姨
冇事	無妨
得閒	有空
返學	上學
返嚟	回來
嘈	吵
嗰個	那個
肚餓	飢餓
冇錯	沒錯
講嘢	說話
好睇	好看
靚仔	帥哥
令到	使得
一係	要麼
上堂	上課
放低	放下
唔緊要	不要緊
幾好	不錯
無啦啦	平白
睇嚟	看來
鎖匙	鑰匙
出街	上街
試過	嘗試
依度	這裏
身邊	身旁
幾時	何時
女朋友	女友
等等	之類
電視	電視機
是不是	是否
大聲	高聲
火車	列車
蚊	蚊子
雪糕	冰糕
那裏	那邊
早餐	早飯
襪	襪子
旅行	旅遊
人類	人
環境	境況
放學	下課
駛	需要
錫	吻
戴	佩戴
嘢	東西
真係	真的
係咪	是否
點知	豈料
唔通	難道
轉身	掉頭
所謂	號稱
心諗	心想
抌	扔
喪屍	殭屍
唔到	不到
