head	tail
只不過	只是
耳仔	耳朵
條女	女孩
拍拖	戀愛
點鐘	鐘點
屋企人	家人
核突	難看
對面	對門
琴晚	昨晚
坐低	坐下
講真	説實話
細細聲	小聲
腦海	腦際
機場	飛機場
有事	出事
琴日	昨天
細個	小時候
乜嘢	什麼
天晴	晴天
熊仔	熊
陣間	待會兒
對話	會話
麵包	麪包
再講	再説
梳化	沙發
答案	答覆
第二個	其它
伸出	伸手
有沒有	是否
上嚟	上來
師兄	師弟
讚	稱讚
傾計	聊天
屬於	屬
特登	故意
裡面	裏面
課室	教室
碟	碟子
紙巾	面紙
落嚟	下來
唔多	少
唔錯	不錯
馬騮	猴子
留低	留下
再見	再會
嗰陣	那時
裏便	裏面
大嗌	大叫
總係	總是
仲未	尚未
姊妹	姐妹
阿叔	叔叔
打電話	通話
搞掂	辦妥
人哋	人家
盡量	儘量
視頻	影片
枕頭	枕
冇問題	無妨
嗰時	那時
影相	拍照
第一次	首次
細聲	小聲
等陣	稍等
失望	沮喪
行埋	走近
埋嚟	過來
生果	水果
幾耐	多久
聽過	聽聞
衰人	壞人
提子	葡萄
傻仔	傻瓜
唔舒服	難受
好靚	漂亮
條友	傢伙
消防員	救火員
銀包	錢包
狗仔	犬
香蕉	蕉
橙汁	果汁
講笑	開玩笑
拖鞋	涼鞋
打機	遊戲
就快	快要
石頭	石
第二日	翌日
擰轉	轉動
將會	即將
氹	哄
醉	醺
雀仔	小鳥
夠膽	大膽
請問	試問
後便	後面
兔仔	兔子
匙羹	湯匙
朝早	早上
食嘢	進食
拳頭	拳
諗法	想法
雞蛋	蛋
每日	天天
大把	許多
大脾	大腿
差啲	差點
求其	隨便
直頭	簡直
睇落	看來
車站	火車站
呻吟	哼
收埋	隱藏
故仔	故事
嚟到	來到
相機	攝影機
回復	回覆
不嬲	一向
笑笑口	微笑
好味	美味
算了	罷了
表白	剖白
凳	凳子
尿	小便
視線	目光
社會	世上
畫面	影像
目的	目標
自信	信心
音樂	歌曲
科技	技術
印象	感覺
鬆	放鬆
班主任	老師
港人	香港人
博客	網誌
蝦	蝦子
桶	水桶
舖	店舖
指住	指向
社工	社會工作
你好	問好
