head	reason	batch_id
八月	function_word	syn-top5000-b06-20260718
考研	function_word	syn-top5000-b06-20260718
九月	function_word	syn-top5000-b06-20260718
荃灣	function_word	syn-top5000-b06-20260718
貢	function_word	syn-top5000-b06-20260718
一本	function_word	syn-top5000-b06-20260718
冷汗	function_word	syn-top5000-b06-20260718
陰毛	function_word	syn-top5000-b06-20260718
十點	function_word	syn-top5000-b06-20260718
呱	function_word	syn-top5000-b06-20260718
咖	function_word	syn-top5000-b06-20260718
撻	function_word	syn-top5000-b06-20260718
螯	function_word	syn-top5000-b06-20260718
設計師	function_word	syn-top5000-b06-20260718
握手	function_word	syn-top5000-b06-20260718
