rank	head	essay_frequency	direct_syn_tails
201	無人	26696	0
202	只不過	26607	1
203	耳仔	26162	0
204	條女	25984	0
205	拍拖	25717	0
206	點鐘	25539	1
207	屋企人	25450	0
208	核突	25361	0
209	一步	25272	0
210	對面	25183	1
211	紮	25094	0
212	尿	25005	1
213	凳	24827	1
214	下次	24738	0
215	呢種	24471	0
216	琴晚	24471	0
217	錶	24026	0
218	坐低	23937	0
219	講真	23670	0
220	細細聲	23581	0
221	一片	23492	0
222	腦海	23403	1
223	機場	23225	1
224	玻璃	23047	1
225	有事	22958	0
226	琴日	22958	0
227	指住	22869	0
228	細個	22780	0
229	乜嘢	22691	0
230	社會	22691	0
231	天晴	22602	0
232	熊仔	22602	0
233	視線	22602	0
234	陣間	22602	0
235	對話	22424	1
236	有人	22335	0
237	幾日	22157	0
238	麵包	22157	0
239	再講	21979	0
240	畫面	21712	1
241	梳化	21534	0
242	你好	21493	0
243	答案	21267	1
244	第二個	21089	0
245	伸出	21000	0
246	有沒有	20959	0
247	上嚟	20733	0
248	點都	20733	0
249	一眼	20467	0
250	嚟講	20467	0
251	師兄	20467	0
252	讚	20289	0
253	傾計	20111	0
254	屬於	20022	1
255	地圖	19933	1
256	特登	19933	0
257	裡面	19844	0
258	課室	19844	0
259	點呀	19755	0
260	碟	19666	1
261	講緊	19221	0
262	紙巾	19043	0
263	落嚟	19043	0
264	他們	18954	1
265	唔多	18954	0
266	唔錯	18954	0
267	馬騮	18954	0
268	留低	18865	0
269	再見	18776	1
270	嗰陣	18687	0
271	裏便	18598	0
272	畀人	18509	0
273	大嗌	18420	0
274	總係	18420	0
275	鬆	18420	0
276	博客	18096	0
277	見過	18064	0
278	仲未	17975	0
279	姊妹	17975	1
280	阿叔	17975	0
281	打電話	17886	1
282	搞掂	17886	0
283	人哋	17797	0
284	社工	17708	0
285	盡量	17530	0
286	裡	17530	0
287	視頻	17528	0
288	枕頭	17441	1
289	冇問題	17352	0
290	咖啡	17174	1
291	嗰時	17174	0
292	目的	17085	1
293	影相	16996	0
294	第一次	16941	0
295	自信	16551	1
296	細聲	16462	0
297	等陣	16373	0
298	失望	16284	1
299	舖	16195	0
300	桶	15839	0
301	蝦	15750	1
302	行埋	15750	0
303	埋嚟	15661	0
304	生果	15661	0
305	音樂	15661	1
306	幾耐	15483	0
307	聽過	15394	0
308	只會	15305	0
309	衰人	15216	0
310	提子	15127	0
311	傻仔	15038	0
312	唔舒服	15038	0
313	好靚	15038	0
314	條友	15038	0
315	入到	14949	0
316	消防員	14949	0
317	銀包	14949	0
318	科技	14860	1
319	嗄	14771	0
320	港人	14771	0
321	牙膏	14771	0
322	兜過	14593	0
323	狗仔	14593	0
324	帖子	14576	0
325	邊有	14504	0
326	香蕉	14504	0
327	橙汁	14415	0
328	碌	14415	0
329	印象	14326	1
330	講笑	14326	0
331	拖鞋	14237	0
332	班主任	14237	0
333	將我	14148	0
334	打機	14148	0
335	天使	13970	0
336	就快	13970	0
337	石頭	13970	1
338	第二日	13970	0
339	多嘢	13881	0
340	擰轉	13881	0
341	將會	13703	0
342	氹	13703	0
343	醉	13615	1
344	雀仔	13615	0
345	夠膽	13526	0
346	請問	13437	1
347	講下	13437	0
348	後便	13348	0
349	正正	13348	0
350	兔仔	13259	0
351	會話	13259	1
352	匙羹	13170	0
353	嚟㗎	13170	0
354	朝早	13170	0
355	食嘢	13170	0
356	上網	13081	0
357	啵	13081	0
358	狼	13081	0
359	拳頭	12992	1
360	曱	12992	0
361	甴	12992	0
362	諗法	12992	0
363	雞蛋	12992	0
364	每日	12814	0
365	大把	12725	0
366	大脾	12725	0
367	差啲	12725	0
368	求其	12725	0
369	直頭	12725	0
370	睇落	12725	0
371	域名	12679	1
372	車站	12636	1
373	呻吟	12547	1
374	一場	12458	0
375	吔	12458	0
376	收埋	12458	0
377	故仔	12458	0
378	迷宮	12458	1
379	嚟到	12369	0
380	幾咁	12369	0
381	鏈接	12344	0
382	盆	12280	0
383	相機	12280	0
384	結界	12191	0
385	頁面	12145	0
386	嘅話	12102	0
387	得多	12102	0
388	咭	12013	0
389	甲蟲	12013	0
390	上便	11924	0
391	回復	11924	0
392	不嬲	11835	0
393	笑笑口	11835	0
394	好味	11746	0
395	百	11746	1
396	算了	11725	0
397	多個	11657	0
398	孖	11657	0
399	表白	11657	1
400	點啊	11657	0
