rank	head	essay_frequency	direct_syn_tails
1	係	8784348	0
2	佢	6038655	0
3	嘅	4333042	0
4	噉	2225119	0
5	咁	2225030	0
6	啲	2103563	0
7	咗	1995799	0
8	咩	1816402	0
9	冇	1759806	0
10	睇	1429397	0
11	喺	1372535	0
12	嘢	1332312	0
13	喇	1298497	0
14	嚟	1275895	0
15	嗰	1232825	0
16	喎	1169555	0
17	哋	1064106	0
18	隻	843685	0
19	唔係	820726	0
20	畀	820637	0
21	真係	791094	0
22	咪	789225	0
23	囉	769114	0
24	唔好	617747	0
25	但係	577436	0
26	點解	486580	0
27	邊個	454723	0
28	嘩	395636	0
29	而家	374902	0
30	即係	368673	0
31	屋企	342332	0
32	鍾意	337260	0
33	嘛	322132	1
34	唔到	313412	0
35	跟住	302466	0
36	瞓	284313	0
37	邊度	282355	0
38	亦	281643	1
39	係咪	250409	0
40	呵呵	250099	0
41	同埋	244091	0
42	入面	226738	0
43	沖	218996	0
44	女仔	216416	0
45	媽咪	204670	0
46	屌	200576	0
47	噹	194792	0
48	靚	181533	0
49	撚	179308	0
50	駛	161422	1
51	兩個	158930	0
52	家姐	154570	0
53	點樣	150654	0
54	仲有	143269	0
55	頭先	138018	0
56	少少	137929	0
57	啱	134904	0
58	落去	132679	0
59	依家	129120	0
60	做咩	120666	0
61	公仔	118619	0
62	啤啤	116127	0
63	出嚟	114615	0
64	男仔	110788	0
65	啫	110432	0
66	唔該	110343	0
67	吖	104826	0
68	今次	99843	0
69	五	99665	1
70	一次	95572	0
71	唔同	95127	0
72	身邊	94148	1
73	點知	92279	0
74	諗住	91211	0
75	老豆	87741	0
76	依個	84359	0
77	戴	84270	1
78	返去	81601	0
79	搣	81156	0
80	叻	80889	0
81	我見	80444	0
82	入去	75549	0
83	妳	74927	0
84	貓	74749	0
85	楂	74660	0
86	誒	72791	0
87	仲要	72613	0
88	污糟	72435	0
89	唔通	68341	0
90	望住	66473	0
91	幾時	65761	1
92	唔記得	64426	0
93	淨係	63892	0
94	細佬	62824	0
95	細妹	61845	0
96	梗係	61489	0
97	唔使	61045	0
98	噉樣	60600	0
99	好彩	60511	0
100	聽日	60244	0
101	錫	60155	1
102	啱啱	59710	0
103	啪	57574	0
104	師姐	56684	0
105	六	56595	1
106	女朋友	56328	1
107	一日	54549	0
108	成個	52413	0
109	細路	51879	0
110	幾個	51256	0
111	攰	51256	0
112	波波	50989	0
113	好食	50633	0
114	唔見	49476	0
115	喪屍	49031	0
116	食飯	48586	0
117	嗚	48497	1
118	鳩	48497	0
119	餵	48141	0
120	喵	48052	0
121	過嚟	47963	0
122	等等	46718	1
123	電視	45828	1
124	抌	44493	0
125	點算	43959	0
126	出聲	43514	0
127	轉身	43247	0
128	是不是	42945	1
129	喱	42713	0
130	定係	42535	0
131	冇乜	42357	0
132	嘅嘢	42179	0
133	大聲	42090	1
134	火車	42001	1
135	所謂	41823	0
136	諗起	41645	0
137	蚊	41378	1
138	睇住	41111	0
139	放學	40845	1
140	雪糕	40489	1
141	掛住	40311	0
142	唔好意思	39866	0
143	曳	39243	0
144	大佬	38976	0
145	揸	38442	0
146	嚮	37997	0
147	人生	37463	0
148	八	37463	1
149	先至	37374	0
150	姨姨	37196	0
151	英文	37018	0
152	轆	36662	0
153	鐘	36395	0
154	冇事	36217	0
155	得閒	35950	0
156	大學	35861	0
157	闆	35861	0
158	黑色	35861	0
159	仆街	35772	0
160	點會	35594	0
161	個位	35149	0
162	旅行	34882	1
163	返學	34437	0
164	心諗	34170	0
165	琴	34082	0
166	那裏	34029	1
167	哩個	33904	0
168	返嚟	33815	0
169	髮	33103	0
170	人類	33014	1
171	嘈	32836	0
172	早餐	32658	1
173	嗰個	32569	0
174	肚餓	32569	0
175	冇錯	32480	0
176	膊頭	32213	0
177	講嘢	31946	0
178	眼鏡	31857	1
179	好睇	31412	0
180	環境	30700	1
181	身上	30611	1
182	靚仔	30433	0
183	令到	30166	0
184	襪	30077	1
185	一係	29632	0
186	上堂	29365	0
187	麵	28831	0
188	放低	28742	0
189	唔緊要	28386	0
190	幾好	28386	0
191	一段	28119	0
192	噼	28119	0
193	無啦啦	27852	0
194	睇嚟	27852	0
195	鎖匙	27052	0
196	出街	26963	0
197	底褲	26785	0
198	碗	26785	0
199	試過	26785	0
200	依度	26696	0
