head	tail
藏污納垢	藏垢納污
一哄而上	蜂擁而上
乙型腦炎	乙腦
偷雞摸狗	偷偷摸摸
力大無窮	力大無比
堅決否認	矢口否認
天色已晚	夜幕降臨
惰性氣體	稀有氣體
生死之交	莫逆之交
重重包圍	層層包圍
隻手遮天	一手遮天
不論如何	無論如何
公共財產	公產
大聲喊叫	大喊大叫
撕破臉皮	撕破臉
死而無憾	死而無悔
知識寶庫	知識庫
自動自發	自覺自願
舊事重提	重提舊事
軍官學校	軍校
交通擁擠	擁擠不堪
大便乾燥	便秘
心理學系	心理系
指名道姓	直呼其名
熱身運動	熱身
薪火相傳	薪盡火傳
防護眼鏡	護目鏡
一展身手	大顯身手
前後矛盾	自相矛盾
愛管閒事	多管閒事
感觸良多	感慨萬千
了無牽掛	無牽無掛
命運註定	命中註定
在此之後	此後
妙齡女子	妙齡女郎
幾次三番	三番四次
瘋言瘋語	胡言亂語
紅光滿面	容光煥發
詞不達意	辭不達意
不論怎樣	無論如何
名門望族	名門貴族
四處奔走	東奔西走
心無雜念	心無旁騖
開始比賽	開賽
陳詞濫調	老生常談
不守信用	言而無信
不知廉恥	恬不知恥
不論怎麼	無論如何
來去自如	進退自如
城市區域	市區
外國資本	外資
始終不變	始終如一
富貴榮華	榮華富貴
陰曹地府	陰間
完整無缺	完好無缺
心懷不軌	居心不良
惹人注目	引人注目
戰死沙場	陣亡
一國之君	一國之主
拔腿就跑	拔足狂奔
神智不清	神志不清
纖塵不染	一塵不染
茶飯不思	茶飯無心
衝口而出	脱口而出
露出馬腳	敗露
一片苦心	一番苦心
三氯甲烷	氯仿
大氣壓力	氣壓
直來直往	直來直去
草草了事	敷衍了事
裝甲車輛	裝甲車
飽和狀態	飽和
如假包換	貨真價實
實況轉播	現場直播
目眩神迷	眼花繚亂
結拜兄弟	把兄弟
英勇犧牲	為國捐軀
凌亂不堪	亂七八糟
日落西山	日薄西山
水陸兩棲	兩棲
荒淫無度	荒淫無道
薩克斯風	薩克斯管
心術不正	居心不良
牢記在心	銘記在心
傳播媒體	傳媒
小題大作	小題大做
幾何級數	等比級數
網絡日記	網誌
行動電話	手機
視覺神經	視神經
一字不漏	一字不落
千挑萬選	精挑細選
地痞流氓	地痞
正正經經	一本正經
出人意表	出人意料
化石燃料	礦物燃料
天才兒童	神童
機械工人	機工
疲勞過度	精疲力竭
絕頂聰明	聰明絕頂
觀察人士	觀察員
雜技表演	雜技
修心養性	修身養性
同胞兄弟	親兄弟
喜不自禁	欣喜若狂
坐視不理	袖手旁觀
徘徊不前	裹足不前
知識份子	知識分子
長生不死	長生不老
別無他法	無計可施
化學治療	化療
大禍臨頭	大難臨頭
大有希望	大有可為
引體向上	引體上升
懸崖絕壁	懸崖峭壁
皮包公司	空殼公司
神乎其技	出神入化
一次能源	初級能源
婦女運動	女權運動
經濟落後	貧窮落後
結婚儀式	婚禮
惹禍上身	自找麻煩
既成事實	木已成舟
面壁思過	閉門思過
國家預算	財政預算
總司令部	司令部
放高利貸	放債
不可分離	密不可分
嚴刑拷打	嚴刑逼供
印象主義	印象派
液體燃料	燃油
大發慈悲	慈悲為懷
所見略同	不謀而合
收買人心	籠絡人心
直接選舉	直選
外層空間	外太空
日夜兼程	披星戴月
公開指責	口誅筆伐
電光石火	電光火石
三代同堂	四世同堂
白跑一趟	徒勞無功
平頭百姓	老百姓
上古時代	上古
肢體衝突	肢體暴力
低筋麪粉	低筋
大費周章	煞費苦心
作者不詳	佚名
絲毫不差	一模一樣
前途渺茫	黯淡無光
分身乏術	應接不暇
外柔內剛	綿裏藏針
止咳糖漿	止咳水
品種改良	育種
面臨困難	碰到困難
體外受精	試管嬰兒
偶然事件	意外
生產過剩	供過於求
中心內容	中心思想
基礎問題	關鍵問題
刻苦努力	刻苦耐勞
後勤人員	後勤
貌不驚人	其貌不揚
獨立精神	獨立自主
高等植物	維管束植物
稽查人員	稽查
