head	tail
儀表堂堂	相貌堂堂
太空飛船	宇宙飛船
揮霍無度	揮金如土
言之過早	言之尚早
閃爍其詞	含糊其辭
惡言相向	惡言傷人
罄竹難書	擢髮難數
羽翼豐滿	羽翼漸豐
良辰吉日	黃道吉日
就地正法	槍決
手足情深	情同手足
遺憾終生	抱憾終生
顏面掃地	名譽掃地
公共電話	公用電話
從頭做起	從頭開始
比翼齊飛	比翼雙飛
瞭若指掌	瞭如指掌
佛門弟子	佛家弟子
催眠狀態	催眠
山巒起伏	層巒疊嶂
歡聲雷動	掌聲雷動
研磨材料	磨料
萬夫莫敵	萬夫不當
陶冶性情	陶冶情操
一桿進洞	一桿入洞
天塌地陷	天崩地裂
火急火燎	心急火燎
炎性反應	炎症
羞於啓齒	難以啓齒
萬全之策	萬全之計
香味撲鼻	異香撲鼻
一時三刻	一時半會
入境簽證	簽證
幡然悔悟	翻然悔悟
心懷不滿	憤憤不平
當耳邊風	耳邊風
禁慾主義	禁慾
同出一轍	如出一轍
嘰哩咕嚕	嘰嘰咕咕
廢銅爛鐵	破銅爛鐵
恃強凌弱	仗勢欺人
日月如梭	光陰荏苒
氣象學家	氣象學者
野外工作	田野工作
難以抹去	揮之不去
威震天下	威震八方
富得流油	腰纏萬貫
滑雪運動	滑雪
滿打滿算	充其量
茫然若失	若有所失
骨科醫生	骨科
嗜酒如命	嗜酒成性
學習刻苦	刻苦學習
永無寧日	家無寧日
海關人員	海關官員
處事原則	處世原則
財運亨通	財源廣進
逛來逛去	遊逛
值回票價	值曬票價
天理難容	天理不容
官僚作風	官僚主義
性命攸關	生死攸關
操勞過度	勞累過度
桃色新聞	緋聞
無處可尋	無處可逃
一無所得	一無所獲
分辨是非	明辨是非
劈波斬浪	乘風破浪
吱吱喳喳	嘰嘰喳喳
心臟衰竭	心力衰竭
戴罪立功	帶罪立功
敢作敢當	敢作敢為
生肖屬相	生肖
野戰部隊	野戰軍
慘遭毒手	慘遭殺害
按步就班	按部就班
神態自若	泰然自若
自成一格	自成一家
不分伯仲	不相伯仲
另謀出路	另謀高就
經驗老到	老練
老神在在	泰然自得
自食惡果	自食其果
一決勝負	一決雌雄
互相切磋	切磋琢磨
凌雲壯志	壯志凌雲
初試啼聲	初試身手
大吐苦水	吐苦水
死不要臉	厚顏無恥
獨立思想	獨立精神
白費心機	枉費心機
自知理虧	理虧心虛
公民投票	公投
勒緊褲帶	節衣縮食
去粗取精	去蕪存菁
如箭在弦	箭在弦上
才華洋溢	才華橫溢
拉拉隊員	啦啦隊員
榮譽獎章	勳章
秋後算帳	秋後算賬
第六感覺	第六感
糊糊塗塗	稀裏糊塗
豐功偉業	豐功偉績
不可想像	難以想像
固體物質	固體
威懾力量	威懾
爬山涉水	跋山涉水
粗聲粗氣	粗聲大氣
起居飲食	飲食起居
出口傷人	惡語傷人
國內戰爭	內戰
坐立難安	坐立不安
支出費用	開支
老弱婦孺	老弱殘兵
好景不常	好景不長
患難之交	患難與共
立體交叉	立交橋
邊緣地區	邊遠地區
食慾不佳	食慾不振
駕鶴西去	駕鶴西歸
一望無邊	一望無際
人中之龍	人中龍鳳
作賤自己	作踐
呵呵大笑	哈哈大笑
子孫滿堂	兒孫滿堂
平等待遇	公平待遇
惹人注意	引人注目
瑣瑣碎碎	瑣碎
點到即止	適可而止
互相推諉	推卸責任
成何體統	不成體統
毫無效果	無濟於事
結束工作	收工
江湖騙子	騙子
戰鬥意志	鬥志
尊師重道	尊師愛徒
一時一刻	一時半會
參考材料	參考文獻
延期付款	緩期付款
