head	tail
富可敵國	腰纏萬貫
殫精竭慮	嘔心瀝血
比較而言	相對而言
深有同感	感同身受
色情電影	色情片
豪情萬丈	壯志凌雲
走親訪友	探親訪友
一較高下	一決高下
不告而別	不辭而別
勝券在握	穩操勝券
勞動保險	勞保
抽絲剝繭	條分縷析
海外僑胞	華僑
錦繡前程	大好前程
伸張正義	主持正義
低頭不語	默不作聲
太陽電池	太陽能電池
心如刀絞	心如刀割
打小報告	告密
直角三角	直角三角形
神經過敏	神經質
通風報信	通風報訊
人壽保險	壽險
全盛時期	全盛期
八月十五	中秋節
唔使客氣	別客氣
大開眼界	開眼界
專有名詞	專名
平方英尺	平方呎
悠哉悠哉	悠哉遊哉
求神拜佛	燒香拜佛
浪得虛名	徒有虛名
牛高馬大	人高馬大
甩皮甩骨	瘦骨嶙峋
相對密度	比重
絕代佳人	絕世佳人
自立自強	自強自立
重見光明	重見天日
雲霄飛車	過山車
不眠不休	廢寢忘食
反作用力	反作用
圖書館員	圖書管理員
安享晚年	頤養天年
性格不合	合不來
無線電波	電波
硝酸甘油	硝化甘油
一次方程	一次方程式
獨家新聞	獨家報導
科學幻想	科幻
一飽眼福	大飽眼福
正態分佈	常態分佈
真刀真槍	真槍實彈
高音喇叭	揚聲器
學齡兒童	學童
平淡無味	淡而無味
恍若隔世	恍如隔世
永無休止	永無止境
活字印刷	活版印刷
疏忽大意	粗心大意
縮成一團	蜷縮
趁虛而入	乘虛而入
金玉良言	至理名言
傷風感冒	感冒
加減乘除	四則運算
各色各樣	各式各樣
囂張氣焰	氣焰囂張
四肢無力	軟弱無力
測量工具	量具
繞來繞去	兜圈子
荷槍實彈	真槍實彈
表露無遺	暴露無遺
裝甲部隊	裝甲兵
貌美如花	如花似玉
風水先生	風水師
上層社會	上流社會
凱旋歸來	凱旋而歸
勢在必得	志在必得
卵母細胞	卵細胞
反式脂肪	反式脂肪酸
如期完成	按時完成
滿口答應	滿口應承
牛肉拉麪	牛肉麵
衣衫不整	衣冠不整
鑑賞能力	鑑賞力
一語中的	一語破的
上半部分	上半部
交叉學科	跨學科
十字街頭	十字路口
呲牙咧嘴	齜牙咧嘴
左思右想	思前想後
操作環境	作業環境
標準尺寸	標準規格
毫髮無損	安然無恙
結婚典禮	婚禮
臨危不亂	臨危不懼
自尋死路	自取滅亡
追根溯源	追根究底
指手劃腳	指手畫腳
殺雞儆猴	殺一儆百
直接了當	直截了當
人盡皆知	眾所周知
化妝舞會	化裝舞會
揭幕儀式	揭幕式
泛泛之輩	平庸之輩
裝瘋賣傻	裝傻充愣
避而不談	閉口不談
人口結構	人口構成
僅作參考	僅供參考
吸食毒品	吸毒
大展身手	大顯身手
巾幗英雄	女中豪傑
忽隱忽現	若隱若現
花容月貌	閉月羞花
阿斯匹林	阿司匹林
全身麻醉	全麻
可供參考	僅供參考
家財萬貫	腰纏萬貫
狼心狗肺	蛇蠍心腸
自我解嘲	自嘲
過街天橋	行人天橋
一閃即逝	稍縱即逝
二號人物	二把手
天差地別	天壤之別
意志消沉	灰心喪氣
感覺器官	感官
毫不懷疑	毫無疑問
亂作一團	亂成一團
全然不同	截然不同
同生共死	生死與共
威風八面	威風凜凜
春秋時代	春秋時期
無縫連接	無縫接軌
胡編亂造	憑空捏造
包辦婚姻	盲婚啞嫁
同聲翻譯	同聲傳譯
花粉過敏	花粉症
送貨到家	送貨上門
鎩羽而歸	敗興而歸
應付自如	得心應手
懶懶散散	懶散
盡其所能	盡力而為
算術平均	算術平均數
辦公時間	上班時間
爭權奪利	爭名奪利
嚴於律己	嚴以律己
年終獎金	花紅
自我檢討	反省
青銅時代	青銅器時代
生平簡介	簡歷
標題新聞	頭條
風姿綽約	綽約多姿
混混沌沌	渾渾噩噩
