head	note	batch_id
點頭之交	within-batch undirected syn edge covers head	syn-len4-b09-20260718
絕世佳人	prior project_syn edge covers head	syn-len4-b09-20260718
心腹之患	prior project_syn edge covers head	syn-len4-b09-20260718
抱憾終生	prior project_syn edge covers head	syn-len4-b09-20260718
神思恍惚	within-batch undirected syn edge covers head	syn-len4-b09-20260718
不成體統	prior project_syn edge covers head	syn-len4-b09-20260718
故作高深	prior project_syn edge covers head	syn-len4-b09-20260718
處世原則	prior project_syn edge covers head	syn-len4-b09-20260718
利害衝突	prior project_syn edge covers head	syn-len4-b09-20260718
敗興而歸	prior project_syn edge covers head	syn-len4-b09-20260718
稀有氣體	prior project_syn edge covers head	syn-len4-b09-20260718
好管閒事	prior project_syn edge covers head	syn-len4-b09-20260718
