head	tail
一口	一口氣
毫子	零錢
能量	力氣
中年	中年人
細細個	小時候
語言	言語
尿片	尿布
記起	想起
利是	紅包
胸圍	胸罩
金毛	狗
電單車	摩托車
契媽	義母
廣東話	粵語
重有	還有
鼻哥	鼻子
怎麼辦	如何是好
快遞	速遞
一次過	一口氣
乜鬼	什麼
搞錯	弄錯
有份	參與
餸	菜
死仔	該死
餅乾	曲奇
成世	一輩子
第二次	再次
當堂	當場
鐵閘	鐵門
工作人員	職員
空調	冷氣
呢邊	這邊
嚇親	受驚
想問	請問
第二朝	翌日
看起來	看來
地標	標記
失落	沮喪
好易	容易
尋日	昨天
卻是	倒是
大件事	大事
山窿	山洞
黐線	發瘋
個鐘	小時
嗰日	當日
外套	外衣
小巴	巴士
急急腳	急忙
眼角	眼梢
授權	準許
世伯	伯父
收皮	收場
重覆	重複
成員	份子
眼色	神色
硬係	偏偏
食煙	吸煙
發票	收據
挺好	不錯
不敢	豈敢
危機	危局
老土	過時
膠袋	塑料袋
身高	高度
頂唔順	受不了
主板	主機板
多少錢	幾錢
顯卡	顯示卡
側邊	旁邊
子彈	槍彈
這些	呢啲
神經	神經質
褲袋	口袋
乜事	何事
唔只	不僅
打交	打架
芝士	乳酪
記者	訪員
錯愕	驚愕
首頁	主頁
回家	返屋企
成晚	通宵
骨頭	骨
職工	員工
一會	一會兒
正話	剛才
留言	留話
睇醫生	就醫
阿公	爺爺
大鑊	麻煩
天花板	天花
廢事	多餘
聽朝	明早
開聲	出聲
無辜	清白
識得	懂得
車轆	車輪
版主	樓主
手裏	手上
鼠標	滑鼠
入邊	裏面
冇計	無奈
嘔心	噁心
大笨象	大象
打波	打球
波鞋	球鞋
突破	衝破
返來	回來
運營	營運
面向	面對
員工	職員
孫仔	孫子
睇法	看法
行開	走開
親手	親自
醜怪	醜陋
離遠	遠離
物體	物件
劇情	情節
地板	地面
室內	户內
鏈	鍊
銅	黃銅
侯	候
