head	note	batch_id
婦道人家	prior project_syn edge covers head	syn-len4-b10-20260718
思路敏捷	prior project_syn edge covers head	syn-len4-b10-20260718
層層包圍	prior project_syn edge covers head	syn-len4-b10-20260718
惡語傷人	prior project_syn edge covers head	syn-len4-b10-20260718
稱霸全球	prior project_syn edge covers head	syn-len4-b10-20260718
礦物燃料	prior project_syn edge covers head	syn-len4-b10-20260718
一般狀況	within-batch undirected syn edge covers head	syn-len4-b10-20260718
海關官員	prior project_syn edge covers head	syn-len4-b10-20260718
一國之主	prior project_syn edge covers head	syn-len4-b10-20260718
硝化甘油	prior project_syn edge covers head	syn-len4-b10-20260718
辭不達意	prior project_syn edge covers head	syn-len4-b10-20260718
威震八方	prior project_syn edge covers head	syn-len4-b10-20260718
愛答不理	prior project_syn edge covers head	syn-len4-b10-20260718
綱舉目張	prior project_syn edge covers head	syn-len4-b10-20260718
乾淨俐落	prior project_syn edge covers head	syn-len4-b10-20260718
外交使節	prior project_syn edge covers head	syn-len4-b10-20260718
