head	tail
單純皰疹	皰疹
武警戰士	武警
自助餐廳	自助餐
出土文物	古物
數字通信	數據通信
立足之地	立錐之地
長途旅行	長途跋涉
麻醉藥品	麻醉藥
口無遮攔	口沒遮攔
搶先一步	捷足先登
明日之星	新星
穩扎穩打	穩紮穩打
遠大理想	崇高理想
參考手冊	使用手冊
核心人物	中心人物
水火不容	勢不兩立
生死關頭	危急關頭
驚歎不已	讚歎不已
全然不知	一無所知
十之八九	十有八九
專業精神	敬業精神
扭轉乾坤	力挽狂瀾
招人喜歡	討人喜歡
不堪忍受	忍無可忍
名符其實	名副其實
太平盛世	盛世
失血過多	大出血
爵士音樂	爵士樂
課外讀物	課外書
農曆新年	春節
駕駛執照	駕照
噪聲污染	噪音污染
科學普及	科普
跌打損傷	跌打
迴光返照	回光反照
不能自已	情不自禁
國家機構	國家機關
完美無瑕	完美無缺
西班牙文	西班牙語
雙目失明	失明
專職人員	專職
添油加醋	加油添醋
產前檢查	產檢
發財致富	致富
真假難辨	真偽莫辨
立法機關	議會
碳酸氫鈉	蘇打粉
衣衫襤褸	衣不蔽體
遊行示威	示威遊行
一直往前	勇往直前
交通意外	交通事故
小兒麻痹	小兒麻痺
新來乍到	初來乍到
無休無止	沒完沒了
登門拜訪	登門造訪
等一會兒	稍等
左右搖擺	搖擺不定
張燈結綵	張燈結彩
核反應堆	反應堆
武裝警察	武警
虛度光陰	蹉跎歲月
傳播媒介	傳媒
懷恨在心	記恨
毫無用處	一無是處
全心投入	全力以赴
口齒伶俐	能言善辯
志趣相投	志同道合
熱帶地區	熱帶
有軌電車	電車
結婚證書	婚書
自卑心理	自卑感
隻字不提	隻字未提
鼓舞人心	振奮人心
孩提時代	童年
心無旁騖	專心致志
心胸狹窄	心胸狹隘
第二職業	兼職
著名人物	知名人士
超級鏈接	超連結
重新做人	改過自新
至始至終	自始至終
親屬關係	親戚關係
不同以往	今非昔比
歷史遺跡	古跡
不分晝夜	夜以繼日
不言自明	不言而喻
寧缺毋濫	寧缺勿濫
年老體弱	年老體衰
有備無患	防患未然
自然選擇	天擇
觸摸屏幕	觸摸屏
重整旗鼓	重振旗鼓
人工受孕	人工受精
特寫鏡頭	特寫
稀土金屬	稀土
美侖美奐	美輪美奐
證據確鑿	鐵證如山
變化莫測	變幻莫測
不勝感激	感激不盡
民間舞蹈	民族舞蹈
得償所願	如願以償
相差不多	差不多
知書達理	知書識禮
駐車制動	手剎車
得來不易	來之不易
暗度陳倉	暗渡陳倉
著稱於世	聞名遐邇
血管硬化	動脈硬化
