head	tail
差佬	警察
櫃桶	抽屜
晚晚	每晚
每晚	夜夜
理智	理性
秩序	次序
講聲	出聲
起嚟	起來
適應	順應
重啓	重開
分分鐘	隨時
初初	起初
加埋	加上
手套	手襪
手指尾	指尖
睇見	看見
落堂	下課
跑車	賽車
一天	整天
嗰晚	當晚
放榜	公佈
樣衰	難看
沿途	一路
細粒	細小
膠布	膠帶
車仔	小車
偷食	偷嘴
專登	故意
恤衫	襯衫
樣貌	容貌
直行	向前
螢幕	熒幕
貨倉	倉庫
郵局	郵政局
接下來	然後
今時今日	現在
包住	包起
吸塵機	吸塵器
擺明	明顯
筷子	箸
聲線	嗓音
舖頭	店舖
那些	嗰啲
一般人	普通人
叫停	制止
巴士站	車站
得人驚	可怕
打人	毆打
攬實	攬住
有嘢	有事
死者	死人
牛油	奶油
神父	牧師
聽晚	明晚
話唔定	説不定
隨心	隨意
低聲	小聲
夾住	夾緊
好多人	眾人
新抱	媳婦
早知	預料
權利	權益
質素	品質
發貨	出貨
構建	建立
不再	再不
八卦	傳聞
八爪魚	章魚
制度	體制
可能性	可能
好多時	經常
收銀	收款
每人	各人
睡衣	睡袍
花灑	花灑頭
話事	做主
陪住	陪伴
世紀	時代
凳仔	矮凳
嘈交	吵架
因住	小心
埋位	就座
大隻佬	大漢
揹	背
收聲	住口
有講有笑	談笑
紅蘿蔔	胡蘿蔔
起勢	用力
醜樣	醜陋
門鐘	門鈴
鬆一口氣	放心
冷衫	毛衣
匿埋	躲藏
好耐	好久
廁紙	手紙
手錶	錶
捉實	抓緊
男神	偶像
直程	簡直
相識	認識
耳機	耳筒
近排	最近
除衫	脱衣
點睇	看法
補丁	補釘
三文治	三明治
執起	拾起
怪獸	怪物
打圈	打轉
殺人	殺害
毛蟲	幼蟲
無端端	平白無故
生仔	生育
草叢	草莽
落街	出街
負面	消極
過份	過分
審計	稽核
共鳴	同感
剩返	剩下
各種	各樣
回歸	回來
小矮人	侏儒
未夠	不足
立法	制定
總部	總行
閉上	合攏
傻佬	傻瓜
冇幾耐	不久
呷醋	妒忌
壓住	按住
望下	看看
