head	tail
銅管樂器	銅管樂
長期共存	和平共處
一般常識	常識
人力車夫	車夫
十字街口	十字路口
地下鐵路	地鐵
甲骨文字	甲骨文
間接證據	旁證
七言律詩	七律
上天無路	走投無路
五言絕句	五絕
低迷不振	萎靡不振
何足掛齒	不足掛齒
年度大會	年會
怵目驚心	觸目驚心
捅馬蜂窩	自找麻煩
行個方便	通融
賬房先生	賬房
軍事學校	軍校
霹靂啪啦	劈啪
首映典禮	首映式
分解作用	分解
反璞歸真	返璞歸真
學校同學	同學
望而興嘆	望洋興嘆
神色自若	泰然自若
菲力牛排	牛排
頭昏目眩	頭暈目眩
頭腦清楚	清醒
倉皇出逃	落荒而逃
入門課程	入門
如火如茶	如火如荼
密切相連	息息相關
獨攬大權	大權獨攬
身負重任	重任
逆風而行	逆流而上
不值一文	一文不值
五言律詩	五律
交變電流	交流電
人贓俱獲	人贓並獲
剖腹自殺	剖腹
大氣壓強	大氣壓
排泄系統	排泄
獨裁政權	獨裁
琴瑟和鳴	伉儷情深
絕食抗議	絕食
鏡像站點	鏡像
伽瑪射線	伽馬射線
升斗小民	小民
拖延戰術	拖延
紫外線光	紫外線
身歷其境	身臨其境
銅器時代	青銅時代
一般情形	一般狀況
加足馬力	開足馬力
另眼相待	另眼相看
妙想天開	異想天開
心存不滿	心懷不滿
排列次序	次序
落落寡歡	悶悶不樂
貴族身份	貴族
輿論調查	民意調查
丟盔卸甲	抱頭鼠竄
保持原貌	原封不動
公共假期	公眾假期
共和政體	共和制
慎重其事	慎重
濫伐林木	濫砍濫伐
究其根源	追根究底
肝膽俱裂	心膽俱裂
違禁藥品	禁藥
人道精神	人道主義
地靈人傑	人傑地靈
橫幅標語	橫幅
細微末節	細枝末節
罪不可赦	十惡不赦
良家女子	良家婦女
重新統一	統一
魂飛天外	魂飛魄散
魚肉百姓	魚肉鄉裏
互有勝負	不相上下
互致問候	寒暄
代罪羔羊	替罪羊
同盟條約	盟約
多嘴多舌	多嘴
失信於人	失信
有失身份	有失體統
眉目清秀	眉清目秀
避避風頭	避風頭
黑白不分	不分皂白
侵蝕作用	侵蝕
四輪馬車	馬車
尋根問底	追根究底
虧本出售	虧本
逗人喜愛	討人喜歡
遠隔重洋	遠渡重洋
陰陰沉沉	陰沉沉
不急不徐	不慌不忙
傀儡政權	傀儡政府
慷慨就義	從容就義
鬧鈴時鐘	鬧鐘
了無新意	陳腔濫調
加冕典禮	加冕
寬宏大度	寬宏大量
深耕細作	精耕細作
苦難深重	水深火熱
各執己見	各持己見
專心一意	專心致志
滅門之禍	家破人亡
窮於應付	應接不暇
身心交瘁	心力交瘁
魯莽行事	輕舉妄動
動刀動槍	動武
參差錯落	參差不齊
歸根究底	歸根結底
獨身生活	獨身
行蹤不明	下落不明
觀察入微	明察秋毫
另有企圖	別有用心
名聲遠播	聲名遠播
好事之徒	好事者
拉拉隊長	啦啦隊長
輕巧方便	輕便
養身之道	養生之道
骨肉相殘	自相殘殺
委委屈屈	委屈
求才若渴	求賢若渴
無機可乘	無隙可乘
靈犀相通	心有靈犀
不得其法	不得要領
人財兩失	人財兩空
歷久彌堅	歷久不衰
用盡心機	費盡心機
區區小事	芝麻小事
博學多聞	博學多才
大塊朵頤	大快朵頤
年深日久	天長日久
恍然醒悟	恍然大悟
棋逢敵手	棋逢對手
氣象報告	天氣預報
空中格鬥	空戰
魔術方塊	魔方
放浪不羈	放蕩不羈
棄惡從善	改邪歸正
欲振乏力	有心無力
龍袍加身	黃袍加身
一窺究竟	一探究竟
分文不值	一文不值
平等主義	平均主義
伉儷情深	鶼鰈情深
品格高尚	高尚
