head	note	batch_id
蹉跎歲月	prior project_syn edge covers head	syn-len4-b06-20260718
退役軍人	prior project_syn edge covers head	syn-len4-b06-20260718
舊地重遊	prior project_syn edge covers head	syn-len4-b06-20260718
作業環境	prior project_syn edge covers head	syn-len4-b06-20260718
寧缺勿濫	prior project_syn edge covers head	syn-len4-b06-20260718
一家大小	prior project_syn edge covers head	syn-len4-b06-20260718
女中豪傑	prior project_syn edge covers head	syn-len4-b06-20260718
人工受精	prior project_syn edge covers head	syn-len4-b06-20260718
獲益良多	prior project_syn edge covers head	syn-len4-b06-20260718
精神奕奕	prior project_syn edge covers head	syn-len4-b06-20260718
頤養天年	prior project_syn edge covers head	syn-len4-b06-20260718
標準規格	prior project_syn edge covers head	syn-len4-b06-20260718
中心人物	prior project_syn edge covers head	syn-len4-b06-20260718
定期儲蓄	prior project_syn edge covers head	syn-len4-b06-20260718
專門知識	prior project_syn edge covers head	syn-len4-b06-20260718
活期儲蓄	prior project_syn edge covers head	syn-len4-b06-20260718
