head	tail
唔經唔覺	不知不覺
異口同聲	眾口一詞
其他地方	別處
殺毒軟件	防毒軟件
電子郵件	電郵
環境保護	環保
手提電話	手機
豬朋狗友	狐朋狗友
不可避免	在所難免
事到如今	事已至此
智能手機	智能電話
驅動程序	驅動程式
不切實際	脱離實際
意大利粉	意粉
國際貿易	外貿
奧林匹克	奧運
高新技術	高科技
專業知識	專門知識
天氣預報	天氣預測
負面影響	消極影響
世界經濟	國際經濟
弱勢羣體	弱勢社羣
股票市場	股市
生活水平	生活水準
恐怖分子	恐怖份子
一廂情願	一相情願
城鎮居民	城市居民
無處不在	無所不在
質量管理	品質管理
求求其其	馬馬虎虎
源源不絕	源源不斷
滔滔不絕	口若懸河
流行音樂	流行曲
公共場所	公眾場所
生活環境	居住環境
下定決心	下決心
不良反應	副作用
隨處可見	比比皆是
參考文獻	參考書目
心理健康	精神健康
程序設計	編程
日光日白	光天化日
投資銀行	投行
各不相同	各異
快手快腳	手急眼快
公共交通	大眾運輸
郵政編碼	郵遞區號
政府機關	政府機構
網絡環境	網路環境
興致勃勃	興高采烈
中央銀行	央行
恐怖襲擊	恐襲
現場直播	直播
難以想象	難以想像
可見一斑	略見一斑
大吉利是	大吉大利
夾手夾腳	礙手礙腳
刑事責任	刑責
受益匪淺	獲益良多
高分辨率	高清晰度
全力支持	鼎力支持
外匯市場	匯市
基本建設	基建
撕心裂肺	肝腸寸斷
公共關係	公關
前提條件	先決條件
牀上用品	寢具
電子信箱	電郵
畢業典禮	畢業禮
對衝基金	對沖基金
貨物運輸	貨運
後期製作	後製
公用事業	公共事業
一家大細	一家大小
人仔細細	小心翼翼
出雙入對	成雙成對
房產中介	房屋中介
天壤之別	天淵之別
僅此而已	如此而已
唯物主義	唯物論
女主人公	女主角
夢中情人	夢中人
工作小組	工作組
養家餬口	養家活口
通俗易懂	淺顯易懂
數字信號	數位信號
民意調查	民調
延年益壽	益壽延年
傳輸速率	傳輸率
勤工儉學	半工半讀
字裏行間	字裡行間
不一會兒	不一會
