literal	freq	pos	family	voice	note
罷了	355	v,x			
老手	355	n			
腥風血雨	355	a,n	idiom		
自重	355	n,v			
苦不堪言	355	a	idiom		
萬事俱備	355	a,v	idiom		
落花	355	n			
虎視眈眈	355	a,v	idiom		
談笑	355	n,v			
講究	355	a,v			
貞潔	355	a			
踏實	355	a			
退燒	355	v			
退貨	355	n,v			
遇害	355	v			
遊手好閒	355	a,v	idiom		
過氣	355	a			
開明	355	a			
雄心壯志	355	n	idiom		
雌	355	a,n			
頑皮	355	a			
高見	355	n			
高院	355	n			
出沒無常	354	a,v	idiom		
同類相殘	354	v	idiom		
缺心少肺	354	a	idiom		
法網難逃	353	a,v	idiom		
直抒己見	353	v	idiom		
優勝劣敗	352	n,v	idiom		
精雕細鏤	352	v	idiom		
超群絕倫	351	a	idiom		
虛應故事	349	v	idiom		
電報掛號	349	n			
同工異曲	348	a,n	idiom		
如墜五里霧中	348	a,v	idiom		
明窗淨几	348	n	idiom		
支吾其詞	347	v	idiom		
五筆字形	346	n			
獨夫民賊	346	n	idiom		
無形損耗	345	n			
堯天舜日	344	n	idiom		
璞玉渾金	344	n	idiom		
因人成事	343	v	idiom		
左道旁門	343	n	idiom		
權慾薰心	343	a,v	idiom		
渺無音信	342	a,v	idiom		
蠅頭微利	342	n	idiom		
方寸已亂	341	a,v	idiom		
金雞納霜	341	n			
銅筋鐵骨	341	a,n	idiom		
音節文字	341	n			
倫琴射線	340	n			
瞞上欺下	340	v	idiom		
不避艱險	339	v	idiom		
情文並茂	339	a	idiom		
活版印刷	339	n			
深藏若虛	339	a,v	idiom		
死而無悔	338	a,v	idiom		
堅持不渝	337	a,v	idiom		
手急眼快	336	a	idiom		
鑑貌辨色	336	v	idiom		
騎馬找馬	336	v	idiom		
旋轉乾坤	335	v	idiom		
緩不濟急	335	a,v	idiom		
補偏救弊	334	v	idiom		
金城湯池	334	n	idiom		
杖頭木偶	332	n			
藏垢納污	332	v	idiom		
見縫就鑽	331	v	idiom		
濟困扶危	330	v	idiom		
戴月披星	329	v	idiom		
網路環境	329	n			
升堂入室	328	v	idiom		
探賾索隱	328	v	idiom		
渾金璞玉	328	n	idiom		
元謀猿人	326	n			
絕對觀念	326	n			
文風不動	325	a,r	idiom		
