literal	freq	pos	family	voice	note
水滸全傳	448	n			
法定人數	448	n			
火災保險	448	n			
登報聲明	448	n,v			
第二國際	448	n			
算無遺策	448	a,v	idiom		
結核菌素	448	n			
該當何罪	448	v	idiom		
軍令如山	448	a	idiom		
邊境衝突	448	n			
酌情處理	448	v			
隨身行李	448	n			
電話信號	448	n			
革命文學	448	n			
風俗人情	448	n	idiom		
鼾聲如雷	448	a	idiom		
切削用量	447	n			
千島群島	447	n			
可比價格	447	n			
哈薩克語	447	n			
地區衝突	447	n			
地緣戰略	447	n			
天氣形勢	447	n			
宇宙速度	447	n			
專名	447	n			
對口相聲	447	n			
援助交際	447	n,v			
敗興而歸	447	v	idiom		
有線通信	447	n			
歷久常新	447	a	idiom		
歷盡艱難	447	v	idiom		
物主代詞	447	n			
獨立王國	447	n			
理論貢獻	447	n			
生拉硬拽	447	v	idiom		
破財免災	447	v	idiom		
稀有氣體	447	n			
約會對象	447	n			
聯機遊戲	447	n			
芙蓉出水	447	a	idiom		
貽害無窮	447	a,v	idiom		
追憶往事	447	v			
金無足赤	447	a,n	idiom		
金融槓桿	447	n			
高薪養廉	447	n,v			
五項全能	446	n			
亞馬孫河	446	n			
人盡可夫	446	a,v	idiom		
初露頭角	446	v	idiom		
吸毒成癮	446	a,v			
和平條約	446	n			
哈特福德	446	n			
國務部長	446	n			
安全電壓	446	n			
尾大不掉	446	a	idiom		
屢建奇功	446	v	idiom		
忠肝義膽	446	a,n	idiom		
拉皮手術	446	n			
拾人牙慧	446	v	idiom		
文山會海	446	n	idiom		
棋高一着	446	a,v	idiom		
爆玉米花	446	n			
理屈詞窮	446	a,v	idiom		
糧草先行	446	v	idiom		
興味索然	446	a	idiom		
苯甲酰氯	446	n			
計上心來	446	v	idiom		
計時工資	446	n			
赤身露體	446	a,v	idiom		
走漏風聲	446	v	idiom		
遠近馳名	446	a	idiom		
雁過拔毛	446	v	idiom		
七彩繽紛	445	a	idiom		
九龍半島	445	n			
五燈會元	445	n			
亡國滅種	445	v	idiom		
付諸流水	445	v	idiom		
反覆思量	445	v			
多邊合作	445	n,v			
天搖地動	445	a,v	idiom		
好管閒事	445	v			
妊娠試驗	445	n			
學而不思	445	v	idiom		
學運	445	n			
怒目相向	445	v	idiom		
愛爾蘭語	445	n			
月白風清	445	a	idiom		
欺善怕惡	445	a,v	idiom		
氣動葫蘆	445	n			
氣息奄奄	445	a	idiom		
氣數已盡	445	a,v	idiom		
玉潔冰清	445	a	idiom		
盤尼西林	445	n			
相對速度	445	n			
結紮手術	445	n			
茄子河區	445	n			
身體部分	445	n			
造就人才	445	v			
重巒疊嶂	445	a,n	idiom		
金錢萬能	445	a,n	idiom		
顛來倒去	445	r,v	idiom		
顛鸞倒鳳	445	v	idiom		
龐氏騙局	445	n			
一舉兩得	444	a,v	idiom		
一面倒	444	a,v			
三十六計	444	n	idiom		
不安於室	444	a,v	idiom		
不惜工本	444	a,v	idiom		
不知進退	444	a,v	idiom		
乘勝追擊	444	v			
他日	444	n,r			
供書教學	444	n,v			
傷身	444	v			
兒女	444	n			
冷嘲熱諷	444	n,v	idiom		
列隊歡迎	444	v			
初級	444	a			
前景可期	444	a			
力透紙背	444	a,v	idiom		
史前時代	444	n			
同性	444	a,n			
吐蕃王朝	444	n			
吡拉西坦	444	n			
否	444	r			
周全	444	a			
周到	444	a			
喧嘩	444	n,v			
單薄	444	a			
外邊	444	n			
多胎妊娠	444	n			
大件	444	n			
大提琴手	444	n			
奉命行事	444	v	idiom		
如此類推	444	r,v	idiom		
姑息養奸	444	v	idiom		
孔子家語	444	n			
安分	444	a,v			
家頭細務	444	n			
平地	444	n			
幼嫩	444	a			
廿四小時	444	n,r			
後輩	444	n			
從寬處理	444	v			
心有不甘	444	a	idiom		
心知肚明	444	a,v	idiom		
愁眉苦臉	444	a,n	idiom		
慘不忍睹	444	a	idiom		
慣性	444	n			
成千上萬	444	n,r	idiom		
截然不同	444	a	idiom		
手下留情	444	v	idiom		
手忙腳亂	444	a,v	idiom		
指示代詞	444	n			
揮霍浪費	444	v			
支離破碎	444	a	idiom		
收斂	444	n,v			
放生	444	n,v			
放行	444	v			
散文	444	n			
整天	444	n,r			
施政報告	444	n			
昂貴	444	a			
普通郵票	444	n			
最低	444	a			
有害	444	a			
有禮	444	a			
根治	444	v			
權貴	444	n			
欣然	444	r			
此後	444	r			
死敵	444	n			
死氣沉沉	444	a	idiom		
水上芭蕾	444	n			
水深火熱	444	a,n	idiom		
沉淪	444	n,v			
海外	444	n			
清秀佳人	444	n			
無疾而終	444	v	idiom		
無需	444	v			
現成	444	a			
甘願	444	a,v			
生兒育女	444	v	idiom		
生手	444	n			
生死有命	444	a,n	idiom		
發音器官	444	n			
白衣戰士	444	n			
睜	444	v			
端莊	444	a			
粗心	444	a			
粗略	444	a			
結繩記事	444	n,v	idiom		
絕交	444	v			
緩衝地帶	444	n			
縱	444	a,r,v			
