phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p3	一個二個	x	idiom		audit-med;review;p2-idiom:一X?Y;p2-idiom-heuristic	high	high|gate|idiom	OK				數／逐一虛用；固定說法可留 idiom
p3	全力以赴	v	idiom		audit-high;review	high	high|gate|idiom	OK				成語動用
p3	斷斷續續	a,r	idiom		cow-single;p2-idiom:AABB;p2-idiom-heuristic;review;p1-audit;review;AABB 狀態／情狀；非名（cow-single n 假陽）	high	high|gate|idiom	OK				AABB 狀態／情狀 a,r
p3	無處不在	n	idiom		cow-single;p2-idiom:有無對;p2-idiom-heuristic;review	high	high|gate|idiom	BAD	a,v			謂語「無處不在」形／動；非名（cow-single n 假陽）
p3	除此之外	r	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review;p1-audit;review;連接／附帶說明短語；非名（len4-noun 假陽會毒同名詞閘）	high	high|gate|idiom	OK				連接短語 r；之字格固定可留
p3	一些問題	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	下跌	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	不掉	v			verb-suffix;p3;heuristic	high	high|gate|plain	BAD	u			否定+掉；多見於 V 不掉，非獨立動詞（verb-suffix 假陽）
p3	二十	x			numeral;p3;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	人之常情	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	保存	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	信息技術	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	優質服務	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	六一	x			numeral;p3;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	具體情況	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	加強	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	受益	v		passive	prefix-passive;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	受衆	v		passive	prefix-passive;p3;heuristic	high	high|gate|plain	BAD	n			受衆＝觀眾／聽衆名詞；prefix-passive 假陽會毒同動詞閘
p3	各級政府	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	咬住	v			verb-suffix;p3;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	國內市場	n			len4-noun-heuristic	high	high|gate|plain	OK				gate primary 正確
p3	地方政府	n			len4-noun-heuristic	high	high|gate|plain	OK				gate primary 正確
p3	增長	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	專業人員	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	戴住	v			verb-suffix;p3;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	托住	v			verb-suffix;p3;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	批評	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	搜索	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	無線網絡	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	照住	v			verb-suffix;p3;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	理工大學	n			len4-noun-heuristic	high	high|gate|plain	OK				gate primary 正確
p3	發達國家	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	監管部門	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	知識分子	n			len4-noun-heuristic	high	high|gate|plain	OK				gate primary 正確
p3	研發中心	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	研究中心	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	研究人員	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	科學技術	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	立法	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	競爭	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	管理系統	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	統一	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	考完	v			verb-suffix;p3;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	股票市場	n			len4-noun-heuristic	high	high|gate|plain	OK				gate primary 正確
p3	舉報電話	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	衝突	n,v			cow-nv-unreviewed;trust-low;p1-close;true-nv;review	high	high|gate|plain	OK				gate primary 正確
p3	被窩	v		passive	prefix-passive;p3;heuristic	high	high|gate|plain	BAD	n			被窩＝被褥名詞；prefix-passive 假陽會毒同動詞閘
p3	被迫	v		passive	prefix-passive;heuristic	high	high|gate|plain	OK				gate primary 正確
p3	諮詢服務	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	諮詢電話	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	資本市場	n			len4-noun-heuristic;p3	high	high|gate|plain	OK				gate primary 正確
p3	超級市場	n			len4-noun-heuristic	high	high|gate|plain	OK				gate primary 正確
