phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p0	退還	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	逐鹿中原	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	通俗易懂	u			no-source;fallback	low	low|u|plain	BAD	a			u 有明確詞類 → a
p0	通宵	u			no-source;fallback	low	low|u|plain	BAD	n,r,v			u 有明確詞類 → n,r,v
p0	造謠中傷	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	連本帶利	u			no-source;fallback	low	low|u|plain	BAD	r,n			u 有明確詞類 → r,n
p0	進度	u			no-source;fallback	low	low|u|plain	BAD	n			u 有明確詞類 → n
p0	運算法則	u			no-source;fallback	low	low|u|plain	BAD	n			u 有明確詞類 → n
p0	過渡金屬	u			no-source;fallback	low	low|u|plain	BAD	n			u 有明確詞類 → n
p0	過頭	u			no-source;fallback	low	low|u|plain	BAD	a,r			u 有明確詞類 → a,r
p0	道德	u			no-source;fallback	low	low|u|plain	BAD	n			u 有明確詞類 → n
p0	遮風擋雨	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	遲到早退	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	部	u			no-source;fallback	low	low|u|plain	BAD	n,x			u 有明確詞類 → n,x
p0	酒後失態	u			no-source;fallback	low	low|u|plain	BAD	v,n			u 有明確詞類 → v,n
p0	野合	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	釘	u			no-source;fallback	low	low|u|plain	BAD	n,v			u 有明確詞類 → n,v
p0	銀行卡	u			no-source;fallback	low	low|u|plain	BAD	n			u 有明確詞類 → n
p0	長相	u			no-source;fallback	low	low|u|plain	BAD	n			u 有明確詞類 → n
p0	長驅直入	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	開源節流	u			no-source;fallback	low	low|u|plain	BAD	v			u 有明確詞類 → v
p0	閒情逸緻	u			no-source;fallback	low	low|u|plain	BAD	n			u 有明確詞類 → n
